,predicted
0,Phishing
1,phishing
2,phishing
3,phishing
4,legitimate
5,Phishing
6,phishing
7,phishing
8,legitimate
9,legitimate
10,legitimate
11,phishing
12,legitimate
13,legitimate
14,legitimate
15,legitimate
16,phishing
17,legitimate
18,legitimate
19,legitimate
20,legitimate
21,legitimate
22,legitimate
23,phishing
24,legitimate
25,legitimate
26,legitimate
27,phishing
28,legitimate
29,legitimate
30,legitimate
31,legitimate
32,legitimate
33,legitimate
34,Phishing
35,legitimate
36,phishing
37,Phishing
38,Phishing
39,phishing
40,legitimate
41,legitimate
42,legitimate
43,phishing
44,legitimate
45,phishing
46,phishing
47,legitimate
48,legitimate
49,Phishing
50,legitimate
51,phishing
52,legitimate
53,legitimate
54,legitimate
55,legitimate
56,phishing
57,legitimate
58,phishing
59,legitimate
60,legitimate
61,legitimate
62,legitimate
63,phishing
64,legitimate
65,legitimate
66,phishing
67,phishing
68,legitimate
69,legitimate
70,phishing
71,legitimate
72,legitimate
73,legitimate
74,legitimate
75,legitimate
76,legitimate
77,phishing
78,phishing
79,legitimate
80,phishing
81,phishing
82,Phishing
83,legitimate
84,legitimate
85,Phishing
86,phishing
87,legitimate
88,phishing
89,legitimate
90,phishing
91,legitimate
92,legitimate
93,Phishing
94,legitimate
95,phishing
96,phishing
97,legitimate
98,legitimate
99,phishing
100,legitimate
101,legitimate
102,phishing
103,legitimate
104,legitimate
105,legitimate
106,phishing
107,phishing
108,legitimate
109,legitimate
110,legitimate
111,legitimate
112,legitimate
113,legitimate
114,legitimate
115,legitimate
116,legitimate
117,phishing
118,legitimate
119,Phishing
120,phishing
121,phishing
122,phishing
123,phishing
124,phishing
125,legitimate
126,phishing
127,legitimate
128,legitimate
129,legitimate
130,legitimate
131,legitimate
132,phishing
133,phishing
134,legitimate
135,phishing
136,legitimate
137,legitimate
138,phishing
139,Phishing
140,phishing
141,legitimate
142,phishing
143,legitimate
144,legitimate
145,phishing
146,legitimate
147,phishing
148,phishing
149,phishing
150,legitimate
151,legitimate
152,phishing
153,legitimate
154,legitimate
155,phishing
156,legitimate
157,Phishing
158,phishing
159,phishing
160,Phishing
161,legitimate
162,phishing
163,phishing
164,legitimate
165,Phishing
166,legitimate
167,phishing
168,legitimate
169,phishing
170,Phishing
171,phishing
172,legitimate
173,phishing
174,phishing
175,legitimate
176,phishing
177,phishing
178,phishing
179,legitimate
180,phishing
181,Phishing
182,phishing
183,phishing
184,legitimate
185,phishing
186,legitimate
187,phishing
188,phishing
189,legitimate
190,phishing
191,phishing
192,phishing
193,legitimate
194,legitimate
195,legitimate
196,Phishing.
197,legitimate
198,legitimate
199,phishing
200,legitimate
201,legitimate
202,legitimate
203,legitimate
204,legitimate
205,phishing
206,legitimate
207,legitimate
208,phishing
209,Phishing
210,legitimate
211,legitimate
212,phishing
213,legitimate
214,Phishing
215,legitimate
216,phishing
217,legitimate
218,phishing
219,phishing
220,phishing
221,phishing
222,phishing
223,legitimate
224,phishing
225,phishing
226,legitimate
227,phishing
228,legitimate
229,legitimate
230,phishing
231,legitimate
232,phishing
233,legitimate
234,Phishing
235,legitimate
236,phishing
237,phishing
238,legitimate
239,legitimate
240,legitimate
241,phishing
242,legitimate
243,legitimate
244,legitimate
245,legitimate
246,phishing
247,legitimate
248,legitimate
249,legitimate
250,legitimate
251,Phishing
252,phishing
253,phishing
254,legitimate
255,legitimate
256,phishing
257,legitimate
258,legitimate
259,legitimate
260,phishing
261,legitimate
262,legitimate
263,legitimate
264,phishing
265,Phishing
266,legitimate
267,phishing
268,legitimate
269,legitimate
270,phishing
271,zinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzin
272,legitimate
273,zinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzinzin
274,phishing
275,legitimate
