predicted,targets,discrepancia,text,label
phishing,legitimate,True,"A little secret to make you private life more interesting!   We will help you to increase your sexual status!    If it occurs has a daughter involved in low-income, violence-proneGervasio said.healthy, development videos, enrichmentfront of get-smart      If you wish to extend the length of your phallus just find out from us and we will aid you We suggest you only qualified assistance and measures! You our dear Friend really in relevant hands! So we can guarantee you the result over a few weeks already! CLICK HERE!   For now, Here's some soothing in preschool ""I hope it will have some effect,""",1
legitimate,phishing,True,"June Paceline Newsletter To view this mail in a browser, copy http://sdm3.rm04.net/servlet/MailView?ms=OTAxNDU3S0&r=MjM4NTE5NzgyMgS2&j=Mjk1NzI4NzQS1&mt=1 into your browser. The Paceline Paceline June Newsletter The Official Fan Club of Lance Armstrong & Discovery Channel Pro Cycling Team   Ready For The Tour  With a strong showing in the Dauphine Libere, Levi Leipheimer, Alberto Contador and Team Discovery Channel served notice to the pro cycling peloton that the Disco boys are ready for the July 7 TDF prologue in London. Read more http://sdm3.rm04.net/ctt?kn=6&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1  TEAM NEWS: DC Racking Up The 07 Wins A look at DC's 19 wins to date* in 2007:  Tour of California (3 wins): 2 stages and Levi Leipheimer GC triumph Valencia (1): Alberto Contador stage win Paris-Nice (4): 3 stages and Contador GC Castilla Leon (2): 1 stage and Contador GC DePanne (1): Stijn Devolder TT victory Georgia (4): 3 stages and Brajkovic GC Catalunya (1): Allan Davis stage win Belgium (2): Gusev TT and GC wins Switzerland (1): Gusev * - Through June 22  MIO Joins Discovery Sponsor Family Starting at the 2007 Tour de France, Mio Technology Europe -- one of the leading players in the mobile GPS industry -- is joining the Discovery Channel Pro Cycling sponsor family as the teams Official Personal Navigation Device. ""Mio Technology supports the spirit of competition and is enthusiastic to be backing the impressive Discovery Channel Pro Cycling Team, which has proven itself time and time again,"" says Paul Notteboom, president of Mio Technology. Each of the 20 Team Cars following and taking care of the cycling team will be equipped with a Mio navigation device for the entire duration of the cycling season. Mio is making its mark both in delivering the team members and staff safely to their destinations worldwide, and via logo exposure on the team jersey as well. Read More http://sdm3.rm04.net/ctt?kn=11&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1  Checking In With Ekimov As Lance says, ""Eki is nails."" Our Cathy Mehl catches up with pro peloton legend and current team director, Viatcheslav ""Eki"" Ekimov. Read More http://sdm3.rm04.net/ctt?kn=15&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1   DCC: Pavel Is The Man Workhorse Pavel Padrnos leads the Discovery Channel Challenge, which has raised more than $11,000 to benefit the Lance Armstrong Foundation. Read More http://sdm3.rm04.net/ctt?kn=2&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1    PJ Delivers The 2007 Tour de France is right around the corner and P.J. Rabice, Discovery Channel Pro Cycling communications director, will return shortly to be with the team as it makes final pre-Tour fine-tuning. Send him your team-, race- and/or cycling-specific inquiries, and he'll address them as the team enters final preparations for July and the 2007 Tour de France. Send brief questions to: pjdelivers@thepaceline.com Read More http://sdm3.rm04.net/ctt?kn=4&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1   Hed: Fuyu in Bicycling Magazine Merckx won 525 races; Lance stood atop the Tour podium seven times. But they didn't have 1.3 billion potential fans. Meet the man who might just become the world's biggest cycling superstar. Read More http://sdm3.rm04.net/ctt?kn=1&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1  PacelineTV: FREE!  Thanks to our partner Cycling.TV, and to our Paceline sponsors, effective immediately PacelineTV is now free, 24 hours a day, 7 days a week. Our sincere thanks to all for your continued support to the Discovery Channel Pro Cycling Team and ThePaceline.com!  Read More http://sdm3.rm04.net/ctt?kn=5&m=901457&r=MjM4NTE5NzgyMgS2&b=2&j=Mjk1NzI4NzQS1&mt=1    CSE PO Box 42106 Austin, TX 78704-0036  Click on the link below to unsubscribe: http://sdm3.rm04.net/ui/modules/display/optOut.jsp?f=51101&m=901457&r=MjM4NTE5NzgyMgS2&j=Mjk1NzI4NzQS1&mt=1",0
legitimate,phishing,True,"SCM Best Practices for Continuous Integration    SYS-CON Technical Whitepapers     Featured Whitepapers               Ensuring Code Quality in Multi-threaded ApplicationsHow to Eliminate Concurrency Defects with Static Analysis               Today, the world of software development is presented with a new challenge. To fully leverage this new class of multi-core hardware, software developers must change the way they create applications. By turning their focus to multi-threaded applications, developers will be able to take full advantage of multi-core devices and deliver software that meets the demands of the world. But this paradigm of multi-threaded software development adds a new wrinkle of complexity for those who care the utmost about software quality.    Click Here to View This Whitepaper               Improving .NET Application Performance and Reliability with Managed Database Data Connectivity                Many .NET applications fail to meet user requirements because they do not provide optimal access to underlying Oracle, Sybase, or DB2 databases. The root cause is often unmanaged ADO.NET data providers shipped by the database vendor or from Microsoft. In this paper, SQL Server MVP and SSWUG co-founder Stephen Wynkoop explores common misperceptions about data access technologies, describes the optimum architecture for ADO.NET data providers, and highlights key selection criteria for developers.    Click Here to View This Whitepaper       Technical Whitepapers and Other Offers from SYS-CON      SCM Best Practices for Continuous Integration                 Continuous integration is rapidly being adopted as a key process in software development as part of the shift towards Agile methodologies to improve software quality, reduce costly rework due to broken builds, and increase business value delivered to customers  click to download and learn key SCM best practices for deploying continuous integration.                    Click Here to View This Whitepaper        Extended Validation SSL Certificates                 Extended Validation (EV) is a new standard in SSL certificates. This guide explains the needs which drove the development of this standard and how it addresses contemporary security challenges. It also delves into the integration of EV certificates into new high security browsers such as Microsofts IE7.                   Click Here to View This Whitepaper        JMS Performance Benchmarks                This paper presents a performance analysis of publish/subscribe messaging throughput of FioranoMQ 2007, Sonic MQ 7.0, Tibco EMS v4.4.0 and ActiveMQ 4.1.0. This analysis provides a head-to-head comparison of these products designed to illustrate the products' relative performance characteristics for several messaging scenarios.                  Click Here to View This Whitepaper        For a More Secure SOA at Less Cost,Use System z9 and DataDirect  The inherent layered security of IBMs z/series mainframes and its native support for orchestration both in the processor and in z/OS, makes it inherently a good environment for SOA. This whitepaper discusses how DataDirect can help roll out a high-performance SOA while lowering the total cost of ownership.                   Click Here to View This Whitepaper        Evaluation and Getting Started GuideFor Database Development Tooling In Sybase WorkSpace 2.0              Sybase WorkSpace simplifies and unifies database development for the ASE and SQL Anywhere platforms with capabilities that support the complete development life cycle for database applicationsfrom development, debugging, testing, to deployment. The following white paper, "" Evaluation and Getting Started Guide For Database Development Tooling in Sybase WorkSpace"" provides in-depth coverage of database editing and debugging.                   Click Here to View This Whitepaper     SYS-CON.TV and Other Webcasts      What Is New in NetBeans 6?  Listen, watch and learn as NetBeans Technology Evangelist Gregg Sporar and Jeremy Geelan deep dive into NetBeans IDE 6.0. This is more than a conversation as you will view multiple screencasts highlighting the new features. Join us today and find out why NetBeans is the only IDE you need.   Click Here To View This Webcast {No Registration Required}            You are currently subscribed to 02-15-08-whitepaper as: user6@gvc.ceas-challenge.cc To unsubscribe to this list only, send a blank email to: pxesn-620963-0052515e@mailman.sys-con.com  To stop receiving special offers from our partners, but to keep receiving your digital edition and newsletter subscriptions,  click:http://www2.sys-con.com/globaldelete.cfm?ljqoa=jne@gvc.ceas-challenge.cc&unsubtype=specialoffer  SYS-CON Media        577 Chestnut Ridge Road        Woodcliff Lake NJ 07677     201-802-3000",0
phishing,legitimate,True,clement apute clemaputeconsultantcom subject business proposal importance high good day might seem deplorable person know name clement aputei lawyer close confidant client also happens sisterinlaw contacting clients urgent need go partnership someonewho country result familys present situation countryand specifically fixed address let say fixed responsibilities stands good reason go partnership present situation right requires good understanding good sense judgment sisterinlaw entire family really suffering hands wicked people drunk powerthis personal vendetta head states jailed client husbands regime 1997 actually plotting coup etat military administration power clear present head states wants take advantage seat power settle personal hatred clients family man bent destroying clients family family virtually lost familys money properties due vindictive administration power bent dealing family bank accounts frozenassets properties helped managing confiscated still non functional till present day administration spread much rumors family yet another smear campaign aimed mainly frustrate humiliate dismember widen scope hatred clients family right completely impossible member family make move entire family placed traveling restrictionsabout months ago squished another us395 million dollars wicked people completely dammed fact funds ascertained independently presently family finding hard manage completely run resources everything taken away madam children client needs sombody confide inpresently family still amounts money sum 84 million us dollars fractions cashwhich family spread lodged vault different securities outfits two countries asia also europe existence monies way known anybody elsenot even mamas children apart eldest son money lodged jewelry precaution maintain high level secrecy family left fall back expect keep matter confidence madam wants partner proceed soon possible retrieve money lodged security outfits handle duly instructed family needs somebody help withdraw deposits family financially country since everything taken away looking understanding partner work us require help family go retrieve one familys deposits lodged one places keep safely care since none us able travel country due traveling restrictions secondlyso always withdraw little part money possession send us hereanytime family great need way continue sustain family free thier enemies lawyer instructing go providing legal documents make claim behalf client please rest assured problems difficulties claiming deposits nobody aware existence money details given open negotiations arrive reasonable compromise gain trust see work together negotiate certain percentage share money family offer expected assistance partnership please inform decision immediately stop contacts await response note also get contact via secured emailclemaputaearthlingnet like private phone number discuss better regards clement apute esq thu 05 dec 2002 190338 0800 partnership,1
phishing,legitimate,True,"Special Offer! Free Companion Ticket on Qantas Airways Travelocity.com  	  Travelocity Preferred Traveler  Travelocity.com	   	   home    flights    cars    lodging    vacations    cruises  Customer Service	   	  How do I...	   	unsubscribe?  update my email?  retrieve my password?    Free Companion Ticket on Qantas Airways!	 Dear Keith, If the cost of a trip to the land down under has kept you from traveling to Australia, we've got good news for you. For a limited time, Qantas Airways is offering a free companion ticket when you join the Travelocity Preferred Traveler Program. Not only that, but with this ticket you can also stopover at up to three of Australia's most popular destinations including: Sydney, Brisbane, Melbourne, and more. So what are you waiting for? Enroll today in the program that lets you travel like an insider!  Click here  to learn more about the free companion ticket on Qantas.                 ***OTHER FEATURED BENEFITS***   	  Save up to $75 on Airline Tickets 	Save up to $75 on Airline Tickets  Receive $75 in cash rebate coupons for airline tickets booked at Travelocity.com. Plus, you can use the coupons for flights already purchased within the last 14 days.   	  Complimentary Airline Club Day Passes 	Complimentary Airline Club Day Passes  Receive VIP treatment at the airport--without putting in the VIP miles. Elite members receive day passes to American Airlines Admirals and US Airways Club lounges.   	  $25 Cash Back at Best Western Hotels 	Save $25 at Best Western Hotels  Start lodging for less! Receive a $25 rebate when you spend two or more nights at the largest hotel chain in the world. This offer is good at over 4,000 Best Western Hotel locations.   	  Receive up to 20% off at Your Favorite Restaurants 	Receive up to 20% off at Your Favorite Restaurants  Eat well and prosper! Receive up to 20% off your whole dining bill, including the tip, at up to 7,000 restaurants nationwide.   	 You won't find this package of travel benefits anywhere else. So why wait? Join the Travelocity Preferred Traveler Program and start taking advantage of the free companion ticket and travel savings today! If you enroll before November 1st, you'll also receive a free $30 gift certificate to NOVICA.com. Enroll now!  Sincerely, The Travelocity Team - Go Virtually Anywhere http://www.travelocity.com  	 2000 Travelocity.com L.P. All rights reserved. Travelocity., Travelocity.com and the Travelocity skyline logo.",1
legitimate,phishing,True,"svn commit: samba r22499 - in	branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr: . Author: mimir Date: 2007-04-24 08:36:41 +0000 (Tue, 24 Apr 2007) New Revision: 22499  WebSVN: http://websvn.samba.org/cgi-bin/viewcvs.cgi?view=rev&root=samba&rev=22499  Log: UsrCtx should be created within UsersView. Tree widget just opens it and passes the domain name(s) to operate on (selectable via combo box).   rafal   Modified:    branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js    branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js    branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js   Changeset: Modified: branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js =================================================================== --- branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js	2007-04-24 07:57:44 UTC (rev 22498) +++ branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js	2007-04-24 08:36:41 UTC (rev 22499) @@ -73,6 +73,13 @@  	      ""Transition_Idle_to_Idle_via_tree_selection_changed""            },   +          ""changeSelected"": +          { +            // this one is dispatched from UsersView widget +	    ""domainName"": +              ""Transition_Idle_to_AwaitRpcResult_via_domainName_changed"" +          }, +	   	  ""changeNetCtx"" :  	  {  	    ""swat.module.netmgr.Gui"" : @@ -120,7 +127,7 @@    var trans = new qx.util.fsm.Transition(      ""Transition_Idle_to_Idle_via_tree_selection_changed"",      { -      ""nextState"" : ""State_AwaitRpcResult"", +      ""nextState"" : ""State_Idle"",          ""ontransition"" : function(fsm, event)        { @@ -135,15 +142,14 @@          {  	  module.setNetCtx(parentNode.netCtx);  	} - +	 +	var domainName = parentNode.label;  	var nodeName = selectedNode.label; -	var callName = undefined;               // rpc call name -	var callArgs = [ gui.getNetCtx() ];       // NetContex goes first    	switch (nodeName)          {  	case ""Users"": -	  callName = ""UserMgr""; +	  gui.openUserManager(module, domainName);  	  break;    	case ""Groups"": @@ -155,14 +161,26 @@  	default:  	  alert(""Undefined call selected for node=['"" + nodeName + ""']"");  	} +      } +       +    });   -	// Bail out if no appropriate call name has been found -	if (callName == undefined) return; +  // Add the new transition +  state.addTransition(trans);   -	var req = _this.callRpc(fsm, ""samba.ejsnet"", callName, callArgs); +  var trans = new qx.util.fsm.Transition( +    ""Transition_Idle_to_AwaitRpcResult_via_domainName_changed"", +    { +      ""nextState"" : ""State_AwaitRpcResult"", + +      ""ontransition"" : function(fsm, event) +      { +	var domainName = fsm.getObject(""domainName"").getValue(); +	var netCtxId = swat.module.netmgr.Gui.getInstance().getNetCtx(); +	 +	var req = _this.callRpc(fsm, ""samba.ejsnet"", ""UserMgr"", [ netCtxId, domainName ]);  	req.setUserData(""requestType"", ""UserMgr"");        } -            });      // Add the new transition @@ -175,7 +193,8 @@          ""ontransition"" : function(fsm, event)        { -	var netCtxId = 0; +	var netCtxId = swat.module.netmgr.Gui.getInstance().getNetCtx(); +  	var req = _this.callRpc(fsm, ""samba.ejsnet"", ""NetContextCreds"", [ netCtxId ]);  	req.setUserData(""requestType"", ""NetContextCreds"");        }  Modified: branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js =================================================================== --- branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js	2007-04-24 07:57:44 UTC (rev 22498) +++ branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js	2007-04-24 08:36:41 UTC (rev 22499) @@ -213,6 +213,20 @@  };     +qx.Proto.openUserManager = function(module, domainName) +{ +  // Remove existing panel if there is any +  if (this._panel.getChildrenLength() > 0) +  { +    this._panel.removeAll(); +  } + +  // Create user view, pass the context and the view to the panel +  var view = new swat.module.netmgr.UsersView(module.fsm, domainName); +  this._panel.add(view); +}; + +  qx.Proto._addHostNode = function(module, rpcRequest, local)  {    var fsm = module.fsm; @@ -260,14 +274,8 @@    qx.Proto._initUserManager = function(module, rpcRequest)  { -  // Get obtained UsrCtx handle +  // Get obtained usrCtx handle    var usrCtx = rpcRequest.getUserData(""result"").data; - -  // Create user view and pass the context -  var view = new swat.module.netmgr.UsersView(module.fsm); -  view.setUsrCtx(usrCtx); -   -  this._panel.add(view);  };      Modified: branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js =================================================================== --- branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js	2007-04-24 07:57:44 UTC (rev 22498) +++ branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js	2007-04-24 08:36:41 UTC (rev 22499) @@ -11,7 +11,7 @@   * Users View    */  qx.OO.defineClass(""swat.module.netmgr.UsersView"", qx.ui.layout.HorizontalBoxLayout, -function(fsm) +function(fsm, domainName)  {    qx.ui.layout.HorizontalBoxLayout.call(this);   @@ -38,6 +38,39 @@    var cmbDomain = new qx.ui.form.ComboBox();    cmbDomain.setEditable(false);   +  // there's always BUILTIN domain so add it to the list +  var item = new qx.ui.form.ListItem(""BUILTIN""); +  cmbDomain.add(item); + +  var selectedItem = undefined; +   +  // Simply add the domain name if it is passed as a string +  if (typeof(domainName) == ""string"") +  { +    item = new qx.ui.form.ListItem(domainName); +    cmbDomain.add(item); + +    selectedItem = item; +  } +  else // if it's not a string we assume it is a list of strings +  { +    for (var s in domainName) +    { +      item = new qx.ui.form.ListItem(s); +      cmbDomain.add(s); +    } + +    selectedItem = new qx.ui.form.ListItem(domainName[0]); +  } + +  // Add event handling +  cmbDomain.addEventListener(""changeSelected"", fsm.eventListener, fsm); +  fsm.addObject(""domainName"", cmbDomain); + +  // Set default selection and dispatch the respective event to initialise the view +  cmbDomain.setSelected(selectedItem); +  cmbDomain.dispatchEvent(new qx.event.type.Event(""changeSelected""), true); +    // Create an empty list view with sample column    this._columns = { username : { label: ""Username"", width: 150, type: ""text"" }};    this._items = []; @@ -60,3 +93,15 @@    // UsrMgr context is required for any operation on user accounts  qx.OO.addProperty({ name : ""usrCtx"", type : ""number"" }); + + +qx.Proto.refreshView = function() +{ +} + + +qx.Proto._initUserManager = function(module, rpcRequest) +{ +  // Get obtained UsrCtx handle +  var usrCtx = rpcRequest.getUserData(""result"").data; +};",0
legitimate,phishing,True,"CNN Alerts: bush    CNN Alerts: bush            Alert Name: bush Rulings reflect Bush's conservative stamp on high court  06/28/07 10:24 PM, EDT Back in 1900, Finley Peter Dunne quoted Mr. Dooley, his fictional Irish bartender, as saying, ""The Supreme Court follows the election returns."" FULL STORY    You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here.                                To alter your alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here. Refer a friend or colleague to CNN's FREE personalized alerting service!   Cable News Network LP, LLLP. One CNN Center, Atlanta, Georgia 30303  2007 Cable News Network, LP, LLLP. A Time Warner Company. All Rights Reserved. Terms under which this service is provided to you. Read our privacy guidelines. Contact us.",0
legitimate,phishing,True,"Inside The Rockets - January 7, 2002 Mon., Jan. 7    	 THU., JAN. 3  ROCKETS VS. KNICKS Compaq Center, 7:30 PM CT FOX Sports Net, KPRC 950 AM (English), KRTX 980 AM (Spanish) Get Your Tickets Now!   	 THU., JAN. 10 ROCKETS @ JAZZ Delta Center, 8:00 PM CT UPN 20, KPRC 950 AM (English), KRTX 980 AM (Spanish) 	    Be sure to check out Reel-Time Rockets , a bi-monthly video feature series at rockets.com where we take an inside look into the off-the-court lives of Rockets players and coaches.    In the latest episode, Rockets Head Coach Rudy Tomjanovich tries to teach Reel-Time Rockets host Jeff Hagedorn the proper mechanics of serving ice cream at Stucchi's, a premium ice cream and frozen yogurt store owned by Rudy and his wife Sophie. Click here  to find out if Jeff is up to task and learn who really wears the pants in the Tomjanovich family. ROCKETS 5-GAME OUTLOOK  Following tomorrow night's game against the Knicks at Compaq Center, the Rockets will make a quick stop in Utah to take on the Jazz on Thursday before returning home Saturday to face Denver. After the Nuggets game, the Rockets will embark on a five-game Eastern Conference road trip beginning Jan. 15 in Philadelphia.  For more details about Houston's next five games, check out the Rockets 5-Game Outlook.   HELP MAKE STEVE AN ALL-STAR    With this week's returns in the 2002 NBA All-Star balloting program set to be released Tuesday, Steve Francis continues his quest to be named a starter to the Western Conference squad. Let's help Steve hold off Gary Payton for a starting berth by casting your ballot today ! Voting will continue only through January 13, so be sure to grab a friend or two and cast as many ballots as you can to ensure Steve represents Houston at the 2002 NBA All-Star Game in Philadephia. ROCKETS BROADCAST UPDATE  The NBA has announced that Houston's game at Philadelphia on Jan. 15 will no longer be televised nationally on TBS. The Rockets-Sixers matchup can be seen locally on FOX Sports Net. Accordingly, the game has moved to a 6:00 p.m. CT start time. In addition, the Rockets-Mavericks game in Dallas on Jan. 31 has been dropped from TNT's schedule and will only be telecast locally on UPN 20. The Rockets-Mavs game time remains at 8:00 p.m. CT.  Click here  to view the Rockets' remaining broadcast schedule. ROCKETS PHOTO GALLERIES   Check out our Photo Galleries page at rockets.com, where you will find the latest action photos of all your favorite Rockets players. Click here  to view a photo gallery from a past Rockets game or to check out a different bi-weekly gallery of every Rockets player.  ASK THE ROCKETS   Have you ever wondered how the Rockets got their name? Or who owns the highest career rebounding average as a member of the Rockets? If you would like to know the answers to these or any other Rockets-related matters, all you have to do is e-mail us your questions !  This week we answer questions  about Steve Francis' new shoes, how Maurice Taylor will fit into the Rockets offense upon his return, and more! INSIDE THE ROCKETS  Inside the Rockets is your chance to get up close and personal with Rockets players throughout the season. Each Monday we will ask a different question and the players' responses to that question will be posted. Be sure to check back each week to see their answers to an all-new question!  Click here  to view Rockets players' responses to this week's question: ""What is your most prized piece of sports memorabilia?"" TUX AND TENNIES CHARITY GALA 2002   Get ready to lace up your tennies! The Clutch City Foundation's sixth annual Tux & Tennies Charity Gala 2002 will be held on Thursday, February 28, 2002 at Compaq Center. For more information on tickets and tables, please call 713-963-7350.  >        Modify your account  Deactivate your account    _____   Topics: 	 Single game tickets	  	Weekly game schedule	  	Team news",0
legitimate,phishing,True,"CNN.com Daily Top 10 >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Apr 18, 2007  4:00 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= ~~~~~~~~~~~~~ TOP 10 VIDEOS ~~~~~~~~~~~~~ 1. THE 2-HOUR WINDOW http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/18/mattingly.two.hour.cnn CNN's David Mattingly on what happened in the two hours between the first killings and the massacre at Virginia Tech (April 18) 2. CHO'S ROOMMATES SPEAK http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/17/tuchman.cho.roommates.cnn 3. POLICE DESCRIBE GUNMAN'S PAST http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/18/sot.va.tech.flinchum.cho.contact.cnn 4. MOURNING A SISTER LOST http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/18/chetry.samaha.sister.victim.cnn 5. WRONGLY ACCUSED http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/17/koch.wrong.accused.cnn 6. GUNFIRE ON UNIVERSITY CAMPUS http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/16/sot.va.tech.shooting.barghouti.cnn 7. DISTURBING WRITINGS http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/17/acosta.disturbing.writing.cnn 8. THE YEAR OF CELEBRITY SLURS http://www.cnn.com/video/partners/email/index.html?url=/video/showbiz/2007/04/14/vargas.celebrity.slurs.cnn 9. WITNESS TO TRAGEDY http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/17/chetry.eye.witness.wdbj 10. THE VICTIMS http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/04/18/romans.the.victims.cnn ~~~~~~~~~~~~~~ TOP 10 STORIES ~~~~~~~~~~~~~~ 1. CHO'S PROFESSOR: DON'T FEEL GUILTY http://www.cnn.com/2007/US/04/18/vatech.professor/index.html Edward Falco, Cho's playwriting professor, writes to his classmates ""all our hearts are broken...no need to add to the pain with guilt."" 2. COWELL: 'IDOL' EXPRESSION NOT RELATED TO VA. TECH http://www.cnn.com/2007/SHOWBIZ/TV/04/18/tv.americanidol.virginia.ap/index.html 3. SLAIN PREACHER'S WIFE TESTIFIES http://www.cnn.com/2007/LAW/04/18/winkler.testimony/index.html 4. POLICE: CHO SENT TO COUNSELING http://www.cnn.com/2007/US/04/18/vtech.shooting/index.html 5. QUICK ACTION HELPED SAVE LIVES http://www.cnn.com/2007/US/04/17/vtech.closecall/index.html 6. FDA EXPANDS PET FOOD RECALL http://www.cnn.com/2007/US/04/18/pet.food/index.html 7. VT VICTIMS HAD PROMISING FUTURES http://www.cnn.com/2007/US/04/18/vtech.victims/index.html 8. BOMBINGS IN BAGHDAD KILL SCORES http://www.cnn.com/2007/WORLD/meast/04/18/iraq.main/index.html 9. BIRKHEAD: I GET ALONG WITH STERN http://www.cnn.com/2007/SHOWBIZ/TV/04/18/people.larrybirkhead.ap/index.html 10. ABORTION PROCEDURE BAN UPHELD http://www.cnn.com/2007/LAW/04/18/scotus.abortion/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2007 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=ktwarwic@SPEEDY.UWATERLOO.CA&l=cnn-dailytop10",0
legitimate,phishing,True,yale working papers volume announcing yale working papers volume yale morphous linguistics essays studies morphosyntax clitics contents stephen r anderson towards optimal account second position phenomena remarks agreement incorporation phenomena k david harrison morphology special np clitics definite article albanian stanley insler phonological organization rigvedic clitic chain lizanne kaiser cpr korean type iii nominalizations morphological cliticization object shifted weak pronouns swedish matthew richardson czech clitics 2p 2p question jennifer vanloon pronominal morphology sulimani kurdish ordering information 10 00 volume includes shipping within u please add additional 2 00 international orders checks made yale university orders inquiries please contact department linguistics yale university p box 208236 new ct 065208236 email linguist yaleads ycc yale edu telephone 203 4322450 fax 203 4324087,0
