predicted,targets,discrepancia,text,label
phishing,legitimate,True,"Cheapest way to solve health problems Dear valued member.Good news from MyCanadianPharmacy. Spring discounts for all our customers. You can buy Canadian products at prices which are really lower than American products prices without compromising quality. Click here to get more informationhttp://overprocess.hkAbsolutely low prices. Perfect service. High level of security.Best regards,Marysia Whitfield",1
phishing,legitimate,True,"your paypal billing information records are out of date . please update them immediately to restore your account . dear paypal  valued member , is has come to our attention that your paypal billing information records are out of date . that requires you to update the billing information . failure to update your records will result in account termination . please update your records in maximum 72 hours . once you have updated them , your paypal session will not be interrupted and will continue as normal . failure to update them will result in cancellation of service , terms of service ( tos ) violations or future billing problems . please follow the link below and update your account information : thank you for using paypal ! the paypal team your monthly account statement is available anytime ; just log in into your account at https : / / www . paypal . com / us / history . to correct any errors , please contact us through our help center at https : / / www . paypal . com / us / help . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - for international payments only : commissions and fees incurred by sender : $ 0 . 00 rate of exchange : if and when the receipt chooses to withdraw these funds from the paypal system , and if the withdrawal involves a currency conversion , the recipient will convert the funds at the aplicable currency exchange rate at the time of the withdrawal , and the recipient may incur a transaction fee . right to refund you , the customer , are entitled to a refund of the money to be transmitted as a result of this agreement if paypal does not forward the money received from you in 10 days of the date of its receipt , or does not give instructions commiting an equivalent amount of money to the person designated by you within 10 days of the date of the receipt of the funds from you unless otherwise instructed by you . if you want a refund , you must mail or deliver your written request to paypal at p . o . box 45950 , omaha , ne 68145 - 0950 . if you do not receive your refund , you may be entitled to your money back plus penalty of up to $ 1 . 000 , 00 usd and attorney ' s fee pursuant to section 1810 . 5 of the california financial code . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - please do not reply to this email . this mailbox is not monitored and you will not receive a response . for assistance , log in to your paypal account and choose the help link located in the top right corner of any paypal page . to receive email notifications in plain text instead of html , update your preferences here . paypal email id ppl 20",1
phishing,legitimate,True,"fast delivery subliminally entice any woman to be yours ! guaranteed . we know you may be skeptical , but if you ' re not totally satisfied with your sex life and who you ' re dating you owe it to yourself to visit our web site ( your choice of english or espanol ) at http : / / 208 . 166 . 10 . 22 / and learn how the power of subliminal mind control can change your life . it is simply a fact that sexual impulses can be awakened and greatly intensified by using subliminal commands . we guarantee it ! but , most subliminal enticement tapes do n't work . confused ? take 1 minute , go to http : / / 208 . 166 . 10 . 22 / and read the section entitled "" the number 1 reason our tapes work and theirs don ' t ! "" to find out why . if nothing else , you ' ll get a good laugh at how downright silly some other tapes are . everything ( and we mean everything ! ) to gain and nothing to lose ! we ' re so sure that our tapes work that every one comes with a 100 % money back guarantee ! now that you know about the hottest tapes on the internet , you have no excuse not to be successful with any woman you choose . if you do n't get the facts , you are cheating yourself out of happiness , romance , great sex and the time of your life ! click here http : / / 208 . 166 . 10 . 22 / millennium creations , llc 520 washington blvd . , suite 287 marina del rey , ca . 90292 310-281 - 6737 to be remove from future mailings , reply to : remove @ inside2000 . com with remove in the subject . please understand that our system has filters and any files larger than 2k , foul language , multiple emails , graphics , and / or attachments within the email or it 's headers will automatically delete your email without removal from our database . only the email address in the from : will be deleted , if you have more than one address , please email us using the email from any account . make sure the email address is the same address we used to send the message or it will not be deleted from our database . you must reply with remove in the subject line , in order to be removed . the contents of the message are never read . thank you .",1
legitimate,phishing,True,"Confirming your New Subscription to Paperloop.com ! Dear Monika Causholli,  This message is to confirm your order to Paperloop.com.  Your new Account information is below: 	User ID:	monikac 	Password:	causholli 	Name:		MONIKA CAUSHOLLI 	Title:	ANALYST 	Company:	ENRON 	Address1:	1400 SMITH STREET 	CityStZip:	HOUSTON TX 77002 	Tel. No:	(713) 345 1510 	Email Addr:	MONIKA.CAUSHOLLI@ENRON.COM   Your Subscription term is until 8/16/2002 If you have any questions or concerns about your Subscription, you can reach our customer service department through any of the following ways.  On the web: http://pubservice.com/subinfo.asp?PubCode=PU&AcctNo=860755&Zip=77002  Phone:	1-800-565-9226 or +322.536.0748 Fax:  	415-947-3700  Email:	mailto:info@paperloop.com Mail: 	Paperloop.com 		PO Box 16586 		North Hollywood,CA 91615  For future reference your  Account  number is PU860755. This Transaction id number is  110180.  Best Regards,  Your Paperloop.com team.",0
phishing,legitimate,True,"Special offer Dear valued member.It's time for Spring discounts. Spring Discounts from MyCanadianPharmacy. Buy cheap Canadian products and save up to 20%.Still ordering your Products in American drug stores? Try cheaper Canadian products of the same quality.Dont miss the possibility to buy the best pharmaceutical products at the best possible prices.For more information click herehttp://putsense.hkCustomer care team of skilled professionals, personalized service, prompt delivery.Youll make secure and confidential purchasing. Yours faithfully,Stacy Roberta",1
legitimate,phishing,True,"The Motley Fool Registration You're a Registered Fool!   Email Address: steve.kean@enron.com  To ""activate"" your account, go to:  http://boards.fool.com/Drano.asp?u=37151368&c=gwHQBDNeAU6zvCKZ  You'll need to type in the password you created when you registered to make it all work.  And if you ever forget your password, let us know at http://www.fool.com/denied.asp We have a way to help you change it.  We can't send your password to you (because we don't actually know what it is) but we can help you make it something new.  AMONG THE MANY BENEFITS OF BEING REGISTERED:   	-- Ask any financial question you have 	http://boards.fool.com 	 	-- Track your portfolio against the market  	http://portfolio.fool.com 	 	--Personalize your experience on the site 	http://my.fool.com 	 	--Choose a Discount Broker 	http://broker.fool.com	  TWO OTHER PLACES TO START  	-- A good introduction to all that we offer 	http://www.fool.com/about/site/new/foolishwelcome.htm 		 	-- A list of this week's content 	http://www.fool.com/foolwatch/foolwatch.htm  Finally, if you run into any trouble, drop an email to  FoolBoards@fool.com.  And the terms and conditions of being  registered are covered in our Fool's Rules:  http://www.fool.com/help/foolsrules.htm  Have a great time out there!  David and Tom Gardner",0
phishing,legitimate,True,"St0ck Mogul Newsletter Executive Hospitality Corp (EHPC) Operator of ""Joseph's"", a 500-seat Restaurant, Catering and Entertainment Complex Located at the Ft. Lauderdale Executive Airport in Fort Lauderdale, Fla. (Source: News 5/14/05)  Current Price: $.045   While past performance is ne ver indicative of future results, many of you may like to b u y the trend. Look at the recent price and volume action on this stock; (Former|y: ""IVIA"")   EHPC        open      high     |ow     c|ose    change       vo|ume   05/13/05   0.0400   0.0420   0.0350   0.0420  +0.0020       489,500             05/12/05   0.0425   0.0425   0.0300   0.0400  -0.0100        97,639              05/11/05   0.0600   0.0600   0.0450   0.0500  -0.0050       575,102              05/10/05   0.0607   0.0700   0.0500   0.0550  -0.0050       393,710              05/09/05   0.0360   0.0650   0.0350   0.0600  +0.0240     1,132,000              05/06/05   0.0400   0.0400   0.0350   0.0360  +0.0000       283,250              05/05/05   0.0350   0.0420   0.0300   0.0360  +0.0060     1,606,500              05/04/05   0.0250   0.0300   0.0190   0.0300  +0.0050       461,600              05/03/05   0.0060   0.0250   0.0060   0.0250  +0.0190     3,120,000  Here's the Reason for the Interest:  BOCA RATON, Fla., Apr 14, 2005 (PRIMEZONE via COMTEX) -- Invicta Corporation (Pink Sheets:IVIA) announced today that it had comp|eted its acquisition of Executive Restaurant Gr0up, Inc., owner and operator of ""Joseph's"", a 500-seat restaurant, catering and entertainment comp|ex located at the Ft. Lauderda|e Executive Airport in Fort Lauderdale, Fla. The purchase price was $1.2 mi|lion in cash, assumed debt and common stock.   The Company announced plans to expand the outdoor portion of the three-acre facility to include live entertainment events, and to increasee its marketing of corporate functions and catered affairs. The Company also p|ans to estab|ish an aviation catering operation to service the private and corporate jet owners and the fixed-base operators (FBOs) located at the airport, which is one of the nation's busiest genera| aviation airports.   The previously approved change of name of the corporation to Executive Hospitality Corporation will take effect on May 1, 2005, at which time a new trading symbo| wi|| be assigned. The Company is continuing to explore additiona| acquisition opportunities within the hospitality industry, primarily in the South F|orida market.                                      __________________________                                    Information within this email contains ""forward |ooking statements"" within the meaning of Section 27A of the Securities Act of 1933 and Section 21B of the Securities Exchange Act of 1934. Any statements that express or involve discussions with respect to predictions, expectations, beliefs, plans, projections, objectives, goals, assumptions or future events or performance are not statements of historica| fact and may be ""forward looking statements.""Forward looking statements are based on expectations, estimates and projections at the time the statements are made that invo|ve a number of risks and uncertainties which cou|d cause actua| resu|ts or events to differ materially from those present|y anticipated. Forward |ooking statements in this action may be identified through the use of words such as ""projects"", ""foresee"", ""expects"", ""wi|l,"" ""anticipates,"" ""estimates,"" ""believes,"" ""understands"" or that by statements indicating certain actions ""may,"" ""could,"" or ""might"" occur. As with many microcap stocks, today's company has additiona| risk factors that raise doubt about its ability to continue as a going concern. Today's featured company is not a reporting company registered under the Securities Act of 1934 and hence there is limited information avai|ab|e about the company. Other factors include an accumulated deficit since its inception, a negative net worth, defau|t on |oans,and an auditors going concern opinion. The company is going to need financing. If that financing does not occur,the company may not be able to complete some proposed transactions and the company may not be able to continue as a going concern in which case you could |ose your entire investment. Other risks and uncertainties inc|ude, but are not |imited to, the ability of the Company to complete its business p|an,reliance on key personnel, market conditions, the genera| acceptance of the Company's products and technologies, competitive factors, timing, and other risks associated with their business. The pub|isher of this news|etter does not represent that the information contained in this message states a|| materia| facts or does not omit a materia| fact necessary to make the statements therein not misleading.Al| information provided within this email pertaining to investing, stocks, securities must be understood as information provided and not investment advice. The publisher of this newsletter advises a|| readers and subscribers to seek advice from a registered professiona| securities representative before deciding to trade in stocks featured within this email. None of the material within this report sha|| be construed as any kind of investment advice or solicitation.Many of these companies are on the verge of bankruptcy. You can lose all your money by investing in this stock. The publisher of this newsletter is n0t a re gist ered in vest ment advis0r. Subscribers shou|d not view information herein as |ega|, tax, accounting or investment advice. Any reference to past performance(s) of companies are specia||y selected to be referenced based on the favorable performance of these companies. You wou|d need perfect timing to acheive the results in the examples given. There can be no assurance of that happening. Remember, as a|ways, past performance is ne ver indicative of future results and a thorough due di|igence effort, inc|uding a review of a company's fi|ings when availab|e, should be completed prior to investing. In compliance with the Securities Act of 1933, Section17(b), The publisher of this news|etter is contracted to receive fourty thousand dollars from a third party, not an officer, director or affi|iate shareholder for the circulation of this report. Be aware of an inherent conflict of interest resulting from such compensation due to the fact that this is a paid advertisement and is not without bias.The party that paid us has a position in the stock they wi|| sell at anytime without notice. This could have a negative impact on the price of the stock, causing you to lose money. A|l factual information in this report was gathered from public sources, including but not limited to Company Websites and Company Press Re|eases. The publisher of this news|etter believes this information to be reliable but can make no guaranteee as to its accuracy or comp|eteness. Use of the material within this emai| constitutes your acceptance of these terms.  If you wish to stop future mailings, or if you feel you have been wrongfully placed in our membership, please go here or send a blank e mai| with No Thanks in the subject to  noneed1015  @yahoo.com",1
phishing,legitimate,True,urgent ad spyware consumer alert click,1
phishing,legitimate,True,"re:Online store offers special discounts Dear valued member.You have an excellent opportunity to save money purchasing your products.MyCanadianPharmacy on-line drug store provides quality pharmaceutical products to help you manage your health and well-being without spending heaps of money.Click here to checkhttp://picturedry.hkAbsolutely low prices. Perfect service. High level of security.Best regards,Sofia Chung",1
legitimate,phishing,True,"loquacious: Dictionary.com Word of the Day =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= Free Tax Software! Download free TaxACT and begin preparing your taxes today! TaxACT interviews you, automatically calculates your return and  prints IRS-approved forms for FREE.  Plus, you can e-file for  under $8  http://by.advertising.com/1/c/62072/39977/152574/152574   AOL users click here  =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=    Word of the Day for Sunday February 24, 2002:    loquacious \\loh-KWAY-shuhs\\, adjective:    1. Very talkative.    2. Full of excessive talk; wordy.      The  meeting  went  on  for hours, accommodating loquacious      bores who were each allowed their say.      --Andrew  Sullivan,  ""Gay  Life,  Gay  Death,""  [1]The  New      Republic, December 17, 1990      In  drawing  a sharp contrast with the loquacious Ginsburg,      her  new  lawyers  appeared for just a few moments and said      virtually  nothing  to reporters before retreating into the      building.      --Peter  Baker, ""Lewinsky Replaces Ginsburg,"" [2]Washington      Post, June 3, 1998      _________________________________________________________    Loquacious  comes  from Latin loquax, ""talkative,"" from loqui,    ""to speak."" References    1. http://www.thenewrepublic.com/    2. http://www.washingtonpost.com/ _._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._ You are currently subscribed to Dictionary.com Word of the Day as:  matt.motley@enron.com To subscribe to the list by email, send a blank message to: join-WordoftheDay@lists.lexico.com To unsubscribe via email, send a blank message to: leave-wordoftheday-357530C@lists.lexico.com Subscriptions can be turned on and off from the Web at http://www.dictionary.com/wordoftheday/list/ Dictionary.com Word of the Day http://www.dictionary.com/wordoftheday/ (C) 2002 by Lexico Publishing Group, LLC.",0
