,predicted
0,legitimate
1,phishing
2,phishing
3,phishing
4,phishing
5,phishing
6,legitimate
7,legitimate
8,phishing
9,legitimate
10,phishing
11,phishing
12,phishing
13,legitimate
14,phishing
15,legitimate
16,legitimate
17,phishing
18,phishing
19,phishing
20,legitimate
21,legitimate
22,legitimate
23,legitimate
24,phishing
25,phishing
26,phishing
27,legitimate
28,legitimate
29,phishing
30,legitimate
31,legitimate
32,phishing
33,legitimate
34,phishing
35,phishing
36,phishing
37,legitimate
38,phishing
39,phishing
40,phishing
41,phishing
42,legitimate
43,phishing
44,phishing
45,legitimate
46,legitimate
47,legitimate
48,phishing
49,phishing
50,phishing
51,legitimate
52,phishing
53,phishing
54,phishing
55,phishing
56,phishing
57,legitimate
58,legitimate
59,phishing
60,legitimate
61,legitimate
62,phishing
63,phishing
64,legitimate
65,phishing
66,legitimate
67,phishing
68,phishing
69,legitimate
70,legitimate
71,phishing
72,legitimate
73,phishing
74,legitimate
75,legitimate
76,legitimate
77,legitimate
78,phishing
79,legitimate
80,legitimate
81,legitimate
82,legitimate
83,legitimate
84,legitimate
85,legitimate
86,phishing
87,legitimate
88,phishing
89,legitimate
90,legitimate
91,legitimate
92,phishing
93,legitimate
94,legitimate
95,legitimate
96,phishing
97,legitimate
98,phishing
99,phishing
100,legitimate
101,legitimate
102,legitimate
103,phishing
104,legitimate
105,legitimate
106,phishing
107,phishing
108,legitimate
109,phishing
110,legitimate
111,phishing
112,phishing
113,phishing
114,legitimate
115,legitimate
116,phishing
117,legitimate
118,phishing
119,phishing
120,legitimate
121,legitimate
122,phishing
123,legitimate
124,phishing
125,legitimate
126,legitimate
127,legitimate
128,legitimate
129,phishing
130,phishing
131,legitimate
132,phishing
133,phishing
134,phishing
135,legitimate
136,phishing
137,phishing
138,phishing
139,phishing
140,legitimate
141,phishing
142,legitimate
143,legitimate
144,phishing
145,phishing
146,legitimate
147,legitimate
148,phishing
149,phishing
150,legitimate
151,phishing
152,legitimate
153,legitimate
154,phishing
155,phishing
156,phishing
157,phishing
158,legitimate
159,phishing
160,legitimate
161,legitimate
162,phishing
163,phishing
164,legitimate
165,phishing
166,legitimate
167,legitimate
168,phishing
169,phishing
170,phishing
171,legitimate
172,legitimate
173,legitimate
174,phishing
175,phishing
176,phishing
177,phishing
178,legitimate
179,legitimate
180,phishing
181,phishing
182,phishing
183,legitimate
184,phishing
185,legitimate
186,legitimate
187,phishing
188,legitimate
189,phishing
190,phishing
191,phishing
192,phishing
193,legitimate
194,phishing
195,phishing
196,phishing
197,legitimate
198,phishing
199,phishing
200,legitimate
201,phishing
202,phishing
203,phishing
204,phishing
205,phishing
206,legitimate
207,phishing
208,phishing
209,phishing
210,legitimate
211,phishing
212,legitimate
213,legitimate
214,legitimate
215,phishing
216,phishing
217,legitimate
218,legitimate
219,phishing
220,phishing
221,legitimate
222,legitimate
223,legitimate
224,legitimate
225,legitimate
226,legitimate
227,legitimate
228,phishing
229,legitimate
230,legitimate
231,phishing
232,legitimate
233,phishing
234,phishing
235,phishing
236,legitimate
237,phishing
238,legitimate
239,phishing
240,phishing
241,phishing
242,legitimate
243,legitimate
244,phishing
245,legitimate
246,legitimate
247,legitimate
248,legitimate
249,legitimate
250,legitimate
251,phishing
252,legitimate
253,phishing
254,legitimate
255,legitimate
256,legitimate
257,phishing
258,phishing
259,phishing
260,phishing
261,legitimate
262,legitimate
263,phishing
264,legitimate
265,legitimate
266,legitimate
267,phishing
268,legitimate
269,legitimate
270,legitimate
271,legitimate
272,phishing
273,phishing
274,legitimate
275,phishing
276,phishing
277,phishing
278,legitimate
279,phishing
280,phishing
281,phishing
282,legitimate
283,legitimate
284,phishing
285,phishing
286,legitimate
287,legitimate
288,phishing
289,legitimate
290,legitimate
291,phishing
292,phishing
293,legitimate
294,phishing
295,phishing
296,legitimate
297,phishing
298,phishing
299,phishing
300,phishing
301,legitimate
302,legitimate
303,phishing
304,phishing
305,legitimate
306,legitimate
307,phishing
308,phishing
309,phishing
310,phishing
311,legitimate
312,legitimate
313,phishing
314,legitimate
315,phishing
316,phishing
317,phishing
318,phishing
319,phishing
320,phishing
321,phishing
322,legitimate
323,legitimate
324,phishing
325,phishing
326,legitimate
327,phishing
328,legitimate
329,legitimate
330,phishing
331,legitimate
332,legitimate
333,legitimate
334,legitimate
335,phishing
336,legitimate
337,legitimate
338,legitimate
339,phishing
340,phishing
341,legitimate
342,legitimate
343,phishing
344,phishing
345,legitimate
346,phishing
347,legitimate
348,legitimate
349,legitimate
350,phishing
351,legitimate
352,phishing
353,phishing
354,legitimate
355,legitimate
356,legitimate
