,predicted
0,legitimate
1,phishing
2,legitimate
3,legitimate
4,phishing
5,phishing
6,legitimate
7,legitimate
8,legitimate
9,legitimate
10,legitimate
11,phishing
12,phishing
13,phishing
14,legitimate
15,phishing
16,phishing
17,phishing
18,phishing
19,phishing
20,legitimate
21,legitimate
22,phishing
23,phishing
24,legitimate
25,phishing
26,phishing
27,phishing
28,phishing
29,legitimate
30,phishing
31,legitimate
32,phishing
33,phishing
34,legitimate
35,legitimate
36,legitimate
37,legitimate
38,phishing
39,legitimate
40,legitimate
41,phishing
42,legitimate
43,legitimate
44,legitimate
45,phishing
46,phishing
47,legitimate
48,legitimate
49,phishing
50,legitimate
51,phishing
52,phishing
53,phishing
54,phishing
55,phishing
56,legitimate
57,phishing
58,phishing
59,legitimate
60,legitimate
61,legitimate
62,phishing
63,legitimate
64,phishing
65,phishing
66,legitimate
67,phishing
68,phishing
69,legitimate
70,phishing
71,phishing
72,legitimate
73,legitimate
74,legitimate
75,legitimate
76,legitimate
77,legitimate
78,phishing
79,legitimate
80,legitimate
81,legitimate
82,legitimate
83,phishing
84,legitimate
85,legitimate
86,legitimate
87,legitimate
88,phishing
89,legitimate
90,legitimate
91,legitimate
92,legitimate
93,legitimate
94,legitimate
95,phishing
96,legitimate
97,legitimate
98,legitimate
99,legitimate
100,phishing
101,phishing
102,legitimate
103,legitimate
104,phishing
105,legitimate
106,phishing
107,phishing
108,legitimate
109,legitimate
110,legitimate
111,phishing
112,phishing
113,phishing
114,phishing
115,legitimate
116,phishing
117,legitimate
118,phishing
119,legitimate
120,phishing
121,legitimate
122,phishing
123,phishing
124,phishing
125,legitimate
126,phishing
127,legitimate
128,legitimate
129,phishing
130,phishing
131,legitimate
132,legitimate
133,phishing
134,phishing
135,legitimate
136,phishing
137,legitimate
138,phishing
139,legitimate
140,legitimate
141,phishing
142,legitimate
143,phishing
144,legitimate
145,phishing
146,legitimate
147,phishing
148,legitimate
149,legitimate
150,legitimate
151,phishing
152,phishing
153,legitimate
154,phishing
155,legitimate
156,legitimate
157,phishing
158,legitimate
159,phishing
160,phishing
161,legitimate
162,phishing
163,phishing
164,phishing
165,phishing
166,legitimate
167,legitimate
168,phishing
169,phishing
170,phishing
171,legitimate
172,legitimate
173,legitimate
174,legitimate
175,phishing
176,phishing
177,legitimate
178,legitimate
179,legitimate
180,phishing
181,phishing
182,phishing
183,phishing
184,phishing
185,legitimate
186,phishing
187,phishing
188,legitimate
189,legitimate
190,legitimate
191,legitimate
192,phishing
193,legitimate
194,legitimate
195,phishing
196,legitimate
197,legitimate
198,phishing
199,legitimate
200,legitimate
201,legitimate
202,phishing
203,legitimate
204,legitimate
205,legitimate
206,legitimate
207,legitimate
208,phishing
209,phishing
210,legitimate
211,legitimate
212,phishing
213,legitimate
214,phishing
215,legitimate
216,phishing
217,legitimate
218,legitimate
219,phishing
220,phishing
221,phishing
222,phishing
223,legitimate
224,legitimate
225,phishing
226,legitimate
227,phishing
228,phishing
229,phishing
230,phishing
231,legitimate
232,legitimate
233,phishing
234,phishing
235,phishing
236,legitimate
237,legitimate
238,legitimate
239,phishing
240,legitimate
241,phishing
242,phishing
243,phishing
244,phishing
245,legitimate
246,phishing
247,legitimate
248,legitimate
249,phishing
250,legitimate
251,legitimate
252,legitimate
253,legitimate
254,legitimate
255,legitimate
256,legitimate
257,legitimate
258,legitimate
259,legitimate
260,phishing
261,phishing
262,legitimate
263,legitimate
264,phishing
265,phishing
266,legitimate
267,phishing
268,phishing
269,legitimate
270,phishing
271,phishing
272,legitimate
273,legitimate
274,legitimate
275,legitimate
276,legitimate
277,phishing
278,phishing
279,legitimate
280,phishing
281,legitimate
282,phishing
283,legitimate
284,phishing
285,legitimate
286,legitimate
287,legitimate
288,phishing
289,phishing
290,phishing
291,legitimate
292,legitimate
293,phishing
294,legitimate
295,legitimate
296,legitimate
297,legitimate
298,legitimate
299,legitimate
300,phishing
301,phishing
302,phishing
303,phishing
304,phishing
305,legitimate
306,legitimate
307,legitimate
308,legitimate
309,phishing
310,phishing
311,legitimate
312,phishing
313,phishing
314,legitimate
315,phishing
316,legitimate
317,phishing
318,phishing
319,legitimate
320,legitimate
321,phishing
322,phishing
323,phishing
324,legitimate
325,phishing
326,legitimate
327,legitimate
328,phishing
329,phishing
330,phishing
331,legitimate
332,phishing
333,legitimate
334,phishing
335,phishing
336,phishing
337,legitimate
338,legitimate
339,phishing
340,phishing
341,phishing
342,phishing
343,phishing
344,phishing
345,legitimate
346,phishing
347,phishing
348,phishing
349,phishing
350,phishing
351,phishing
352,phishing
353,legitimate
354,legitimate
