predicted,targets
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
legitimate,phishing
legitimate,legitimate
legitimate,legitimate
legitimate,legitimate
legitimate,phishing
