,predicted
0,phishing
1,phishing
2,phishing
3,legitimate
4,legitimate
5,legitimate
6,legitimate
7,phishing
8,legitimate
9,phishing
10,phishing
11,phishing
12,legitimate
13,legitimate
14,phishing
15,phishing
16,legitimate
17,phishing
18,phishing
19,legitimate
20,phishing
21,legitimate
22,legitimate
23,legitimate
24,legitimate
25,phishing
26,legitimate
27,phishing
28,legitimate
29,legitimate
30,legitimate
31,legitimate
32,phishing
33,legitimate
34,legitimate
35,legitimate
36,phishing
37,legitimate
38,phishing
39,phishing
40,phishing
41,legitimate
42,phishing
43,legitimate
44,phishing
45,phishing
46,legitimate
47,legitimate
48,legitimate
49,phishing
50,legitimate
51,phishing
52,phishing
53,legitimate
54,phishing
55,legitimate
56,phishing
57,legitimate
58,legitimate
59,legitimate
60,legitimate
61,phishing
62,legitimate
63,phishing
64,phishing
65,legitimate
66,phishing
67,phishing
68,phishing
69,legitimate
70,phishing
71,phishing
72,legitimate
73,legitimate
74,phishing
75,legitimate
76,phishing
77,legitimate
78,legitimate
79,phishing
80,legitimate
81,legitimate
82,phishing
83,phishing
84,phishing
85,legitimate
86,phishing
87,phishing
88,legitimate
89,phishing
90,phishing
91,phishing
92,phishing
93,phishing
94,legitimate
95,phishing
96,legitimate
97,legitimate
98,legitimate
99,legitimate
100,legitimate
101,legitimate
102,phishing
103,legitimate
104,legitimate
105,legitimate
106,legitimate
107,phishing
108,legitimate
109,legitimate
110,phishing
111,phishing
112,phishing
113,phishing
114,phishing
115,phishing
116,legitimate
117,phishing
118,phishing
119,phishing
120,legitimate
121,legitimate
122,legitimate
123,phishing
124,phishing
125,phishing
126,legitimate
127,phishing
128,phishing
129,legitimate
130,legitimate
131,phishing
132,phishing
133,legitimate
134,legitimate
135,legitimate
136,phishing
137,legitimate
138,phishing
139,phishing
140,phishing
141,legitimate
142,phishing
143,phishing
144,legitimate
145,legitimate
146,phishing
147,phishing
148,phishing
149,phishing
150,phishing
151,phishing
152,phishing
153,phishing
154,phishing
155,legitimate
156,legitimate
157,phishing
158,legitimate
159,legitimate
160,legitimate
161,phishing
162,legitimate
163,legitimate
164,phishing
165,legitimate
166,legitimate
167,legitimate
168,phishing
169,phishing
170,legitimate
171,phishing
172,phishing
173,legitimate
174,phishing
175,legitimate
176,phishing
177,phishing
178,legitimate
179,phishing
180,phishing
181,legitimate
182,legitimate
183,legitimate
184,legitimate
185,phishing
186,phishing
187,phishing
188,legitimate
189,legitimate
190,legitimate
191,phishing
192,legitimate
193,legitimate
194,legitimate
195,phishing
196,legitimate
197,legitimate
198,phishing
199,legitimate
200,legitimate
201,phishing
202,phishing
203,phishing
204,phishing
205,legitimate
206,legitimate
207,legitimate
208,legitimate
209,phishing
210,phishing
211,legitimate
212,legitimate
213,phishing
214,legitimate
215,legitimate
216,legitimate
217,legitimate
218,legitimate
219,phishing
220,phishing
221,phishing
222,legitimate
223,legitimate
224,legitimate
225,phishing
226,legitimate
227,legitimate
228,legitimate
229,legitimate
230,phishing
231,phishing
232,legitimate
233,phishing
234,phishing
235,phishing
236,legitimate
237,phishing
238,legitimate
239,legitimate
240,phishing
241,legitimate
242,legitimate
243,legitimate
244,phishing
245,legitimate
246,phishing
247,phishing
248,phishing
249,legitimate
250,legitimate
251,phishing
252,phishing
253,legitimate
254,legitimate
255,phishing
256,legitimate
257,phishing
258,legitimate
259,legitimate
260,legitimate
261,phishing
262,phishing
263,phishing
264,legitimate
265,phishing
266,phishing
267,phishing
268,legitimate
269,legitimate
270,legitimate
271,phishing
272,legitimate
273,legitimate
274,legitimate
275,legitimate
276,phishing
277,phishing
278,phishing
279,legitimate
280,legitimate
281,phishing
282,legitimate
283,legitimate
284,legitimate
285,phishing
286,phishing
287,legitimate
288,phishing
289,legitimate
290,phishing
291,legitimate
292,legitimate
293,phishing
294,legitimate
295,phishing
296,legitimate
297,phishing
298,phishing
299,phishing
300,phishing
301,phishing
302,phishing
303,legitimate
304,legitimate
305,phishing
306,phishing
307,phishing
308,legitimate
309,legitimate
310,legitimate
311,phishing
312,phishing
313,phishing
314,legitimate
315,phishing
316,legitimate
317,phishing
318,legitimate
319,phishing
320,legitimate
321,legitimate
322,phishing
323,legitimate
324,legitimate
325,phishing
326,legitimate
327,legitimate
328,legitimate
329,legitimate
330,phishing
