,predicted
0,phishing
1,"The last email belongs to the class phishing.

The email shows several signs of being a phishing attempt:

1. The email claims to be from a reputable bank (Bank of America), but the actual sender address is not from the bank's domain.
2. The email asks the"
2,"The last email belongs to the class: legitimate.

The email appears to be a newsletter from a company called ""Homeland Security Investments"" that provides information about investment opportunities in the information security sector. It presents a specific stock, VNBL OB (Vinobe Inc), and gives reasons why it is"
3,legitimate
4,"The last email belongs to the class: legitimate.

The email appears to be advertising a dental service plan, and it does not contain any requests for sensitive personal information (such as passwords or credit card numbers), which is a common characteristic of phishing emails. Additionally, the email provides an option for the recipient to"
5,legitimate
6,"The last email belongs to the class of phishing.

The email is an attempt to solicit sensitive personal information from the recipient by posing as a legitimate bank official. The use of urgent language, the promise of a large sum of money, and the request for confidentiality are all common tactics used in phishing"
7,legitimate
8,"The last email belongs to the class: legitimate.

The email appears to be a collection of news stories from various categories such as top stories, weather, US, world, business, sports, health, technology, entertainment, and features. There are no indications of any illegitimate or phishing attempts in"
9,legitimate
10,"The last email belongs to the class: legitimate.

The email appears to be promoting ShareBuilder, a legitimate brokerage firm, and provides information about their services and fees. It also includes instructions on how to unsubscribe from their mailing list, which is a common practice for legitimate businesses. While the email does contain"
11,phishing
12,legitimate
13,"The last email belongs to the class: phishing.

The email is an attempt to solicit the recipient's personal and financial information by posing as a member of a prominent Nigerian family. The email contains several red flags associated with phishing attempts, such as poor grammar and spelling, urgent requests"
14,legitimate
15,"phishing

The email is likely a phishing attempt for several reasons:

1. The email contains spelling and grammar mistakes, such as ""mayraparraleshgjgobec"" and ""may asked.""
2. The email asks the recipient to click on a link to ""www"
16,"The last email belongs to the class: phishing.

The email contains numerous red flags associated with phishing attempts, such as excessive use of capitalization, poor grammar, and a sense of urgency to invest in a particular stock. Additionally, the email contains forward-looking statements that are often used in pump"
17,"The last email belongs to the phishing class.

The email is pretending to be from Hajia Maryam Abacha, the wife of the late Nigerian head of state, General Sani Abacha. It claims that there is a large sum of money, $35,000"
