,predicted
0,legitimate
1,phishing
2,legitimate
3,legitimate
4,phishing
5,legitimate
6,phishing
7,legitimate
8,phishing
9,legitimate
10,legitimate
11,phishing
12,legitimate
13,legitimate
14,legitimate
15,legitimate
16,legitimate
17,phishing
18,legitimate
19,phishing
20,phishing
21,legitimate
22,phishing
23,legitimate
24,legitimate
25,legitimate
26,phishing
27,legitimate
28,legitimate
29,phishing
30,phishing
31,phishing
32,legitimate
33,phishing
34,phishing
35,legitimate
36,legitimate
37,legitimate
38,legitimate
39,legitimate
40,legitimate
41,legitimate
42,legitimate
43,legitimate
44,legitimate
45,legitimate
46,legitimate
47,legitimate
48,phishing
49,phishing
50,phishing
51,legitimate
52,phishing
53,phishing
54,legitimate
55,phishing
56,phishing
57,legitimate
58,legitimate
59,legitimate
60,legitimate
61,phishing
62,legitimate
63,phishing
64,legitimate
65,legitimate
66,legitimate
67,legitimate
68,legitimate
69,phishing
70,legitimate
71,legitimate
72,legitimate
73,legitimate
74,legitimate
75,legitimate
76,legitimate
77,phishing
78,legitimate
79,legitimate
80,legitimate
81,phishing
82,phishing
83,phishing
84,phishing
85,phishing
86,phishing
87,phishing
88,phishing
89,phishing
90,phishing
91,phishing
92,legitimate
93,legitimate
94,legitimate
95,phishing
96,legitimate
97,phishing
98,legitimate
99,legitimate
100,legitimate
101,phishing
102,phishing
103,phishing
104,phishing
105,phishing
106,phishing
107,legitimate
108,phishing
109,phishing
110,legitimate
111,phishing
112,phishing
113,legitimate
114,phishing
115,legitimate
116,phishing
117,legitimate
118,phishing
119,phishing
120,phishing
121,legitimate
122,phishing
123,legitimate
124,phishing
125,phishing
126,phishing
127,legitimate
128,legitimate
129,legitimate
130,phishing
131,legitimate
132,legitimate
133,phishing
134,legitimate
135,legitimate
136,phishing
137,legitimate
138,legitimate
139,phishing
140,legitimate
141,phishing
142,phishing
143,phishing
144,legitimate
145,phishing
146,legitimate
147,phishing
148,legitimate
149,legitimate
150,legitimate
151,phishing
152,phishing
153,legitimate
154,legitimate
155,legitimate
156,phishing
157,phishing
158,legitimate
159,legitimate
160,phishing
161,legitimate
162,phishing
163,phishing
164,legitimate
165,legitimate
166,phishing
167,phishing
168,legitimate
169,phishing
170,phishing
171,legitimate
172,legitimate
173,legitimate
174,legitimate
175,phishing
176,phishing
177,phishing
178,phishing
179,legitimate
180,legitimate
181,legitimate
182,phishing
183,phishing
184,legitimate
185,legitimate
186,legitimate
187,legitimate
188,legitimate
189,legitimate
190,legitimate
191,legitimate
192,phishing
193,legitimate
194,phishing
195,legitimate
196,phishing
197,phishing
198,phishing
199,legitimate
200,legitimate
201,legitimate
202,phishing
203,legitimate
204,legitimate
205,legitimate
206,phishing
207,legitimate
208,phishing
209,phishing
210,phishing
211,legitimate
212,phishing
213,phishing
214,phishing
215,phishing
216,phishing
217,phishing
218,phishing
219,legitimate
220,phishing
221,phishing
222,legitimate
223,legitimate
224,phishing
225,legitimate
226,phishing
227,legitimate
228,legitimate
229,phishing
230,phishing
231,legitimate
232,legitimate
233,phishing
234,legitimate
235,phishing
236,legitimate
237,legitimate
238,phishing
239,legitimate
240,phishing
241,legitimate
242,legitimate
243,legitimate
244,phishing
245,phishing
246,legitimate
247,legitimate
248,phishing
249,phishing
250,legitimate
251,legitimate
252,phishing
253,phishing
254,legitimate
255,phishing
256,legitimate
257,phishing
258,phishing
259,legitimate
260,legitimate
261,phishing
262,phishing
263,phishing
264,phishing
265,legitimate
266,legitimate
267,legitimate
268,legitimate
269,legitimate
270,phishing
271,legitimate
272,legitimate
273,legitimate
274,legitimate
275,legitimate
276,legitimate
277,legitimate
278,phishing
279,phishing
280,phishing
281,legitimate
282,legitimate
283,phishing
284,legitimate
285,legitimate
286,legitimate
287,legitimate
288,phishing
289,phishing
290,legitimate
291,phishing
292,legitimate
293,phishing
294,legitimate
295,legitimate
296,legitimate
297,legitimate
298,phishing
299,phishing
300,legitimate
301,phishing
302,legitimate
303,legitimate
304,legitimate
305,phishing
306,phishing
307,phishing
308,legitimate
309,legitimate
310,legitimate
311,legitimate
312,phishing
313,legitimate
314,legitimate
315,legitimate
316,legitimate
317,legitimate
318,legitimate
319,legitimate
320,phishing
321,legitimate
322,legitimate
323,legitimate
324,legitimate
325,phishing
326,phishing
327,phishing
328,phishing
329,phishing
330,phishing
331,phishing
332,legitimate
333,phishing
334,phishing
335,phishing
336,legitimate
337,phishing
338,legitimate
339,phishing
340,phishing
341,legitimate
342,legitimate
343,legitimate
344,legitimate
345,phishing
346,legitimate
347,phishing
348,legitimate
349,phishing
350,phishing
351,phishing
352,legitimate
