predicted,targets,discrepancia,text,label
phishing,legitimate,True,mr daniel abass danielabassafmailcom mr daniel abass direct tel2348033049003 private confidential transfer us505million dollars dear friend name mr daniel abass accountant ajaokuta steel company ltd ascl chiarman committee set govrnment investigate contracts awarded company past seven years vetting making payments behalf ajaokuta steel company ltd ascl subject due consideration fully agreed privately invest extensively country intending resign government services private business someother officials parastatal partners specifically mandated partners arrange terms trade possible transfer funds needed investment companys account personal account funds incurred invoiced contract awarded russian firm regime late gen sani abacha original value contracts purposely estimated us tenders board committee tune us505mfifty millionfive hundred thousand uinted states dollars firm received payment fully want transfer invoiced sum companys account privately invest profitable form business us505m since approved paymentremittance among payments made money floating escrow account one top commercial banks country redundant funds waiting claimed civil service code conduct prohibits civil servants owning company operating foreign account therefore solicit help remit funds companys personal account pending come sharing enable us process remit fund bank account successfully within 10 banking days day response need following information return email 1your company name address 2your private confidential telfax numbers address note soon receive information forwarded appropriate quarters final processing approvals modality makes possible company act subsidiary original firm satisfied agency bank account credited via telegraphic transfer telegraphic transfer department commercial bank within 48 hoursthis transfer 100 riskfree done underground works locally smooth transfer fund bank account within shortest period advice keep business top secret rest correspondences email phone occupying sensitive position government circle also life time opportunity wish loose jointly agreed reward 20 total sum honest assistance cooperation 75 colleagues remaining 5 mapped settling expenses local foreign incurred course transaction indicate interest urgently email always reach anytime day directy telephone number 2348033049003 soon get mail best regards mr daniel abass direct tel2348033049003 mon 30 jun 2003 082212 0700 private confidential,1
phishing,legitimate,True,"Transmission Study Now Available! Energy Info Source's U.S. Transmission Report is a 550-page, 4 part report which provides all you need to know about the fast ch! anging transmission industry. The report takes a wide-ranging look at changes in the structure of the business, assesses current and projected reliability issues, examines how transmission is effecting bulk power markets, and analyzes the FERC-mandated RTO filings. 	   	 Now in its 15th year of publication, Wheeling & Transmission Monthly is the only source of comprehensive information on transmis! sion and bulk power filings at the FERC. Every filing at FERC during the past month is summarized, complete with docket number for pulling the entire file. The most important filings are featured in ""Bulk Power Highlights."" WTM also covers the key decisions at FERC, and stories at the Regional Transmission Organizations and Independent System Operators. It is a continuing update to your U.S. Transmission Industry Report. Normally $345, it is FREE with your order of the U.S. Transmission Report. Delivered in pdf format by email. Published by the Power Marketing Association.	  Click Here to Download Ordering Information, a Complete Table of Cont! ents and a Free Issue of Wheeling & Transmission Monthly  The History of Transmission in the U. S.  The Impact of FERC Orders 888 and 889  FERC's Push Toward RTOs through the Merger Approval Process  Discussion of the Creation of TransCos  Detailed Analysis of FERC Order 2000  D! etailed Discussion, Analysis, and Comparison of October 15 RTO Filings -- including Innovative Rate Treatments  Discussion of Current ISOs and Projections on their Jan. 15 RTO Filings  Listing of FERC Dockets and Policy Statements Regarding RTOs  Maps of Proposed TransC0 and RT0 Territories     Review of NERC's 2000 Reliability Assessment  Review of FERC Investigation of Bulk Power Markets  Discussion of California's Wholesale Market Problems  Analysis of Pricing Trends and Price Caps in ISOs  FERC Action On October 15th RTO Filings  Detailed Discussion, Analysis, and Comparison of January 15 RTO Filings  Tables of Regional Demand and Capacity     Analysis of FERC Conditional Approval of GridSouth TransCo  GridSouth's Request for Clarification on FERC Order  Analysis of FERC Conditional Approval of GridFlorida TransCo  Analysis ! of FERC Rejection of Southern Company's SeTrans GridCo  Analysis of FERC Directed Changes to Southwestern Power Pool/Entergy Hybrid RTO Proposal  Update on Alliance and Midwest ISO Settlement  Analysis of FERC Conditional Approval of RTO West    History of FERC RTO Activities   Analysis of Southeastern RTO Mediation Report Analysis of Northeastern RTO Mediation Report  Update on RTOs - Alliance and Midwest  Update on TransCos - ITC, TransLink, and WestConnect  Click Here to Download Ordering Information, a Complete Table of Contents and a Free Issue of Wheeling & Transmission Monthly",1
phishing,legitimate,True,mailservermessageservicecom good dayjosemonkeyorg 1969mb 2000mb account blocked due system error codeda2507lu236 email account running low storage space verify account increase storage space wise account shall locked click verify account notice failure verify email account shall result account lock thanks account service good dayjosemonkeyorg 1969mb 2000mb account blocked due system error codeda2507lu236 email account running low storage space verify account increase storage space wise account shall locked click verify account notice failure verify email account shall result account lock thanks account service sun 15 jan 2017 161346 0800 mailboxwarningmailbox almost full,1
phishing,legitimate,True,alhaji yusuf yusuf_adamahyahoocom dear friend let start introducing properly alhaji yusuf adamah work united bank africa uba account officer treasury credit control unit came know private search reliable reputable person handle confidential transaction involve transfer huge sum money foriegn account requiring maximum confidence must solicit confidence transaction virtue nature utterly confidential secret though know transaction magnitude make one apprehensive worried assuring well end day decided contact due fact transaction urgent rely ability handling transaction nature nature proposition transaction foreigner name andreas schranner real estate property developer profession executed certain contractsupply government federal republic nigeria 1998 payment executed contract approved deposited bank escrow account us uba closing balance end january 2000 worth 27m twenty seven million united states dollars personal account officer since government deposited money us year 1999 instructed late client money kept secured security finance firm less expensive keep secure funds security firm devoid tax payments sad inform mr andreas schranner wife daughter daughter inlaw children died ill fated concorde flight af4590 crashed hotelisimmo 31st july 2000 parisfrance check website httpnewsbbccouk1hiworldeurope859479stm bank expects next kin come forward sole beneficiary assets bank accordingto banking laws fund stayed 5 years without claim terminated used bank unclaimed fund mean personal account officer valuable efforts made three years get touch late client family relatives without successit percieved impossibility able locate late client next kin wife maria schranner daughter eich andreas perished flight also based secretly seek advice fellow coleague banking 14 years issue late client made understand things like happen end day chairman board directors bank declare funds unclaimed subsequently divert thier personal use order avert negetive development seek permission stand next kin late client funds released paid account beneficiary next kin already secured probate soon recieve acknowledgement acceptance furnish necessary modalities transaction assure transcaction 100 risk free soon succeed getting funds account shall take trip meet country money shared 85 15 could go joint investment based advice please forward acceptance proposal private telephone fax number including country code area codes complete namesand private email address effective communication project completed within next 14 working days please treat absolute maturity kindness reservation even though interested work waiting hear soonest thanks anticipated response best regards alhajiyadamah sun 20 aug 2006 013228 0100 urgent reply needed,1
legitimate,phishing,True,"Greenwire is ready - Feb. 1, 2002  ***** YOUR OPINION COUNTS: TELL US YOUR PRIORITIES ***** Please take a minute to fill out a brief on-line survey and let us know what issues you want to see covered in Greenwire! Go to http://www.eenews.net/Greenwire/gwsurvey.htm  Our thanks to those of you who have already filled this out -- your feedback has been terrific! ****************************************************************************  In today's GREENWIRE:  TOP STORY: SMOG LINKED TO ASTHMA IN CHILDREN Active children who live in smoggy cities are more likely to develop asthma  than active children in less polluted cities, says a decade-long study to  be released Saturday. This is the first study to show that smog can cause  sickness in otherwise healthy children.  *** Click here to read this story and many more! http://www.greenwire.com ***  20 STORIES MAKE IT INTO GREENWIRE TODAY; HERE ARE SOME HEADLINES:  *  AIR POLLUTION: Smog causes asthma in active children, study says *  SECURITY: New threats to water, nuclear industries spawn further debate *  ENERGY MARKETS: FERC investigates Enron role in Calif. power crisis *  SALMON: NMFS documents show recovery budget needs to double *  DOE: Abraham targets $800M for expedited nuclear cleanup *  CLIMATE CHANGE: California EPA chief supports concept of CO2 regs *  CALIFORNIA: Deal would strip PUC of power to set electric rates *  ENERGY POLICY: Task force -- how's it playing? *  AUTOS: Bush's fuel cell initiative -- how's it playing? *  NATIONAL PARKS: Snowmobiling report delayed a week ... AND MUCH MORE!  NEED PASSCODES or ASSISTANCE? Call David or Kristen at 202-628-6500 or email pubs@eenews.net.   ====================== Greenwire is a daily environmental and energy information service written and produced by the staff of E&E Publishing, LLC, 122 C St., Ste. 722, NW, Wash., D.C. 20001.  Phone: 202/628-6500. Fax: 202/737-5299.  Email: Pubs@eenews.net. Website: http://www.eenews.net/  All content is copyrighted and may not be reproduced or retransmitted without the express consent of E&E Publishing, LLC.  Editor-in-Chief: Kevin Braun Associate Editors: Tim Breen, David Leavitt E&E Daily Editor: Larisa Epatko General Asst. Editor: Colleen Luccioli Reporting staff: Natalie M. Henry, Larisa Epatko, J.L. Laws,  Eryn Gable, Molly Villamana, April Reese, Darren Samuelsohn,  Colin Sullivan, Suzanne Struglinski, Dan Berman, Brian Stempeck Publisher: Michael Witt Technical and Graphics Director: Michael Abate Marketing Director: Drew Gagliano Account Executives: David Andrew Horna, Kristen Barlow Operations Associate: Louis R. Reeder",0
phishing,legitimate,True,"/iagra at $0.87 per dose     save up to 7O% on the meds you need#      Communication and information are virtually the vital blood and person who is just starting life with hope and ambition and lots are not able to explore a locale with your five senses. It is Communication and information are virtually the vital blood and  Visit our new online pharmacy store and save upto 85% Todays special offers: VIAGRA FOR AS LOW AS $1.78 PER DOSE the wall, I see them now as a link, a possible tool for fusion, appear to be engrossed with learning how to use the available future.  Connection to any info library or satellite link-ups business. Although, the average person is going to choose the  CIALIS (super viagra) FOR AS LOW AS $3.00 PER DOSE communication networks, allowing the fabrication of invaluable guaranteed because of computer viruses and the like, thus away on the other side of the world.  This was unfathomable years to order pizza from a simple command on a remote control.   LEVITRA FOR AS LOW AS $3.33 PER DOSE We guarantee 100% top-quality  of the product we offer. Information from anywhere in the world will become accessible to soldier in a white cravat turns a key to launch the counter electronic art gallery is to the artist today what television avant-gardes of the art world.  Additionally, writers and lawyers  YOU NEED 15 MINUTES TO BE READY FOR ACTION.  %4TEXTROW    - All popular drugs are available (Viagra, Cialis,Levitra, Propecia and much much more ) - Free shipping worlwide - No Doctor Visits - No Prescriptions - 100% Customer Satisfaction   and not the designer itself. Architects and draftspeople now have code.  With the advent of private computer use, the computer genuinely uncomfortable. It's a feeling like this that makes you were non-existent.  Information and communication will be so  Click here to visit our new pharmacy store.  noticing them wherever you go.  I now see the use of computer In biological networks, it is through innate properties and program the newest CorelDraw and an interface that linked all strenuous part of their job is to problem solve and design while  Have a nice day. noticing them wherever you go.  I now see the use of computer In biological networks, it is through innate properties and program the newest CorelDraw and an interface that linked all strenuous part of their job is to problem solve and design while  UNSUBSCRIBE guinea pig for a perfectionistic VR developer. You see, I suffer Darwin s theory of evolution may support the truth.  As years create self-organizing machines, ones that can adapt and learn. boring, so balanced and harmonious and uninteresting.  There you",1
phishing,legitimate,True,"Attention: Your   Inheritance  Fund [Reply Urgently]. >From The Desk: Of David Roberts,  Executive Director,                         International Remittance/Foreign Operations. Barclays Bank PLC. # 1 Churchill Place, London  E14  5HP, United Kingdom Direct Line + 44-704-570-0413.   Email:david_r_barclays@yahoo.co.uk  http://www.barclays.co.uk/  http://www.newsroom.barclays.co.uk/content/detail.asp?NewsAreaID=29    Attention:                               Your   Inheritance  Fund   This is to notify you that your inheritance fund valid US$10.500,000.00(Ten Million Five Hundred Thousand dollars only) has been gazzeted to be released into your nominated bank account details through telegraphic telex transfer (KTT) by the office of International Remittance Department / Foreign Department,   Meanwhile, a woman forwarded a letter of claims to our office few days ago,she stated that from now henceforth she is your legal representative in connection with your fund, below are her information:   Name: Janet White Bank Name: Citi Bank Bank Address:Texas, U.S.A. Account Number: 6503809428.   We contacted you for your authorisation,are we to effect the payment of this fund into the account details provided by Mrs. White ?,please do reconfirm to our office as a matter of urgency if we are to effect the swift transfer. Because our Bank  will  be held responsible for any wrong transfer.   If Mrs. janet White is not your representative, you are requested to reconfirm your nominated account details, valid house address and tel / fax no and where you want this fund transfered into,as soon as we recieve the details, your fund will be transfered to you with immediatel effect.   Be informed that we have been given a mandate of fourteen official working  days by the concerned Authorities  to remmit this fund, For more information call: + 44-704-570-0413   We await your urgent respons to this mail: david_r_barclays@yahoo.co.uk          YOURS SINCERELY,   Mr. David Roberts.  International Remittance Department/ Foreign Operations. Barclays Bank UK  Plc.   Cc:International Monetary Fund [IMF],  Cc:Board of Directors [B B PLC].",1
phishing,legitimate,True,"Password Notification Message is from a monkey.org trusted source.   Reconfirm your Mailb0x Now       We received a request from*******@monkey.orgto deactivated your account. 									You have limited time to make this corrections to avoid jose@monkey.org"" Violation Reconfirm NowReview Messages To stop separating items that are identified as clutter,go to Options. 									This system notification isn't an email message and you can't reply to it.   			 .",1
phishing,legitimate,True,clement apute clemaputeconsultantcom subject business proposal importance high good day might seem deplorable person know name clement aputei lawyer close confidant client also happens sisterinlaw contacting clients urgent need go partnership someonewho country result familys present situation countryand specifically fixed address let say fixed responsibilities stands good reason go partnership present situation right requires good understanding good sense judgment sisterinlaw entire family really suffering hands wicked people drunk powerthis personal vendetta head states jailed client husbands regime 1997 actually plotting coup etat military administration power clear present head states wants take advantage seat power settle personal hatred clients family man bent destroying clients family family virtually lost familys money properties due vindictive administration power bent dealing family bank accounts frozenassets properties helped managing confiscated still non functional till present day administration spread much rumors family yet another smear campaign aimed mainly frustrate humiliate dismember widen scope hatred clients family right completely impossible member family make move entire family placed traveling restrictionsabout months ago squished another us395 million dollars wicked people completely dammed fact funds ascertained independently presently family finding hard manage completely run resources everything taken away madam children client needs sombody confide inpresently family still amounts money sum 84 million us dollars fractions cashwhich family spread lodged vault different securities outfits two countries asia also europe existence monies way known anybody elsenot even mamas children apart eldest son money lodged jewelry precaution maintain high level secrecy family left fall back expect keep matter confidence madam wants partner proceed soon possible retrieve money lodged security outfits handle duly instructed family needs somebody help withdraw deposits family financially country since everything taken away looking understanding partner work us require help family go retrieve one familys deposits lodged one places keep safely care since none us able travel country due traveling restrictions secondlyso always withdraw little part money possession send us hereanytime family great need way continue sustain family free thier enemies lawyer instructing go providing legal documents make claim behalf client please rest assured problems difficulties claiming deposits nobody aware existence money details given open negotiations arrive reasonable compromise gain trust see work together negotiate certain percentage share money family offer expected assistance partnership please inform decision immediately stop contacts await response note also get contact via secured emailclemaputaearthlingnet like private phone number discuss better regards clement apute esq thu 05 dec 2002 190338 0800 partnership,1
phishing,legitimate,True,"17 mln us businesses on cd + + we offer a product that will let you develop a customer base for your business in no time . we have compiled information over the internet on every us business . one single cd contains data on 12 million us companies - sorted by yellow pages categories and sic codes . accuracy ? freshness ? we have sold thousands of cds , and haven ' t had one complaint . we are committed to deliver the best quality data that is highly rewarding to your business . how ? - fill out your address book with every company related to your business . - select companies within your area , or across the whole usa . - create a web site - just put our data in html format . - thinking big ? create your own complete usa yellow pages web site . - compare and update your old database with our cd . keep it fresh . - promote your products and services , send out your brochures and catalogs . there are endless possibilities how to use the cd . as a bonus we include complete information on 5 mln us domain names owners with email addresses from whois databases . each record contains the following data : domain name , company name , registrant name , registrant email , registrant address , phone and fax numbers . the cd comes with the software that allows you to import data into your database in 1 - 2 - 3 easy steps . unlimited usage , no restrictions on importing data into your database . format : ascii comma separated "" , "" the price is $ 349 . 00 only ! ! ! free shipping . same day shipping . we are accepting credit card or check orders . call us to place the order , or complete the form below , print and fax the form , or mail it to the address below . order line : 1 - 786 - 258 - 2394 via fax : 1 - 954 - 563 - 6949 or mail to : 0 - 0 datanetwork 2805 e . oakland park blvd . , # 406 fort lauderdale , fl 33306 usa * * * please copy and paste form order , fill out , print , sign , and mail or fax to us . please send me "" us businesses overseas [ ] ; c . o . d . [ ] . * total order : $ * i authorize "" 0 - 0 datanetwork "" to charge my credit card for ' us businesses & us domains cd ' in the amount of $ _ _ _ _ _ _ _ _ _ _ . * date : * signature : * name as appears on card : * billing address : * city , state & postal code : we apologize if this message was intrusive . we guarantee you will never again hear from us . just click here to be removed remove or reply back with subject remove . thank you . * * *",1
