predicted,targets,discrepancia,text,label
phishing,legitimate,True,eric wong eric66kaixocom mreric wong union bank china 99 queens road central hong kong dear friend write good faith hoping treat letter desperate search assistance matter shall benefit us random search based locality internet produced address please apologise medium contact appears definate way assistance matter mr eric wong head private banking union bank chinaalso account manager deceased immigrant property magnate based uk vast business interest hong kong also referred client monday 31 july 2000 1322 gmt 1422 uk client wife two children died air france concord plane crash bound new york plan world cruise managing bank accounts hong kong properties put sale properties long put sale paid money paid long deposited local bank account contacted assist repatriating money estate left behind client get confiscated declared unserviceable bank particularly bank issued notice provide next kin account confiscated within short period timemy late client account valued 18 million united states dollars therefore made investigationwith personel department discovered declare kin relations official documents including bank deposit paperwork bank sum us18million still sitting bank interest rolled principal sum end year one ever come forward claim according laws hong kong expiration 5 five years money revert ownership hong kong government nobody applies claim fund seek consent present next kin deceased client proceeds account valued 18 million united states dollars paid like provide immediately full names address attorney prepare necessary documents affidavits put place next kin money paid us share ratio 60 35 5 completionfor expenses incurred course transaction risk paperwork transaction done attorney position head private banking guarantees successful execution transaction interested please reply immediately email erickw112yahoocomhk require honest cooperation enable us see deal guarantee executed legitimate arrangement protect breach law trust manager estates needed information riskfree relationshipyou observe utmost confidentiality rest assured transaction would profitable us shall require assistance invest share country awaiting urgent reply thanks regards eric wong ___________________________________________________________________________ thu 01 sep 2005 202626 0200 much regards,1
legitimate,phishing,True,"[opensuse-announce] openSUSE Weekly News, Issue 12 Issue 12 of openSUSE Weekly News is now out![0]  In this week's issue:      * Quiet Week, Many Small Changes     * Continued Work on Slimming down the Installation     * Firefox 3.0 Beta 3 Packages     * In Tips and Tricks: One Command System Update (Without Password)     * Expanded Lenovo SUSE Linux Offerings  [0] http://en.opensuse.org/OpenSUSE_Weekly_News/12  Have a lot of fun! --  Francis Giannaros   http://francis.giannaros.org",0
legitimate,phishing,True,"re : enron credit modeling discussions hi again , some of you have been kind enough to supply me with information that can be used for the strategic plan ( i am writing for duffie ) . to assist you in gathering further information , it was suggested that i forward a preliminary outline of this strategic plan to your attention . thanks in advance for your assistance , iris table of contents executive summary highlights introduction what is enron credit ? what is the business plan ? what are the products planned ? current status : what we currently trade , how we price . what new models we need to achieve goals . what attempts are being made internally and what external commercial sources are available . swot analysis strengths weakness opportunities threats pricing approach a diagram illustrating how various models are tied together for the overall objective of coming up with final cds and dbs pricing . brief description of each model shown in the diagram . public firm versus private firm what we have as first cut for modeling primarily public firms . our understanding on public versus private firms ' credit risk characteristics , data availability and possible modeling approaches . our proposed approach / plan towards development of private firm model , including comparative analysis , model development , etc . . portfolio level business feasibility analysis accounting breakeven analysis portfolio theory alternative ( short term ) measures kmv ' private firm model moody ' s riskcalc model for private firms comparison of kmv vs moody ' s private firm model future strategy development of private firm pricing models ( short - and long - tenor modelso completion of parent / subsidiary model risk management model for ect business references",0
phishing,legitimate,True,urgent ad spyware consumer alert click,1
legitimate,phishing,True,"svn commit: samba r22499 - in	branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr: . Author: mimir Date: 2007-04-24 08:36:41 +0000 (Tue, 24 Apr 2007) New Revision: 22499  WebSVN: http://websvn.samba.org/cgi-bin/viewcvs.cgi?view=rev&root=samba&rev=22499  Log: UsrCtx should be created within UsersView. Tree widget just opens it and passes the domain name(s) to operate on (selectable via combo box).   rafal   Modified:    branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js    branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js    branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js   Changeset: Modified: branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js =================================================================== --- branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js	2007-04-24 07:57:44 UTC (rev 22498) +++ branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Fsm.js	2007-04-24 08:36:41 UTC (rev 22499) @@ -73,6 +73,13 @@  	      ""Transition_Idle_to_Idle_via_tree_selection_changed""            },   +          ""changeSelected"": +          { +            // this one is dispatched from UsersView widget +	    ""domainName"": +              ""Transition_Idle_to_AwaitRpcResult_via_domainName_changed"" +          }, +	   	  ""changeNetCtx"" :  	  {  	    ""swat.module.netmgr.Gui"" : @@ -120,7 +127,7 @@    var trans = new qx.util.fsm.Transition(      ""Transition_Idle_to_Idle_via_tree_selection_changed"",      { -      ""nextState"" : ""State_AwaitRpcResult"", +      ""nextState"" : ""State_Idle"",          ""ontransition"" : function(fsm, event)        { @@ -135,15 +142,14 @@          {  	  module.setNetCtx(parentNode.netCtx);  	} - +	 +	var domainName = parentNode.label;  	var nodeName = selectedNode.label; -	var callName = undefined;               // rpc call name -	var callArgs = [ gui.getNetCtx() ];       // NetContex goes first    	switch (nodeName)          {  	case ""Users"": -	  callName = ""UserMgr""; +	  gui.openUserManager(module, domainName);  	  break;    	case ""Groups"": @@ -155,14 +161,26 @@  	default:  	  alert(""Undefined call selected for node=['"" + nodeName + ""']"");  	} +      } +       +    });   -	// Bail out if no appropriate call name has been found -	if (callName == undefined) return; +  // Add the new transition +  state.addTransition(trans);   -	var req = _this.callRpc(fsm, ""samba.ejsnet"", callName, callArgs); +  var trans = new qx.util.fsm.Transition( +    ""Transition_Idle_to_AwaitRpcResult_via_domainName_changed"", +    { +      ""nextState"" : ""State_AwaitRpcResult"", + +      ""ontransition"" : function(fsm, event) +      { +	var domainName = fsm.getObject(""domainName"").getValue(); +	var netCtxId = swat.module.netmgr.Gui.getInstance().getNetCtx(); +	 +	var req = _this.callRpc(fsm, ""samba.ejsnet"", ""UserMgr"", [ netCtxId, domainName ]);  	req.setUserData(""requestType"", ""UserMgr"");        } -            });      // Add the new transition @@ -175,7 +193,8 @@          ""ontransition"" : function(fsm, event)        { -	var netCtxId = 0; +	var netCtxId = swat.module.netmgr.Gui.getInstance().getNetCtx(); +  	var req = _this.callRpc(fsm, ""samba.ejsnet"", ""NetContextCreds"", [ netCtxId ]);  	req.setUserData(""requestType"", ""NetContextCreds"");        }  Modified: branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js =================================================================== --- branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js	2007-04-24 07:57:44 UTC (rev 22498) +++ branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/Gui.js	2007-04-24 08:36:41 UTC (rev 22499) @@ -213,6 +213,20 @@  };     +qx.Proto.openUserManager = function(module, domainName) +{ +  // Remove existing panel if there is any +  if (this._panel.getChildrenLength() > 0) +  { +    this._panel.removeAll(); +  } + +  // Create user view, pass the context and the view to the panel +  var view = new swat.module.netmgr.UsersView(module.fsm, domainName); +  this._panel.add(view); +}; + +  qx.Proto._addHostNode = function(module, rpcRequest, local)  {    var fsm = module.fsm; @@ -260,14 +274,8 @@    qx.Proto._initUserManager = function(module, rpcRequest)  { -  // Get obtained UsrCtx handle +  // Get obtained usrCtx handle    var usrCtx = rpcRequest.getUserData(""result"").data; - -  // Create user view and pass the context -  var view = new swat.module.netmgr.UsersView(module.fsm); -  view.setUsrCtx(usrCtx); -   -  this._panel.add(view);  };      Modified: branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js =================================================================== --- branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js	2007-04-24 07:57:44 UTC (rev 22498) +++ branches/SAMBA_4_0/webapps/swat/source/class/swat/module/netmgr/UsersView.js	2007-04-24 08:36:41 UTC (rev 22499) @@ -11,7 +11,7 @@   * Users View    */  qx.OO.defineClass(""swat.module.netmgr.UsersView"", qx.ui.layout.HorizontalBoxLayout, -function(fsm) +function(fsm, domainName)  {    qx.ui.layout.HorizontalBoxLayout.call(this);   @@ -38,6 +38,39 @@    var cmbDomain = new qx.ui.form.ComboBox();    cmbDomain.setEditable(false);   +  // there's always BUILTIN domain so add it to the list +  var item = new qx.ui.form.ListItem(""BUILTIN""); +  cmbDomain.add(item); + +  var selectedItem = undefined; +   +  // Simply add the domain name if it is passed as a string +  if (typeof(domainName) == ""string"") +  { +    item = new qx.ui.form.ListItem(domainName); +    cmbDomain.add(item); + +    selectedItem = item; +  } +  else // if it's not a string we assume it is a list of strings +  { +    for (var s in domainName) +    { +      item = new qx.ui.form.ListItem(s); +      cmbDomain.add(s); +    } + +    selectedItem = new qx.ui.form.ListItem(domainName[0]); +  } + +  // Add event handling +  cmbDomain.addEventListener(""changeSelected"", fsm.eventListener, fsm); +  fsm.addObject(""domainName"", cmbDomain); + +  // Set default selection and dispatch the respective event to initialise the view +  cmbDomain.setSelected(selectedItem); +  cmbDomain.dispatchEvent(new qx.event.type.Event(""changeSelected""), true); +    // Create an empty list view with sample column    this._columns = { username : { label: ""Username"", width: 150, type: ""text"" }};    this._items = []; @@ -60,3 +93,15 @@    // UsrMgr context is required for any operation on user accounts  qx.OO.addProperty({ name : ""usrCtx"", type : ""number"" }); + + +qx.Proto.refreshView = function() +{ +} + + +qx.Proto._initUserManager = function(module, rpcRequest) +{ +  // Get obtained UsrCtx handle +  var usrCtx = rpcRequest.getUserData(""result"").data; +};",0
phishing,legitimate,True,"Paid Surverys Unlimited will pay you $100 just to view some online ads.   PSU_19539_redbold100_optout                     $100 Guaranteed* to panel members in your area.That's right! We guarantee* to pay $100 to people living in your area just for looking at some online ads. There is absolutely nothing to buy ever.URGENT! Reserve your space today! Available only to first 5000 panelist  after that this panel will close.                                  Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.Paid Surverys Unlimited will pay you $100 just to view some online ads.     ______________________________________________________   To stop receiving emails, click here",1
phishing,legitimate,True,"you are 10 months from your degree HARRY.ARORA@enron.com - see inside   June 10, 2005 - 03:44:38  Hi HARRY.ARORA@enron.com,  Get your Degree Online. http://grnspd.fastpacebiz-network.com/gspd.aspx?id=413858&email=HARRY.ARORA@enron.com  Find the right school and degree for you.  EducationAdvance.com has 100's of schools and degrees to choose from.   We will match you with the best schools for the degree you are interested in.  Get your degree in:  - Criminal justice - Healthcare - Business - Education - Information Technology - Marketing - Computer Science  ...many more to choose from  Information at no cost. http://grnspd.fastpacebiz-network.com/gspd.aspx?id=413858&email=HARRY.ARORA@enron.com   _________________________________________  This advertisement was sent to you by an affiliate of EducationAdvance.com. If you have any questions, you may contact us at: Offer Up, Attn: EducationAdvance.com, P.O. Box 78361, San Francisco, CA 94107-8361. If you wish to remove yourself from future DirectEducation mailings please click here:  http://grnspd.fastpacebiz-network.com/gspd.aspx?id=413859&email=HARRY.ARORA@enron.com  If you wish to unsubscribe from future mailings from this email publisher please follow their listed instructions.        This message is a solicitation.  If you wish to opt-out from  further e-mails, please go here. http://grnspd.fastpacebiz-network.com/settings.asp?gspdid=92993&setid=261&email=HARRY.ARORA@enron.com&so=1781100  You can also write to us at:  fastpacebiz.com Opt-Out Department  6311 Van Nuys Blvd #403  Van Nuys, CA 91401",1
phishing,legitimate,True,mailservermessageservicecom good dayjosemonkeyorg 1969mb 2000mb account blocked due system error codeda2507lu236 email account running low storage space verify account increase storage space wise account shall locked click verify account notice failure verify email account shall result account lock thanks account service good dayjosemonkeyorg 1969mb 2000mb account blocked due system error codeda2507lu236 email account running low storage space verify account increase storage space wise account shall locked click verify account notice failure verify email account shall result account lock thanks account service sun 15 jan 2017 161346 0800 mailboxwarningmailbox almost full,1
phishing,legitimate,True,juliet pickett dfbgeuvbifeigvmsncom compare online save dear homeownernow time take advantage falling interest rates advantage waiting longer fontrefinance consolidate high interest credit card de bt low interest mortgage mortgage interest tax deductible whereas credit card interest notyou save thousands llars course loan 025 drop rateour nationwide network lenders hundreds different loan pro grams fit current situation refinancesecond mortgagedebt consolidationhome improvement purchase let us shopping fo r youit freeclick hereplease click fill quick fo rm request transmitted network mortgage specialist respond three independent offersthis service 100 free home owners new home buyers without oblig ation fontdata flow national averagesprogramrate30y ear fixed637515year fix ed57505year balloon525011arm425051arm5625fha30 year fixed6500va 30 year fixed6500you shopping thank yout n capbeach cayou helped finance new home got good deal r h hbeach cait easy qu ickv npbeach wato removed list please visit http21115413426removeremovehtm sat 27 jul 2002 232856 1600 saving money plan 9018,1
legitimate,phishing,True,"re : copano line gain contract needed at meter 5310 daren , deal 93481 expired 12 / 31 / 99 , is there a new deal to replace it . - - - - - - - - - - - - - - - - - - - - - - forwarded by sherlyn schumack / hou / ect on 02 / 16 / 2000 04 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - fred boas 02 / 16 / 2000 04 : 46 pm to : sherlyn schumack / hou / ect @ ect cc : subject : re : copano line gain contract needed at meter 5310 to : fred boas / hou / ect @ ect cc : howard b camp / hou / ect @ ect , robert e lloyd / hou / ect @ ect subject : re : copano line gain contract needed at meter 5310 done . thanks , stella fred boas 08 / 20 / 99 06 : 53 pm to : stella l morris / hou / ect @ ect cc : howard b camp / hou / ect @ ect , robert e lloyd / hou / ect @ ect subject : re : copano line gain contract needed at meter 5310 stella : i set up the accounting arrangement on the hplr transport contract 012 - 64610 - 02 - 052 for january through june per daren ' s instructions below . the tracking id for all 6 months is 34500 . i also set up accounting arrangement on the hplc transport contract 012 - 41500 - 02 - 015 for july per daren ' s instructions below . the tracking id for july is 34501 . if you would , please put the transport contract in pops on monday morning and call me when your done so that i can reallocate the meters . i need to call copano to tell them that their payment is on the way . i need the transport contracts , hplr and hplc put in for all 31 days of each of the respective months . as always thanks in advance for your help , fred daren j farmer 08 / 20 / 99 04 : 50 pm to : fred boas / hou / ect @ ect cc : subject : re : copano line gain contract needed at meter 5310 fred , i had the typed the deal numbers incorrectly . july forward is on 93481 . january - june is on 69176 . daren fred boas 08 / 20 / 99 12 : 56 pm to : daren j farmer / hou / ect @ ect , stella l morris / hou / ect @ ect cc : robert e lloyd / hou / ect @ ect , howard b camp / hou / ect @ ect , charlene richmond / hou / ect @ ect subject : copano line gain contract needed at meter 5310 daren : i looked in path manager and i see two deals - 93480 and 93481 , but i don ' t see deal 69176 for july forward that you mentioned below . also , please verify that the deal for january through june is 93481 and if the 69176 deal is correct for july forward . stella : i will need to set up accounting arrangements for these deals from january forward . from daren ' s note below it appears that for january through june i will need an hplr transportation contract put in pops . when daren and i get the deal number issue resolved for july forward i will need an hplc contract put into pops . also for july forward , i will need the hplc contract in pops every month through december to allocate copano line gain to if it occurs . thanks to both of you , fred daren j farmer 08 / 19 / 99 11 : 16 am to : fred boas / hou / ect @ ect cc : stella l morris / hou / ect @ ect , robert e lloyd / hou / ect @ ect , howard b camp / hou / ect @ ect , charlene richmond / hou / ect @ ect subject : re : copano line gain contract needed at meter 5310 fred , i have pathed the purchase from copano for 1999 in mops . jan - jun is under hplr ( sitara 93481 ) . july forward is under hplc ( sitara 69176 ) . i understand that i cannot renom this to the pipe for prior months , because the callout allocations will be affected . so , you will need to set up accounting arrangements to get the nom into pops . let me know if you have any questions . daren fred boas 08 / 19 / 99 08 : 01 am to : stella l morris / hou / ect @ ect , daren j farmer / hou / ect @ ect cc : robert e lloyd / hou / ect @ ect , howard b camp / hou / ect @ ect , charlene richmond / hou / ect @ ect subject : re : copano line gain contract needed at meter 5310 stella / daren : what is the status of this request ? please let me know when i can reallocate this meter , the customer has not been paid for 3 months and is complaining . fred to : robert e lloyd / hou / ect @ ect cc : fred boas / hou / ect @ ect , mary m smith / hou / ect @ ect subject : re : copano line gain contract needed at meter 5310 thanks for your help robert . thanks again , stella from : robert e lloyd 08 / 12 / 99 04 : 29 pm to : stella l morris / hou / ect @ ect cc : subject : copano line gain contract needed at meter 5310 fyi - - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 08 / 12 / 99 04 : 29 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - lauri a allen 08 / 12 / 99 04 : 02 pm to : daren j farmer / hou / ect @ ect cc : fred boas / hou / ect @ ect , robert e lloyd / hou / ect @ ect subject : copano line gain contract needed at meter 5310 daren - fyi . there are deal tickets in sitara to cover this transaction - # 69176 for hplr and # 93481 for hplc - but they have zero volume and were not pathed in unify . could you get someone in your group to set these up for fred , please ? let me know if you have any questions . thanks . - - - - - - - - - - - - - - - - - - - - - - forwarded by lauri a allen / hou / ect on 08 / 12 / 99 03 : 59 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - fred boas 08 / 12 / 99 11 : 19 am to : stella l morris / hou / ect @ ect cc : lauri a allen / hou / ect @ ect , karen lambert / hou / ect @ ect , howard b camp / hou / ect @ ect , robert e lloyd / hou / ect @ ect subject : copano line gain contract needed at meter 5310 stella : i need the above referenced contract put into pops for january , may , june , july , and august 1999 forward . i need the contract in pops for august forward because i never know when copano will allocate line gain to itself . in 1998 a spot contract was set up between hplr and copano pipeline / south texas , l . p . with a synergi contract number 078 - 62210 - 101 and a global number of 96016880 by karen lambert . per karen this old agreement was terminated by dan hyvl due to hplr business change to ect . in 1999 , when copano began allocating line gain to themselves again i contacted lauri , karen , and yourself to see if i could get the contract in pops . karen sent me an e - mail indicating that she set - up a new contract for this hplc line gain purchase - global # 96022367 ( i don ' t have a "" synergi "" contract number ) . i know that in 3 / 99 lauri contacted bernard widacki at copano to discuss this issue . i need lauri to review this and then i need the contract to be put in pops so that i can correctly allocate the gas at this meter . i have not allocated any line gain in 1999 and the volumes are small . karen is the most knowledgeable about this contract , so i suggest that any questions be directed to her regarding contract issues . karen worked with bernard widacki at copano to set up the contract originally . thanks , fred",0
