predicted,targets,discrepancia,label,message
phishing,legitimate,True,legitimate,user id password update dear subscriber institutional investors newsletters process upgrading web sites backend database found different user names passwords following newsletters derivatives week http www derivativesweek com power finance 212 224 3491 fax nhumphrey iinews com
phishing,legitimate,True,legitimate,"Duke lacrosse prosecutor disbarred                  Jun 17, 200705:15 AM EDT           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         TOP STORIES CNN.com         Duke lacrosse prosecutor disbarred      The prosecutor in the Duke University lacrosse team rape case was disbarred Saturday for unethical conduct, and the chairman of the disciplinary committee blamed ""political ambition"" for his downfall.      FULL STORY    WATCH VIDEO                 Bomber kills 35 Afghan police      A suicide bomber walked onto a bus carrying officers to a police academy and detonated himself in Kabul on Sunday, killing at least 35 police officers, according to a Kabul police.      FULL STORY                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         WEATHER  CNN.com/WEATHER          Severe weather may hit Texas      A low-pressure system meandering over the Southern Plains was expected to bring scattered showers and thunderstorms to Texas, Oklahoma and parts of the Lower Mississippi Valley on Saturday. Severe weather was possible in Texas.      FULL STORY             Your personalized weather is temporarily out of service. In the meantime, go to http://www.CNN.com/WEATHER for your local weather forecast. Personalized weather will return soon.                  Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         U.S.  CNN.com/US         Girl, 5, stumbles from woods to delight rescuers      A 5-year-old girl who was feared drowned with her grandfather on a boating trip startled searchers Friday when she emerged from the woods -- naked, scratched and holding raspberries.      FULL STORY    WATCH VIDEO                 Third Minnesota sextuplet dies; others in critical condition      Half of the sextuplets born prematurely to a Minnesota couple have now died, while the others remained in critical condition, hospital officials said Saturday.      FULL STORY                 Dragster spins into crowd, kills 4      A drag-race car lost control during a parade and spun into a crowd of bystanders on Saturday, killing four adults and injuring as many as 15 people, authorities said.      FULL STORY                 Billy Graham: Wife 'had a great reception in heaven'      Ruth Graham retained her beauty even in death and surely ""had a great reception in heaven,"" an ailing Billy Graham told mourners who gathered Saturday to remember his beloved wife.      FULL STORY    WATCH VIDEO                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         WORLD  CNN.com/WORLD         Troops find missing U.S. soldiers' ID cards      U.S.-led coalition forces have found the identification cards of two missing American soldiers, believed to have been abducted last month south of Baghdad, the U.S. military said Saturday.       FULL STORY    WATCH VIDEO                 Iran condemns Rushdie knighthood      Iran on Sunday condemned Britain's decision to grant a knighthood to author Salman Rushdie, who was forced into hiding for a decade after the Islamic republic's spiritual leader ordered his assassination.      FULL STORY                 N. Korea: Atomic inspectors can return      North Korea has invited inspectors from the U.N. nuclear watchdog back into the country to monitor the shut down of its main nuclear reactor, state media reports.      FULL STORY                 Fatah militants storm rival-held government buildings      Palestinian gunmen raided parliament buildings controlled by rivals in the West Bank on Saturday as factional fighting continued to spread.      FULL STORY    WATCH VIDEO                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         BUSINESS  CNNmoney.com         Overheated housing markets cool down      Some of the nation's most overheated housing markets may be cooling off to more reasonable levels following their unprecedented run-up in the first half of the decade.      FULL STORY                 Stocks: Beyond the panic      First it was a selloff in Chinese markets. Then it was subprime. And now it's the runup in Treasury bond yields that's become Wall Street's latest bogeyman.      FULL STORY                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         SPORTS  SI.com         Lance Armstrong contends he's clean on eve of new book      Already battered by doping allegations, cycling stands to absorb another big blow next week with the publication of the latest book by Irish investigative journalist David Walsh. Two weeks before the start of the 2007 Tour de France, Random House will release From Lance To Landis, a follow-up of Walsh's 2004 book L.A. Confidentiel: Les Secrets de Lance Armstrong, which contained allegations that the seven-time Tour winner doped, but was never published in English. This latest book will be widely released in the U.S., and could further undermine Armstrong's contention that he was a clean champion.      FULL STORY                 Zambrano loses no-hit bid, then the game      CHICAGO (AP) -- Derrek Lee saw the pitch and was sure it was aimed at his head. He got out of the way the best he could. The ball clipped the back of his left hand, and sent him sprawling to the ground.      FULL STORY                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         HEALTH  CNN.com/HEALTH         The 'daddy' way: Celebrate parenting differences      It's right before bedtime and Sylvia is about to flip out about something -- that a page of her picture book is ""broken"" (read: torn, by her, days before) and that she can't have three more handfuls of popcorn after we said ""one more.""       FULL STORY                 Pentagon: Military's mental health care needs help      A Pentagon report released Friday says the military's mental health services need some serious therapy.      FULL STORY    WATCH VIDEO                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         TECHNOLOGY  CNN.com/TECH         Fathers and kids bond playing video games      When Will Nickelson and his daughter want to spend some quality time together, they fire up Nintendo Co.'s Wii and play a few rounds of ""Wii Sports"" or ""Mario Party 8.""      FULL STORY                 AT&T anti-piracy effort raises privacy concerns      In a break with other Internet service providers, AT&T Inc. will work with Hollywood studios and recording labels to devise technology that identifies offshore content pirates who use its network to upload illegal copies of movies and music.      FULL STORY                           Top Stories  Weather  U.S.  World  Business  Sports  Health  Technology  Entertainment  Features         ENTERTAINMENT  CNN.com/SHOWBIZ         Bob Barker wins 19th trophy at Daytime Emmys      After 35 years of giving away prizes, newly retired Bob Barker picked up one of his own at the Daytime Emmy Awards on Friday night.      FULL STORY                 Hasselhoff: I won custody fight with ex-wife      A beaming David Hasselhoff said Friday he had won a long-running battle with ex-wife Pamela Bach over custody of his two teenage daughters.      FULL STORY    WATCH VIDEO                        Cable News Network LP, LLLP. One CNN Center, Atlanta, Georgia 30303  2007 Cable News Network. A Time Warner Company. All Rights Reserved. Terms under which this service is provided to you. Read our privacy guidelines. Contact us.   You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings click here. To unsubscribe from the American Morning Quick News, click here."
phishing,legitimate,True,legitimate,everyday food skakmcmtunhmaxppskamsomarthastewartcom meet editors everyday food magazine see email please click remove martha stewart emails please sign click place go change account settings enter password update newsletters announcements section unchecking boxes emails wish receive please advised may take 10 days adjustments take effect security privacy policy always viewed website may also mail inquiries customer relationsemail administration martha stewart living omnimedia 11 west 42nd street new york ny 10036 2008 martha stewart living omnimedia inc rights reserved thu 07 aug 2008 070212 0500 meet editors everyday food
phishing,legitimate,True,legitimate,"CNN.com Daily Top 10 >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: May 15, 2007  4:00 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= ~~~~~~~~~~~~~ TOP 10 VIDEOS ~~~~~~~~~~~~~ 1. RACIST PARTY AT COLLEGE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/14/zahn.racist.party.cnn CNN's Allan Chernoff reports on how some offensive parodies of Latinos have ignited controversy on campus (May 14) 2. SCIENTOLOGY'S SYMBOLS http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/15/tuchman.scientology.circles.cnn 3. GUARD FAKES NUKE FOR PRACTICE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/15/mcintyre.plan.worst.cnn 4. MAXIM REVEALS ITS `HOT 100' http://www.cnn.com/video/partners/email/index.html?url=/video/showbiz/2007/05/15/vo.maxim.hot.100.cnn 5. JERRY FALWELL HAS DIED http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/15/crowley.falwell.obit.affl 6. TODDLER LEFT IN CAR OVERNIGHT http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/15/evans.ny.toddler.left.in.car.wabc 7. VIEW FROM INSIDE http://www.cnn.com/video/partners/email/index.html?url=/video/bestoftv/2007/05/13/lkl.dom.dunne.mxf.cnn 8. SEARCH FOR MISSING SOLDIERS http://www.cnn.com/video/partners/email/index.html?url=/video/world/2007/05/12/damon.kidnapped.cnn 9. CRUISE SHIP RUNS AGROUND http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/14/simon.ak.cruise.ship.grounded.koin 10. AMPUTEE SOLDIER BATTLES ODDS http://www.cnn.com/video/partners/email/index.html?url=/video/us/2007/05/14/starr.heroes.downes.cnn ~~~~~~~~~~~~~~ TOP 10 STORIES ~~~~~~~~~~~~~~ 1. HILTON TOO 'TRAUMATIZED' FOR COURT http://www.cnn.com/2007/SHOWBIZ/05/15/paris.hilton.ap/index.html Paris Hilton's psychiatrist says the star is too ""distraught"" and ""traumatized"" by jail sentence to appear in separate civil case. 2. SICK AG WAS PRESSED ON SPYING http://www.cnn.com/2007/POLITICS/05/15/ashcroft.nsa/index.html 3. MAN SHOOTS SELF WITHOUT GUN http://www.cnn.com/2007/US/05/15/whacking.bullets.ap/index.html 4. REV. JERRY FALWELL DEAD AT 73 http://www.cnn.com/2007/US/05/15/jerry.falwell/index.html 5. LOHAN IS TOPS ON MAXIM'S LIST http://www.cnn.com/2007/SHOWBIZ/Movies/05/15/people.maximhot100.ap/index.html 6. POLL: MIAMI HAS MEANEST DRIVERS http://www.cnn.com/2007/US/05/15/road.rage.ap/index.html 7. U.S. ACADEMIC HELD IN IRAN http://www.cnn.com/2007/WORLD/meast/05/15/iran.academic.reut/index.html 8. CONSTABLE MISSING, CRUISER TORCHED http://www.cnn.com/2007/US/05/15/cop.missing.ap/index.html 9. 'GREY'S' SPINOFF LEADS ABC SKED http://www.cnn.com/2007/SHOWBIZ/TV/05/15/tv.newseason.ap/index.html 10. TROOPS NABBED IN 'PLANNED SNATCH' http://www.cnn.com/2007/WORLD/meast/05/15/iraq.main/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2007 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=ktwarwic@SPEEDY.UWATERLOO.CA&l=cnn-dailytop10"
phishing,legitimate,True,legitimate,snowmail channel 4 news bjhxttys_lhgwfchannel4com hamid karzai interviewed london going brief ive got rush interview president karzai afghanistan london fact could almost stick pin map choose leader turkish prime minister israeli prime minister totally unrelated bomb attack kills 11 civilians afghanistan afghanistan news american bomb attack killed 11 civilians 30 km west capital news karzai wants talk taliban nato pressure place without enough troops sustain theyre drug dealers march crisis next door pakistan fertile material fascinating interview 7 new diploma introduced alevels stay alevels preserved educational system england wales least moment government invests new diplomas continuing bid level playing field academic vocational shall talking schools secretary ed balls 7 tragedy portugal parents drown saving children scale familial tragedy algarve continues grow two children orphaned another lost mother father dangerously ill hospital poor old portuguese police find pressure british media given around corner madeleine mccann disappeared truth rescue services seems behaved exemplary manor read report httptinyurlcom3cm6y5 went wrong scotlands may elections scots learn scale cockup surrounding elections may remember vote counting hit badly delays huge number ballot papers rejected 140000 investigation concludes combining scotlands parliamentary council voting election sheet day main cause rejected papers also criticises responsible planning election leading figure process douglas alexander labours man scottish office britains population explosion britains population heads major increase next thirty yearsorso faisal islam case read report httptinyurlcom39ceqh new defendant dock lesley molseeds 1975 murder extraordinary case murder lesley molseed 1975 courts dna responsible arrest man dock unusually judge already told jury previous convictions case stephan kisco served 16 years crime definitely commit watch report httptinyurlcom3bnybw wildfires continue burn california finally efforts california continue try marry devastating pictures wildfires grieving celebrities lost homes yet none humbler people already seem less interest worlds media sarah smith got fire beating broom hand 7 read report httptinyurlcom2kjutd see jon channel 4 news services online watch video reports httpwwwchannel4comnewswatchlistenvideo subscribe rss feeds podcasts mobile phone bulletins httpwwwchannel4comnewssubscribe business close ftse100 index 65140 us dollar sterling 2049 euro sterling 1439 weather sponsored worcester bosch group wwwworcesterboschcouk tonight far northwest scotland cloudy mild mainly dry elsewhere dry often clear skies becoming cold touch frost places patchy mist fog also tomorrow far northwest scotland cloudy elsewhere sunshine especially north west first increasing amounts cloud spreading east httpwwwchannel4comweather unsubscribe httpwwwchannel4comnewssnowmailsnowmail_deactivatehtml want reply snowmail please email cknschannel4com put snowmail subject header hit reply email read thank returnpath xoriginalto jllocalhost deliveredto user7gvcceaschallengecc received radishjmasonorg localhost 127001 radishjmasonorg postfix esmtp id 9699b337f8 tue 23 oct 2007 201220 0100 ist xspamvirus xspamcheckerversion spamassassin 330r574664 20070911 somanfdntechcom xspamrelaysexternal ip63251223186 rdnsx6develoopercom helolistsdeveloopercom bysomanfdntechcom ident envfrom intl0 idc2f48269624 auth msa0 xspamstatus score106 required50 testsbayes_00 dkim_policy_signsomercvd_in_dnswl_hi shortcircuitno autolearnham version330r574664 xspamrelaysinternal xspamrelaysuntrusted ip63251223186 rdnsx6develoopercom helolistsdeveloopercom bysomanfdntechcom ident envfrom intl0 idc2f48269624 auth msa0 xspamrelaystrusted xspamlevel xspamrbl 127093 5 mxdeveloopercom 63251223163 xoriginalto user7gvcceaschallengecc deliveredto jlmailfdntechcom received localhost 127001 radishjmasonorg imap fetchmail632 singledrop tue 23 oct 2007 201220 0100 ist received listsdeveloopercom x6develoopercom 63251223186 somanfdntechcom postfix smtp id c2f48269624 tue 23 oct 2007 140743 0500 cdt received qmail 13185 invoked uid 514 23 oct 2007 190730 0000 mailinglist contact ruhu1dmqxzmoqlakperlorg run ezmlm precedence bulk listhelp listunsubscribe listpost xlistarchive listid deliveredto mailing list qtog3epoawmhperlorg received qmail 13150 invoked network 23 oct 2007 190727 0000 deliveredto qtog3epoawmhperlorg xsbrs none xironportav esophosi4213191188792000 dscan208a45194104 inreplyto craig berry cc perl5 porters email rafael garciasuarez suvcxfaperlorg subject code freeze mimeversion 10 xmailer lotus notes release 702 september 26 2006 messageid peter prymmer date tue 23 oct 2007 150702 0400 xmimetrack serialize router factnotesstm2factsetrelease 703september 26 2007 10232007 030703 pm serialize complete 10232007 030703 pm contenttype textplain charsetusascii craig berry wrote 10222007 071153 pm vms failures im still seeing blead listted rsynced perlcurrent32181 using compiler ccver hp c v73018 openvms ia64 v83 see failures topstatfailed test 31 toptaintfailedunexpected output test 143 extbtoptree_miscfailed test 2 extcwdtcwdfailed test 23 libarchiveextractt01_archiveextractfailed test 22 libarchivetart02_methodsfailed test 18 libcpanplusdistbuildt02_cpanplusdistbuildfailed test 4 libcpanplust00_cpanplusincfailedno leader found libcpanplust00_cpanplusinternalsutilsfailedno leader found libcpanplust01_cpanplusconfigurefailedno leader found libcpanplust02_cpanplusinternalsfailedno leader found libcpanplust03_cpanplusinternalssourcefailedno leader found libcpanplust04_cpanplusmodulefailedno leader found libcpanplust05_cpanplusinternalsfetchfailedno leader found libcpanplust06_cpanplusinternalsconstantsfailedno leader found libcpanplust07_cpanplusinternalsextractfailedno leader found libcpanplust08_cpanplusbackendfailedno leader found libcpanplust09_cpanplusinternalssearchfailedno leader found libcpanplust10_cpanpluserrorfailedno leader found libcpanplust15_cpanplusshellfailedno leader found libcpanplust19_cpanplusdistfailedno leader found libcpanplust20_cpanplusdistmmfailedno leader found libcpanplust21_cpanplusdistnobuildfailedno leader found libcpanplust30_cpanplusinternalsselfupdatefailedno leader found libcpanplust40_cpanplusinternalsreportfailedno leader found libextutilstbasicfailed test 82 libextutilstinstall_basefailed test 20 libfilecopyfailedexpected 60 tests saw 27 libfilefindtfindfailed test 10 libfilefindttaintfailed test 10 libipccmdt01_ipccmdfailednonzero wait status 1024 libmodulebuildtfilesfailedexpected 6 tests saw 2 libmodulebuildtinstallfailed test 20 libmodulebuildtmanifypodsfailedexpected 21 tests saw 2 libmodulebuildtppmfailed test 3 libmodulebuildttest_typefailedexpected test 4 saw test 3 libmodulebuildtxsfailedexpected test 11 saw test 10 libnetpingt510_ping_udpfailed test 2 libtestharnesstfailurefailedexpected test 3 saw test 2 failed 39 tests 1327 9706 okay peter prymmer wed 06 aug 2008 234430 0000 hamid karzai interviewed london
phishing,legitimate,True,legitimate,"Re: [OT] Yahoo Deferred Hello Michael,  Am 2008-02-26 11:16:35, schrieb Michael Hutchinson: > I have tried different approaches, and let us not forget I have filled > out 3 whitelist forms, and received no response from Yahoo. Their > service is breaking RFC's by not delivering mail. They are ignorant > towards other companies trying to use their service.   I have heavy issues with HOTMAIL since they reject ANY legitim messages as SPAM without any reason.  All of my 50 Servers are worldwide and in different subnets.  It is nearly impossible that all 50 Servers have spamed HOTMAIL, since my servers accept only authenticated SMTP from clients.  I am not registered on ANY blacklists (except  which is a crap service billing innocent ISP's and peoples instead of spamers) but can not send to my customers unsing HOTMAIL adresses.  since  exist, I am looking for the FRENCH legal address and I will su them since in Europe, E-Mail is falling under the ""Post- & Telecommunication Law"", which mean, rejecting legitim messages is like, the French Post is rejection any Letters coming from the USA.  And another problem is, that because of HOTMAIL I have already lost money...   And you know, ISP-Business is hard!  > Do away with Yahoo.  FullACK!  ...but add at least Hotmail too!  > Setup mail on your own domains for your users. Even if it means > creating separate home addresses if they want them.  >  > Even having two addresses at one domain for one person is better than > having to deal with Yahoo. > jpkf@domain.com > hkdf_fgnq@domain.com  Most ISP's worldwide are offering an E-Mail where you can put ALIASES on it...  > Personally, I'd rather blacklist the whole yahoo domain, and tell our > clients that Yahoo is not an acceptable email address, that they will > need a real one.  As I have written in a previosly message:  Since I can not reach my customers using  I reject all messages from them and leafe a message to let them know WHY.  And yes, this bounces are working fine and going correctly back to the sending  account...  Now, my Cell-Phone is smoking from international calls and they do not understand WHY I can not send messages to them...  > A real one - that delivers and receives mail, like a mail server > should.  :-)  In some weeks I am offering (not free but cheap) E-Mail-Accounts for 1 Euro/month and 50 MByte Mailbox with 5 Aliases...  BUT ONLY FOR PEOPLES WHICH AUTHENTICATE THEM SELF WITH AN OFFICIAL ID.  Thanks, Greetings and nice Day     Michelle Konzack     Systemadministrator     Tamay Dogan Network     Debian GNU/Linux Consultant   --  Linux-User #280138 with the Linux Counter, http://counter.li.org/ ##################### Debian GNU/Linux Consultant ##################### Michelle Konzack   Apt. 917                  ICQ #328449886 +49/177/9351947    50, rue de Soultz         MSN LinuxMichi +33/6/61925193     67100 Strasbourg/France   IRC #Debian (irc.icq.com)"
phishing,legitimate,True,legitimate,"SCM Best Practices for Continuous Integration    SYS-CON Technical Whitepapers     Featured Whitepapers               Ensuring Code Quality in Multi-threaded ApplicationsHow to Eliminate Concurrency Defects with Static Analysis               Today, the world of software development is presented with a new challenge. To fully leverage this new class of multi-core hardware, software developers must change the way they create applications. By turning their focus to multi-threaded applications, developers will be able to take full advantage of multi-core devices and deliver software that meets the demands of the world. But this paradigm of multi-threaded software development adds a new wrinkle of complexity for those who care the utmost about software quality.    Click Here to View This Whitepaper               Improving .NET Application Performance and Reliability with Managed Database Data Connectivity                Many .NET applications fail to meet user requirements because they do not provide optimal access to underlying Oracle, Sybase, or DB2 databases. The root cause is often unmanaged ADO.NET data providers shipped by the database vendor or from Microsoft. In this paper, SQL Server MVP and SSWUG co-founder Stephen Wynkoop explores common misperceptions about data access technologies, describes the optimum architecture for ADO.NET data providers, and highlights key selection criteria for developers.    Click Here to View This Whitepaper       Technical Whitepapers and Other Offers from SYS-CON      SCM Best Practices for Continuous Integration                 Continuous integration is rapidly being adopted as a key process in software development as part of the shift towards Agile methodologies to improve software quality, reduce costly rework due to broken builds, and increase business value delivered to customers  click to download and learn key SCM best practices for deploying continuous integration.                    Click Here to View This Whitepaper        Extended Validation SSL Certificates                 Extended Validation (EV) is a new standard in SSL certificates. This guide explains the needs which drove the development of this standard and how it addresses contemporary security challenges. It also delves into the integration of EV certificates into new high security browsers such as Microsofts IE7.                   Click Here to View This Whitepaper        JMS Performance Benchmarks                This paper presents a performance analysis of publish/subscribe messaging throughput of FioranoMQ 2007, Sonic MQ 7.0, Tibco EMS v4.4.0 and ActiveMQ 4.1.0. This analysis provides a head-to-head comparison of these products designed to illustrate the products' relative performance characteristics for several messaging scenarios.                  Click Here to View This Whitepaper        For a More Secure SOA at Less Cost,Use System z9 and DataDirect  The inherent layered security of IBMs z/series mainframes and its native support for orchestration both in the processor and in z/OS, makes it inherently a good environment for SOA. This whitepaper discusses how DataDirect can help roll out a high-performance SOA while lowering the total cost of ownership.                   Click Here to View This Whitepaper        Evaluation and Getting Started GuideFor Database Development Tooling In Sybase WorkSpace 2.0              Sybase WorkSpace simplifies and unifies database development for the ASE and SQL Anywhere platforms with capabilities that support the complete development life cycle for database applicationsfrom development, debugging, testing, to deployment. The following white paper, "" Evaluation and Getting Started Guide For Database Development Tooling in Sybase WorkSpace"" provides in-depth coverage of database editing and debugging.                   Click Here to View This Whitepaper     SYS-CON.TV and Other Webcasts      What Is New in NetBeans 6?  Listen, watch and learn as NetBeans Technology Evangelist Gregg Sporar and Jeremy Geelan deep dive into NetBeans IDE 6.0. This is more than a conversation as you will view multiple screencasts highlighting the new features. Join us today and find out why NetBeans is the only IDE you need.   Click Here To View This Webcast {No Registration Required}            You are currently subscribed to 02-15-08-whitepaper as: user6@gvc.ceas-challenge.cc To unsubscribe to this list only, send a blank email to: pxesn-620963-0052515e@mailman.sys-con.com  To stop receiving special offers from our partners, but to keep receiving your digital edition and newsletter subscriptions,  click:http://www2.sys-con.com/globaldelete.cfm?ljqoa=jne@gvc.ceas-challenge.cc&unsubtype=specialoffer  SYS-CON Media        577 Chestnut Ridge Road        Woodcliff Lake NJ 07677     201-802-3000"
phishing,legitimate,True,legitimate,"Fwd: Fw: Smart Computer !!!! >From: ""stanley czajkowski""  >To: BJLord2@aol.com, cahemming@hotmail.com, cardiac734@aol.com,  >cardiactech@adelphia.net, cmarsh3892@aol.com, comet91000@worldnet.att.net,  >cwalker@borg.com, dwestwood@erols.com, emsequalnolife@aol.com,  >found@monumental.com, haasdc@borg.com, haasmb@netscape.net,  >jons_stang@yahoo.com, jwalsh@medicorpihn.com, katwilliams@juno.com,  >kesterl@hoffman.army.mil, kidd108@attbi.com, ladybee108@webtv.net,  >Larry.Gordon@usmc-mccs.org, maniac_8@hotmail.com, okfine66@aol.com,  >pd4byot@aol.com, pita651@aol.com, ralph.walters@gsa.gov, s-t-a-k@msn.com,  >shedrick@erols.com, tina_leavy@msn.com, welsh@ibb.gov, Wollimat1@cs.com >Subject: Fwd: Fw: Smart Computer !!!! >Date: Sun, 27 Jan 2002 16:06:28 -0500 > > > > >>From: ""Ron Davies""  >>To: ""BARBARA JOHNSON"" ,   ""Walt Hanson"" >>,   ""Stanley Czajikowski""  >>Subject: Fw: Smart Computer !!!! >>Date: Sat, 26 Jan 2002 16:05:06 -0500 >> >> >> >>Subject: Smart Computer !!!! >> >> >> > A Woman was helping her computer-illiterate husband set up his >> > computer, >> > > > >and >> > > > >at the appropriate point in the process, told him that he would  >>now >> > need >> > > to >> > > > >choose and enter a password.  Something he will use to log on. >> > > > > >> > > > >The husband was in a rather amorous mood and figured he would try >>for >> > the >> > > > >shock effect to bring this to his wife's attention. So, when the >> > computer >> > > > >asked him to enter his password, he made it plainly obvious to his >>wife >> > > > >that >> > > > >he was keying in, >> > > > > >> > > > >     ""p..e..n..i..s"". >> > > > > >> > > > > >> > > > > >> > > > > >> > > > > >> > > > >His wife fell off her chair laughing when the computer replied: >> > > > > >> > > > > >> > > > > >> > > > >PASSWORD REJECTED. NOT LONG ENOUGH"" >> > > > >> > > > >> > > > >> > > > >> > > > _________________________________________________________________ >> > >> > > > > >_________________________________________________________________ >Get your FREE download of MSN Explorer at http://explorer.msn.com/intl.asp. > _________________________________________________________________ Chat with friends online, try MSN Messenger: http://messenger.msn.com"
phishing,legitimate,True,legitimate,bank details louise - here is your account information . please let me know if you need anything else . acct number : 005777986805 routing number : 111000025 amy
phishing,legitimate,True,legitimate,techrepublic daily digest cdknwfmwxhrtechrepubliconlinecom sanity check 10 trends tranform next five yearsfebruary 18 2008techrepublic daily digest trouble viewing mail read online manage newsletters welcome ted update profile unsubscribe mail blogs photos downloads forums sanity check 10 trends tranform next five yearsamong predictions technology analysts make gartner pinpointed 10 current trends executives exploit competitive advantage techrepublics jason hiner provides sanity check listsubscribe tech sanity check rss sponsoredmicrosoft dynamics resource dvd order free dvd learn microsofts erp crm solutions performing realworld companies microsoft new techrepubliccreating windows vista recovery cdgreg shultz microsoft adding ability create windows recovery cd vista sp1 however want create windows recovery cd sp1 arrivesill show get iso image create windows recovery cdcombat days working smartertricia liebert world like manage timerecognizing flexibility always order build ad hoc tasks alongside need accomplish given day like order like planning like schedules im troublewhat need know new cisco ccde certificationdavid davis january cisco launched important new highlevel certification cisco certified design expert ccde certificationfind specifics ccde see fits cisco certifications learn consider ccdeavoid two leadership stylesjohn mckee working lot different organizations career ive learned many people run executive suites boardrooms sick puppiesbarracuda spam firewall microsoft exchangejustin fielding available model 400 upwards single signon allow barracuda hook ldap including active directory radius pop3 services authorise users logging manage spam sponsoredfeb 27th products open closed respond new openness join techrepublics live webcast hear leading companies using social computing engage customers drive new product innovation new openness optaros red hat server located wheretim malone today worked server tail end gulfstream g450 corporate jet strangest place youve ever seen server server room locatedword keep stinking hands stylessusan harkins number one complaint word dogmatic need control everything default word settings annoy mostcheck today blogs techrepublic white papers partners satisfied phone system shoretel feb 21st top 5 advantages using hosted microsoft exchange 2007 sharepoint services usanet disaster recovery simplified iscsi wan go distance dell calculating roi clustered caching data grid solutions oracle research report steps improved program portfolio management compuware techrepublic conversation series join conversation securing networks without borders leader quadcore pack quadcore intelr xeonr processors offer breakthrough performance energy efficiency click information techrepublicsbest site sanity check seven hot acronyms pros talking greg shultz reveals works techrepublic newsletters get handson tips downloads white papers help configure administer support optimize network automatically sign today mobile wireless cisco routers switches unified communications network administrator sign free newsletters techrepublic manage account settings remove techrepublic communications please visit subscription center email address subscription user6gvcceaschallengecc unsubscribe email faq advertise privacy policy copyright 2008 cnet networks inc rights reserved techrepublic registered trademark cnet networks inc cnet networks inc 235 second street san francisco ca 94105 usa kylwi0776yahoocom sun feb 24 103010 2008 message 1 date tue 12 feb 2008 001319 0800 pst fatih akay subject wekalist gridregressionpy weka machine learning workbench list messageid 41189041957qmweb52809mailre2yahoocom contenttype textplain charsetiso88591 abbreviations gamma loss libsvm also p c 20 5120 100 try following values c 2 51 102 153 thanks fatih peter reutemann wrote ok following setup find use best parameter c fold 10fold cv test option every dataset cvparameterselection cvps trained tries find optimal parameters based parameter range provided user internal crossvalidation since youre using attribute selection cvps use whatever dataset gets scheme optimize youre using 10fold cv explorer process repeated 10 times wekaclassifiersmetaattributeselectedclassifier e wekaattributeselectioncfssubseteval wekaattributeselectionbestfirst 1 n 5 w wekaclassifiersmetacvparameterselection p c 20 5120 100 x 10 1 w wekaclassifiersfunctionslibsvm 0 k 2 3 g 00 r 00 n 05 400 c 10 e 00010 p 01 c parameter libsvm uppercase lower case correct p option cvps p c 20 5120 100 cheers peter peter reutemann dept computer science university waikato nz httpwwwcswaikatoacnzfracpete 64 7 8384466 ext 5174 _______________________________________________ wekalist mailing list iuxxdkqklistscmswaikatoacnz httpslistscmswaikatoacnzmailmanlistinfowekalist better friend newshound knowitall yahoo mobile try next part html attachment scrubbed url httpslistscmswaikatoacnzpipermailwekalistattachments200802126edff72dattachment0001html wed 06 aug 2008 114052 0800 techrepublic 10 trends tranform next five years
