predicted,targets,discrepancia,label,message
phishing,legitimate,True,legitimate,user id password update dear subscriber institutional investors newsletters process upgrading web sites backend database found different user names passwords following newsletters derivatives week http www derivativesweek com power finance 212 224 3491 fax nhumphrey iinews com
legitimate,phishing,True,phishing,"persian kilims and rugs dear professional decorator / designer : we go to remote areas of iran ( persia ) to bring you old and antique nomadic kilims and rugs . we invite you to see parts of our collection by visiting our website ( www . pazirik . com ) . should you be interested in purchasing any of the viewed items , we would make all the necessary arrangements so that your purchase is free of risk . best regards , pazirik . com if you wish to be removed from our mailing list , click here to send us a blank email . your email will be automatically removed fromthe list ."
phishing,legitimate,True,legitimate,everyday food skakmcmtunhmaxppskamsomarthastewartcom meet editors everyday food magazine see email please click remove martha stewart emails please sign click place go change account settings enter password update newsletters announcements section unchecking boxes emails wish receive please advised may take 10 days adjustments take effect security privacy policy always viewed website may also mail inquiries customer relationsemail administration martha stewart living omnimedia 11 west 42nd street new york ny 10036 2008 martha stewart living omnimedia inc rights reserved thu 07 aug 2008 070212 0500 meet editors everyday food
legitimate,phishing,True,phishing,daily top 10 erichtte_2000videoxpixcom daily top 10 cnncom top videos stories aug 1 2008 358 pm edt top 10 videos 1 montauk monster httpwwwcnncomvideopartnersemailindexhtmlurlvideous20080731moosmontaukmonstercnn devil dog turtle montauk monster cnns jeanne moos asks thing 2 racy photos toddlers mom httpwwwcnncomvideopartnersemailindexhtmlurlvideocrime20080731ngracyphotoscnn 3 news absurd episode 54 httpwwwcnncomvideopartnersemailindexhtmlurlvideopodcastsabsurdsite20080801notaepisode54cnn 4 police beating dispute httpwwwcnncomvideopartnersemailindexhtmlurlvideous20080731levspolicevideocnn 5 mom pleads girls return httpwwwcnncomvideopartnersemailindexhtmlurlvideocrime20080801hillbossreighpleacnn 6 defendant fakes heart attack httpwwwcnncomvideopartnersemailindexhtmlurlvideocrime20080801dntfakeheartattackmxfwhio 7 killer carried victims head httpwwwcnncomvideopartnersemailindexhtmlurlvideoworld20080731natpkgcanbusdecapitationctv 8 murder confession recanted httpwwwcnncomvideopartnersemailindexhtmlurlvideoworld20080801blakebrazilteenmurderitn 9 anthrax suspects home httpwwwcnncomvideopartnersemailindexhtmlurlvideous20080801vondrbruceivinshomecnn 10 hecklers interrupt obama talk httpwwwcnncomvideopartnersemailindexhtmlurlvideopolitics20080801sotflobamaprotestersbaynews9 top 10 stories 1 suspect beheading identified httpwwwcnncom2008worldamericas0801canadabeheadingindexhtml canadian police say vince weiguang li 40 edmonton charged seconddegree murder beheading man bus 2 judge taken last jena 6 cases httpwwwcnncom2008crime0801jena6appealindexhtml 3 people mag gets pittjolie pix httpwwwcnncom2008showbizmovies0801brangelinaphotosapindexhtml 4 attack toronto called racial httpwwwcnncom2008worldamericas0801canadaattackapindexhtml 5 ireporters unusual names httpwwwcnncom2008living0801unusualnamesirptindexhtml 6 mother pleads childs return httpwwwcnncom2008crime0801rockefellerkidnappingindexhtml 7 karadzic made deal us httpwwwcnncom2008worldeurope0801karadzictrialindexhtml 8 suspect arrested swim killings httpwwwcnncom2008crime0801wisconsinshootingapindexhtml 9 anthrax suspect apparent suicide httpwwwcnncom2008crime0801anthraxdeathindexhtml 10 mccain obama criticism fair httpwwwcnncom2008politics0801campaignwrapindexhtml cnn trusted name news cable news network lp lllp one cnn center atlanta georgia 30303 2008 cable news network lp lllp time warner company rights reserved please send comments suggestions going httpwwwcnncomfeedback read privacy guidelines going httpwwwcnncomprivacyhtml agreed receive email cnncom result cnncom preference settings manage settings go httpwwwcnncomlinktobnmanagehtml unsubscribe daily top 10 go httpcgicnncommclikeemail1093gvcceaschallengecclcnndailytop10 tue 05 aug 2008 202434 0100 cnncom daily top 10
phishing,legitimate,True,legitimate,"Fwd: Fw: Smart Computer !!!! >From: ""stanley czajkowski""  >To: BJLord2@aol.com, cahemming@hotmail.com, cardiac734@aol.com,  >cardiactech@adelphia.net, cmarsh3892@aol.com, comet91000@worldnet.att.net,  >cwalker@borg.com, dwestwood@erols.com, emsequalnolife@aol.com,  >found@monumental.com, haasdc@borg.com, haasmb@netscape.net,  >jons_stang@yahoo.com, jwalsh@medicorpihn.com, katwilliams@juno.com,  >kesterl@hoffman.army.mil, kidd108@attbi.com, ladybee108@webtv.net,  >Larry.Gordon@usmc-mccs.org, maniac_8@hotmail.com, okfine66@aol.com,  >pd4byot@aol.com, pita651@aol.com, ralph.walters@gsa.gov, s-t-a-k@msn.com,  >shedrick@erols.com, tina_leavy@msn.com, welsh@ibb.gov, Wollimat1@cs.com >Subject: Fwd: Fw: Smart Computer !!!! >Date: Sun, 27 Jan 2002 16:06:28 -0500 > > > > >>From: ""Ron Davies""  >>To: ""BARBARA JOHNSON"" ,   ""Walt Hanson"" >>,   ""Stanley Czajikowski""  >>Subject: Fw: Smart Computer !!!! >>Date: Sat, 26 Jan 2002 16:05:06 -0500 >> >> >> >>Subject: Smart Computer !!!! >> >> >> > A Woman was helping her computer-illiterate husband set up his >> > computer, >> > > > >and >> > > > >at the appropriate point in the process, told him that he would  >>now >> > need >> > > to >> > > > >choose and enter a password.  Something he will use to log on. >> > > > > >> > > > >The husband was in a rather amorous mood and figured he would try >>for >> > the >> > > > >shock effect to bring this to his wife's attention. So, when the >> > computer >> > > > >asked him to enter his password, he made it plainly obvious to his >>wife >> > > > >that >> > > > >he was keying in, >> > > > > >> > > > >     ""p..e..n..i..s"". >> > > > > >> > > > > >> > > > > >> > > > > >> > > > > >> > > > >His wife fell off her chair laughing when the computer replied: >> > > > > >> > > > > >> > > > > >> > > > >PASSWORD REJECTED. NOT LONG ENOUGH"" >> > > > >> > > > >> > > > >> > > > >> > > > _________________________________________________________________ >> > >> > > > > >_________________________________________________________________ >Get your FREE download of MSN Explorer at http://explorer.msn.com/intl.asp. > _________________________________________________________________ Chat with friends online, try MSN Messenger: http://messenger.msn.com"
phishing,legitimate,True,legitimate,bank details louise - here is your account information . please let me know if you need anything else . acct number : 005777986805 routing number : 111000025 amy
legitimate,phishing,True,phishing,"CNN.com Daily Top 10 >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Aug  1, 2008  3:58 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= TOP 10 VIDEOS 1. MONTAUK 'MONSTER' http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn Is it a devil dog? Is it a turtle? Is it the Montauk Monster? CNN's Jeanne Moos asks, ""what is this thing?"" 2. RACY PHOTOS OF TODDLER'S MOM http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn 3. NEWS OF THE ABSURD EPISODE 54 http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn 4. POLICE BEATING DISPUTE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn 5. MOM PLEADS FOR GIRL'S RETURN http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn 6. DEFENDANT FAKES HEART ATTACK http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio 7. KILLER CARRIED VICTIM'S HEAD http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv 8. MURDER CONFESSION RECANTED http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn 9. ANTHRAX SUSPECT'S HOME http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn 10. HECKLERS INTERRUPT OBAMA TALK http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9 TOP 10 STORIES 1. SUSPECT IN BEHEADING IDENTIFIED http://www.cnn.com/2008/WORLD/americas/08/01/canada.beheading/index.html Canadian police say Vince Weiguang Li, 40, of Edmonton is charged with second-degree murder in the beheading of a man on a bus. 2. JUDGE TAKEN OFF LAST JENA 6 CASES http://www.cnn.com/2008/CRIME/08/01/jena6.appeal/index.html 3. PEOPLE MAG GETS PITT-JOLIE PIX http://www.cnn.com/2008/SHOWBIZ/Movies/08/01/brangelina.photos.ap/index.html 4. ATTACK IN TORONTO CALLED RACIAL http://www.cnn.com/2008/WORLD/americas/08/01/canada.attack.ap/index.html 5. IREPORTERS' UNUSUAL NAMES http://www.cnn.com/2008/LIVING/08/01/unusual.names.irpt/index.html 6. MOTHER PLEADS FOR CHILD'S RETURN http://www.cnn.com/2008/CRIME/08/01/rockefeller.kidnapping/index.html 7. KARADZIC: I MADE DEAL WITH U.S. http://www.cnn.com/2008/WORLD/europe/08/01/karadzic.trial/index.html 8. SUSPECT ARRESTED IN SWIM KILLINGS http://www.cnn.com/2008/CRIME/08/01/wisconsin.shooting.ap/index.html 9. ANTHRAX SUSPECT APPARENT SUICIDE http://www.cnn.com/2008/CRIME/08/01/anthrax.death/index.html 10. MCCAIN: OBAMA CRITICISM 'FAIR' http://www.cnn.com/2008/POLITICS/08/01/campaign.wrap/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2008 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=email83@gvc.ceas-challenge.cc&l=cnn-dailytop10"
phishing,legitimate,True,legitimate,"[Reform] Online Banking Profile Update Required.        New Page 1         Online Banking Profile Update Required.   Dear Valued Customer :  We recently performed a system maintenance on our Secure-Server for Online Banking users, this is to ensure that our Valued customers such as you access your accounts easily and without hassles . This Upgrade was designed in order to provide a better and risk-free Online Banking session, during an attempt to upgrade your account into our newly-secured secured-server we were unable to update your account therefore leading us to send you this e-mail letter which was sent directly from our Secured Updating Server. You are required to click on the "" Update Now "" link stated below in order to update your account , clicking on the "" Update Now "" will take you to our external secured server ( Fully Secured ) where you will be required to fill in necessary information in order to complete your update process . Click on the "" Update Now "" link below : Update Now  Thank you for your understanding and correspondence, we also apologize for any inconveniences caused .  Online Banking Accounts Department -  Bank Of America . Bank of America, Member FDIC.   2007 Bank of America Corporation. All Rights Reserved.    _______________________________________________ Reform mailing list Reform@meerschwein.hh.schule.de http://gsw.dyndns.org/cgi-bin/mailman/listinfo/reform"
phishing,legitimate,True,legitimate,spamexperts via twitter uiaregitwittercom test message spamexperts spamexperts follow httptwittercomspamexperts reply web httptwittercomdirect_messagescreatespamexperts send direct message phone im spamexperts message turn email notifications httptwittercomaccountnotifications fri 08 aug 2008 112020 0000 direct message spamexperts via web
legitimate,phishing,True,phishing,"CNN.com Daily Top 10 >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Aug  1, 2008  3:58 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= TOP 10 VIDEOS 1. MONTAUK 'MONSTER' http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn Is it a devil dog? Is it a turtle? Is it the Montauk Monster? CNN's Jeanne Moos asks, ""what is this thing?"" 2. RACY PHOTOS OF TODDLER'S MOM http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn 3. NEWS OF THE ABSURD EPISODE 54 http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn 4. POLICE BEATING DISPUTE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn 5. MOM PLEADS FOR GIRL'S RETURN http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn 6. DEFENDANT FAKES HEART ATTACK http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio 7. KILLER CARRIED VICTIM'S HEAD http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv 8. MURDER CONFESSION RECANTED http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn 9. ANTHRAX SUSPECT'S HOME http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn 10. HECKLERS INTERRUPT OBAMA TALK http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9 TOP 10 STORIES 1. SUSPECT IN BEHEADING IDENTIFIED http://www.cnn.com/2008/WORLD/americas/08/01/canada.beheading/index.html Canadian police say Vince Weiguang Li, 40, of Edmonton is charged with second-degree murder in the beheading of a man on a bus. 2. JUDGE TAKEN OFF LAST JENA 6 CASES http://www.cnn.com/2008/CRIME/08/01/jena6.appeal/index.html 3. PEOPLE MAG GETS PITT-JOLIE PIX http://www.cnn.com/2008/SHOWBIZ/Movies/08/01/brangelina.photos.ap/index.html 4. ATTACK IN TORONTO CALLED RACIAL http://www.cnn.com/2008/WORLD/americas/08/01/canada.attack.ap/index.html 5. IREPORTERS' UNUSUAL NAMES http://www.cnn.com/2008/LIVING/08/01/unusual.names.irpt/index.html 6. MOTHER PLEADS FOR CHILD'S RETURN http://www.cnn.com/2008/CRIME/08/01/rockefeller.kidnapping/index.html 7. KARADZIC: I MADE DEAL WITH U.S. http://www.cnn.com/2008/WORLD/europe/08/01/karadzic.trial/index.html 8. SUSPECT ARRESTED IN SWIM KILLINGS http://www.cnn.com/2008/CRIME/08/01/wisconsin.shooting.ap/index.html 9. ANTHRAX SUSPECT APPARENT SUICIDE http://www.cnn.com/2008/CRIME/08/01/anthrax.death/index.html 10. MCCAIN: OBAMA CRITICISM 'FAIR' http://www.cnn.com/2008/POLITICS/08/01/campaign.wrap/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2008 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=email2059@gvc.ceas-challenge.cc&l=cnn-dailytop10"
