,predicted
0,phishing
1,legitimate
2,phishing
3,legitimate
4,phishing
5,legitimate
6,phishing
7,phishing
8,phishing
9,phishing
10,phishing
11,phishing
12,legitimate
13,legitimate
14,phishing
15,legitimate
16,legitimate
17,legitimate
18,legitimate
19,legitimate
20,phishing
21,phishing
22,legitimate
23,legitimate
24,legitimate
25,legitimate
26,legitimate
27,phishing
28,phishing
29,phishing
30,phishing
31,legitimate
32,phishing
33,legitimate
34,legitimate
35,legitimate
36,legitimate
37,phishing
38,legitimate
39,phishing
40,phishing
41,legitimate
42,legitimate
43,legitimate
44,legitimate
45,legitimate
46,phishing
47,legitimate
48,phishing
49,phishing
50,legitimate
51,legitimate
52,phishing
53,phishing
54,phishing
55,legitimate
56,legitimate
57,legitimate
58,phishing
59,legitimate
60,legitimate
61,legitimate
62,phishing
63,legitimate
64,legitimate
65,legitimate
66,legitimate
67,phishing
68,phishing
69,legitimate
70,phishing
71,legitimate
72,phishing
73,phishing
74,phishing
75,legitimate
76,phishing
77,legitimate
78,legitimate
79,legitimate
80,phishing
81,legitimate
82,phishing
83,phishing
84,legitimate
85,legitimate
86,phishing
87,legitimate
88,phishing
89,legitimate
90,phishing
91,phishing
92,phishing
93,legitimate
94,legitimate
95,phishing
96,phishing
97,legitimate
98,phishing
99,legitimate
100,phishing
101,phishing
102,phishing
103,legitimate
104,legitimate
105,phishing
106,phishing
107,phishing
108,legitimate
109,legitimate
110,legitimate
111,phishing
112,phishing
113,legitimate
114,phishing
115,phishing
116,phishing
117,legitimate
118,phishing
119,legitimate
120,phishing
121,phishing
122,legitimate
123,legitimate
124,phishing
125,legitimate
126,phishing
127,phishing
128,legitimate
129,legitimate
130,phishing
131,phishing
132,phishing
133,legitimate
134,phishing
135,phishing
136,legitimate
137,legitimate
138,phishing
139,legitimate
140,phishing
141,legitimate
142,phishing
143,legitimate
144,phishing
145,phishing
146,legitimate
147,legitimate
148,legitimate
149,legitimate
150,legitimate
151,legitimate
152,phishing
153,legitimate
154,phishing
155,legitimate
156,legitimate
157,phishing
158,phishing
159,phishing
160,phishing
161,phishing
162,legitimate
163,legitimate
164,phishing
165,phishing
166,phishing
167,legitimate
168,phishing
169,phishing
170,legitimate
171,phishing
172,phishing
173,legitimate
174,phishing
175,phishing
176,legitimate
177,legitimate
178,legitimate
179,legitimate
180,phishing
181,phishing
182,phishing
183,phishing
184,phishing
185,legitimate
186,legitimate
187,phishing
188,phishing
189,phishing
190,phishing
191,phishing
192,phishing
193,legitimate
194,phishing
195,legitimate
196,phishing
197,phishing
198,legitimate
199,phishing
200,legitimate
201,legitimate
202,legitimate
203,phishing
204,phishing
205,legitimate
206,phishing
207,legitimate
208,phishing
209,phishing
210,legitimate
211,phishing
212,phishing
213,legitimate
214,legitimate
215,legitimate
216,legitimate
217,legitimate
218,phishing
219,legitimate
220,legitimate
221,phishing
222,legitimate
223,legitimate
224,phishing
225,legitimate
226,phishing
227,legitimate
228,legitimate
229,legitimate
230,legitimate
231,legitimate
232,phishing
233,legitimate
234,phishing
235,legitimate
236,legitimate
237,phishing
238,legitimate
239,phishing
240,phishing
241,phishing
242,legitimate
243,phishing
244,phishing
245,legitimate
246,legitimate
247,legitimate
248,phishing
249,legitimate
250,phishing
251,legitimate
252,phishing
253,legitimate
254,phishing
255,phishing
256,legitimate
257,phishing
258,phishing
259,legitimate
260,phishing
261,phishing
262,phishing
263,phishing
264,legitimate
265,legitimate
266,phishing
267,phishing
268,phishing
269,legitimate
270,phishing
271,legitimate
272,phishing
273,phishing
274,legitimate
275,phishing
276,phishing
277,legitimate
278,phishing
279,legitimate
280,legitimate
281,legitimate
282,legitimate
283,legitimate
284,phishing
285,phishing
286,legitimate
287,legitimate
288,phishing
289,phishing
290,legitimate
291,legitimate
292,phishing
293,phishing
294,phishing
295,phishing
296,legitimate
297,legitimate
298,legitimate
299,legitimate
300,legitimate
301,phishing
302,legitimate
303,legitimate
304,phishing
305,phishing
306,legitimate
307,phishing
308,legitimate
309,phishing
310,phishing
311,legitimate
312,phishing
313,phishing
314,legitimate
315,phishing
316,legitimate
317,phishing
318,phishing
319,legitimate
320,phishing
321,phishing
322,phishing
323,phishing
324,legitimate
325,phishing
326,legitimate
327,legitimate
328,phishing
329,phishing
330,phishing
331,phishing
332,phishing
