predicted,targets,discrepancia,text,label
legitimate,phishing,True,"phonology certamen phonologicum iii pier marco bertinetto , livio gaeta , georgijetchev & david michaels ( eds ) , certamen phonologicum iii . papers from the third cortona phonology meeting , april 1996 . torino , rosenberg & sellier 1997 , pp . 291 , price lit . 63 . 000 ( approximately us $ 37 ) . isbn 88-7011 - 717 - 0 . general issues : hans basboll , on danish schwa . judith m . broadbent , a review of hume 's account of consonant vowel interactions in maltese arabic . bruce l . derwing , testing phonological universals in the laboratory . tobias scheer , vowel - zero alternations and their support for a theory of consonantal interaction . prosodic theory : caroline fery , the mora as a measure of weight and syllabic constituent . karijn helsloot , poetic meter is metrical prosody : phonological phrasing in italian bound and free verse . michael kenstowicz & hyang - sook sohn , phrasing and focus in northern kyungsang korean . italian dialects and phonological theory : matthew absalom & john hajek , raddoppiamento sintattico : wath happens when the theory is on too tight ? . mirco ghini , segments , prosodic units , and ambisyllabicity in ligurian . michele loporcaro , on vowel epenthesis in alguer catalan . michael l . mazzola , from stress in latin and romance to lexical stress in italian . stephan schmid , a typological view of syllable structure in some italian dialects . edward f . tuttle , preferential and pseudo-metathesis ( in italo - romance dialects ) .",0
phishing,legitimate,True,"CNN.com Daily Top 10 >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Aug  1, 2008  3:58 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= TOP 10 VIDEOS 1. MONTAUK 'MONSTER' http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/moos.montauk.monster.cnn Is it a devil dog? Is it a turtle? Is it the Montauk Monster? CNN's Jeanne Moos asks, ""what is this thing?"" 2. RACY PHOTOS OF TODDLER'S MOM http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/07/31/ng.racy.photos.cnn 3. NEWS OF THE ABSURD EPISODE 54 http://www.cnn.com/video/partners/email/index.html?url=/video/podcasts/absurd/site/2008/08/01/nota.episode.54.cnn 4. POLICE BEATING DISPUTE http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/07/31/levs.police.video.cnn 5. MOM PLEADS FOR GIRL'S RETURN http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/hill.boss.reigh.plea.cnn 6. DEFENDANT FAKES HEART ATTACK http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/01/dnt.fake.heart.attack.mxf.whio 7. KILLER CARRIED VICTIM'S HEAD http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/07/31/natpkg.can.bus.decapitation.ctv 8. MURDER CONFESSION RECANTED http://www.cnn.com/video/partners/email/index.html?url=/video/world/2008/08/01/blake.brazil.teen.murder.itn 9. ANTHRAX SUSPECT'S HOME http://www.cnn.com/video/partners/email/index.html?url=/video/us/2008/08/01/von.dr.bruce.ivins.home.cnn 10. HECKLERS INTERRUPT OBAMA TALK http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/01/sot.fl.obama.protesters.baynews9 TOP 10 STORIES 1. SUSPECT IN BEHEADING IDENTIFIED http://www.cnn.com/2008/WORLD/americas/08/01/canada.beheading/index.html Canadian police say Vince Weiguang Li, 40, of Edmonton is charged with second-degree murder in the beheading of a man on a bus. 2. JUDGE TAKEN OFF LAST JENA 6 CASES http://www.cnn.com/2008/CRIME/08/01/jena6.appeal/index.html 3. PEOPLE MAG GETS PITT-JOLIE PIX http://www.cnn.com/2008/SHOWBIZ/Movies/08/01/brangelina.photos.ap/index.html 4. ATTACK IN TORONTO CALLED RACIAL http://www.cnn.com/2008/WORLD/americas/08/01/canada.attack.ap/index.html 5. IREPORTERS' UNUSUAL NAMES http://www.cnn.com/2008/LIVING/08/01/unusual.names.irpt/index.html 6. MOTHER PLEADS FOR CHILD'S RETURN http://www.cnn.com/2008/CRIME/08/01/rockefeller.kidnapping/index.html 7. KARADZIC: I MADE DEAL WITH U.S. http://www.cnn.com/2008/WORLD/europe/08/01/karadzic.trial/index.html 8. SUSPECT ARRESTED IN SWIM KILLINGS http://www.cnn.com/2008/CRIME/08/01/wisconsin.shooting.ap/index.html 9. ANTHRAX SUSPECT APPARENT SUICIDE http://www.cnn.com/2008/CRIME/08/01/anthrax.death/index.html 10. MCCAIN: OBAMA CRITICISM 'FAIR' http://www.cnn.com/2008/POLITICS/08/01/campaign.wrap/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2008 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=email1620@gvc.ceas-challenge.cc&l=cnn-dailytop10",1
phishing,legitimate,True,david zongo david_zongo47hotmailfr desk dr david zongo manager bill exchange dept african development bankadb ouagadougou burkina faso dear friend know mail come surprise bill ad exchange manager african development bank hoped expose betray trust confident repose mutual benefit families need urgent assistance transferring sum 113 million immediately account money dormant years bank without body coming owner account joseph f grillo foreigner manager petrol chemical service chemical engineer profession died world trade center victim september 112001 incident befall united state america bank made series efforts contact relatives claim money without success confirm website httpwwwseptember11victimscomseptember11victimsvictiminfoaspid1260 dont want money go bank treasury abandoned fund reason contacted bank release money nearest person deceased customer please like keep proposal top secret delete interested upon receipt reply send full details business executed also note 40 mentioned sum agree transact business dr david zongo african development bank burkina fasowest africa treat urgentreply immediately _________________________________________________________________ personnalisez votre messenger avec livecom httpwwwwindowslivefrlivecom mon 15 jan 2007 095235 0000 treat urgentreply immediately,1
legitimate,phishing,True,"Bike Diary #6 Day 13 Date: Thursday July 5, 2001 Distance: 85 miles Moving average speed: 13.1 mph Left at: 8:00 AM Arrived at: 4:00 PM Overnight in: cyclist shelter in Monroeville, IN Latitude 40 d 58 m 7 s N Longitude 84 d 51 m 55 s W Cumulative distance: 1058 miles  Today I passed two major milestones: I crossed another state border (Ohio to Indiana, and yes, I took that picture of the sign), and I logged my 1000th mile.  Now it's easy to extrapolate forward: if I covered 1000 miles in 13 days then I should cover 4000 miles in 52 days, which is 7 weeks and 3 days, within the range of my 6-to-8 week predeparture prediction.  52 days from my starting date (June 23) is August 13.  I would estimate the error on that prediction to be +/- 4 days, on the grounds that I added 1 day of riding to the first 1000 miles to nurse an injured knee, which extrapolates to 4 days over 4000 miles.  The weather today was fine, sunny with a high in the 70s, and the riding conditions would have been perfect were it not for the damn headwind.  It was from the northwest this time, so I could get a  little component of it behind me every time my route turned a little bit south.  But along the stretches of roads aligned due west it was a real grind.  I should digress on the subject of that headwind.  If I could have a nickel for every time somebody has told me that I am riding the ""wrong way"" across the country because the prevailing winds blow from west to east, then I would start getting invited to Bill Gates' parties.  Generally speaking, my interlocutors do not even appreciate the full difficulty of riding from east to west, because not only are the prevailing winds against you, but so are the prevailing hills.  You may recall from a previous Bike Diary entry my discussion of why it is that one should always prefer to go gradually down hill as opposed to an exhilerating rapid descent that squanders all the energy gained from climbing into wind resistance (this is not my opinion, it is a fact of physics).  Well, if you think about it, Denver is a mile high (5000 feet above sea level), but still east of the Front Range of the Rockies.  The Mississippi River, on the other hand, is only a few hundred feet above sea level.  This is true everywhere as you approach the Rockies from the east (for example, Cut Bank, MT on my route is just short of 4000 feet elevation).  Therefore, going west across the great plains you are gradually climbing, only to rapidly descend again when you get across the continental divide. The eastbounders, on the other hand, get the benefit of playing out their altitude gain gradually over a long distance as they descend across the great plains.  So, why go west?  Personally, I feel that flying to the west coast and bicycling back is the moral equivalent of getting air lifted to the top of Everest, skiing down to the base camp and then claiming to have climbed the mountain.  It is as if you wanted the bragging rights to say you rode your bicycle across the country, but you wanted to obtain them with the least amount of exertion necessary.  If you live on the east coast, and you want to ride across the continent, it seems perfectly obvious to me that what you need to do is ride west.  One should not undertake such a project as this if you want to do something easy.  OK, end of tirade.  Just remember this the next time you meet someone who claims to have bicycled across the country: the westbounders are the real cyclists.  Speaking of westbounders, I may be closing in on some ahead of me. I stopped in at the bicycle store in Defiance, OH to see if they had any news of westbounders.  Apparently a couple, short in stature, had passed through four days ago.  I wonder if this is the same couple making a perimeter tour that I heard about from the scruffy eastbounder on route 20 in upstate NY (see Day 4, Bike Diary #2).  If so, they were 8-9 days ahead of me then and are only 4 days ahead of me now, so I may be closing the gap.  In 10 days I've gained 4 on them, with 4 more to go, so I would guess that I will probably catch up to them in another 10 days, around July 15.  Stay tuned.  I'm spending tonight in Monroeville, IN.  Monroeville is like the set of a Frank Capra movie: you have your supper in the Village Cafe (two fried pork chops with mashed potatoes and gravy and a side salad for six bucks) and a chocolate malted from the Whippy Dip for dessert. The clientele of the Whippy Dip is a small crowd of flirting teenagers, there's a little league baseball game going on the playing field in the city park, and after dark the fireflies come out in swarms. You may have thought that places like this didn't exist any more, but here in middle America civil small town life is alive and well. You don't lock up your bike and you don't worry about it, either.  My accomodation here in Monroeville is a pavillion in the city park that has been set up as a shelter specifically for long distance touring cyclists.  There's a small bathroom with every imaginable amenity from warm shower to washer/dryer for your laundry.  The hospitable residents of Monroeville expect nothing in return: you can leave a donation but there's no obligation.  There's a guest book where you can leave your name, starting point and destination, and from the list of names it appears that Monroeville is a popular destination for touring cyclists: there's a few coming through every couple of days. I scanned the list for evidence of westbounders ahead of me to no avail.  Day 14 Date: Friday July 6, 2001 Distance: 83 miles Moving average speed: 14.1 mph Left at 7:30 AM Arrived at 2:30 PM Overnight in Salamonie River State Forest near Wabash, IN Latitude 40 d 48 m 42 s N Longitude 85 d 41 m 53 s W Cumulative distance: 1141  Although I rode 83 miles today, I only advanced 56 along the route to Seattle.  There were two reasons for the extra 27 miles today, the first was an inadvertent detour first thing in the morning when I left Monroeville headed in the wrong direction.  Here's and important fact for you future trans-America cyclists to remember: the sun rises in the east and sets in the west.  Therefore, if you are navigating the midwestern grid on a sunny morning thinking that you are going west but you do not see your shadow in front of you, then something is terribly wrong. It took me about three or four miles to notice this discrepancy, miles which I had to double back, of course.  The second detour was up to Fort Wayne to pick up some mail that my friends Maria and Kate sent me (thanks Kate! thanks Maria!).  I love mail.  The rest of the day was full of county roads and cornfields in Indiana. The wind more or less behaved itself today, starting the morning from the southeast before settling back into its usual pattern of coming from the southwest.  It wasn't much of a wind in either direction, maybe 5-10 mph.  I could easily have made it a longer day, but there is a real scarcity of services along this particular stretch of the route.  The next campground is 38 miles farther on, and there isn't a motel in the next 87 miles.  I probably could have managed the 38 miles to the next campground, but in deference to my still aching knees I quit much earlier in the afternoon than I would normally.  It looks like I made an impressively early start today, but that turns out to be a bit of a trick.  Although most of Indiana is in the eastern time zone, the state does not observe daylight savings time (except for the part in the cental time zone, just for maximum confusion) so at this time of year I crossed into the central time zone for all practical purposes when I crossed the Indiana border.  My campground tonight is a ""primitive facility"" which translates to no shower and pit toilets.  Generally speaking, I don't much mind primitive campgrounds as they are generally alot emptier than the ones that cater to the RV crowd and provide full hookups (water and electrical).  This one is an exception to that rule: there's hardly a vacant site.  I suppose it must be because of the holiday weekend since there isn't anything terribly exciting to do in the neighborhood. Most of the other campers are sitting in their sites experimenting  with all the noise-making gear they have brought along (firecrackers, car stereos, bongo drums, you name it).  Oh well, after all these days on the road I think I could sleep through anything.  Day 15 Date: Saturday July 7, 2001 Distance: 86 miles Moving average speed: 12.1 mph Left at 9:30 AM Arrived at 6:15 PM Overnight in White House B&B in Rensselaer, IN Latitude 40 d 55 m 52 s N Longitude 87 d 9 m 6 s W Cumulative distance: 1227 miles  I awoke this morning at 5 AM (EST) to the sound of distant thunder.  At first, I didn't realize that it was thunder I was hearing.  I'm accustomed to thunder as an intermitent booming; the sound I hear this morning was a continuous background.  After I had ruled out military aircraft on manueovers as a possible source for the sound I heard, I realized that I was in big trouble.  My immediate thought was ""strike the tent and seek shelter"".  That probably seems strange to alot of people who figure that the tent IS shelter, but you may recall from my first night's experience that if the tent is pitched on a slope, then it provides precious little shelter from runoff soaking through the floor of the tent.  I had once again pitched the tent on a slope, not expecting rain.  In fact, it seemed that most of the folks in the campground were not expecting (or at least prepared for) the rain that came.  By 6 AM I had my gear stowed my gear and loaded on the bicycle, and I moved myself and the bicycle to the only shelter on the campground: a pavillion that protected, ironically enough, the campground's water supply. The water supply itself was nothing but a spigot, but it spilled into a catch basin that looked like it came out of a coroner's office: it was a shallow sink no wider than usual but long enough to lay down in.  The pavillion overhangs this sink by three or four feet on any side, therefore the entire sheltered area was no bigger than about eight by ten feet.  At 6:10 AM the rains came with a vengance.  I cannot remember the last time I saw such torrential rain and so much lightning.  I believe that more than four inches of rain fell during the next three and a half hours, with lightning hitting very close to where I was standing.  I now could under- stand why the distant thunder had been continuous, because I was now standing in the middle of it.  And there I stood, for about three and a half hours, making light conversation with some of the other campers who dared step out in the storm and waiting for it to end.  One guy seemed to have an unnaturally detailed knowledge of the roads and motels of Indiana; when I asked him what line of work he was in he said he was following power lines.  Apparently utilities hire these guys to go around the state following the power lines to make sure there are no trees nearby that threaten to fall on them.  At 9:30 AM it was clear that the worst of the storm had passed and I decided to head out and make the most of what was left of the day. I'm pretty much ready to get out of Indiana, having already spent more time crossing Ohio than I had hoped.  The day started out as a more or less routine one of grinding out miles across cornfields.  The wind was quite strong in the aftermath of the storm, but it had returned to its normal direction (southwest), so I concluded that the rain was probably over for the day.  The weather was hot and humid, and the pace pretty slow.  I ran into some eastbounders in Denver, IN.  I wouldn't have recognized them as tourists because they were travelling on unloaded bikes, but one of them stopped to talk to me.  They are a group of three men in their late 50s/early 60s doing the Northern Tier in sections while somebody's wife drives the camper/sag-wagon behind.  Boy, these guys have it easy: not only are they eastbound but supported as well!  And he had the nerve to complain to me about headwinds!  ""Take a look at that flag"" I said.  My goal for today after I realized that it would be abbreviated by rain was to make it to Rensselaer, IN.  I'm passing through a part of Indiana where the campgrounds are scarce (and so is the population), so I had to shoot for a town with a motel.  Upon, arriving in Rensselaer, I was greeted by a parade of hot-rods (in fact, some locals had stopped me about two miles from town to warn me that it was happening today). I would estimate that there was well over one hundred cars in the parade, and after it was over they proceeded to cruise the town revving engines and peeping tires much to the delight of the townsfolk, who had turned out to the last man to observe the spectacle.  I suppose this is some sort of July Forth weekend event that happens every year.  I ended up picking the B&B for the night since the only other option was a motel on the interstate.  It might have been cheaper, but I would really hate staying on an interstate strip four miles outside of town.  At least this way I could walk around town and watch the cars go by.  I think I was making slightly better time on foot than the cruisers were, but maybe that's their point.",0
phishing,legitimate,True,licensed software . save money ! save up to 90 % buying professional software in our web - shop ! click here to enter,1
legitimate,phishing,True,richard frovarp odvjaqnkcafnlysenditnodakedu michael hutchinson wrote original message ________________________________________ tony bunce mailtoqnxepgoconceptscom sent tuesday 26 february 2008 554 zqoqispamassassinapacheorg subject ot yahoo deferred sorry topic thread im loss anyone else issues sending mail yahoo returning 421 message temporarily deferred every message servers try send server retries like yahoo never accepts message even day retrying google turned several people issue one solution dsn right spf records sign outgoing messages using domainkeys ive filled every form yahoo support site without luck anyone else seeing problem know way get real person yahoo reports online yahoo paid support phone number fix problem one list phone number much dont want pay yahoo accept messages im running options customer complaints getting frequent every day ahem ok ive calmed yahoo issue well caused major problems us large client lot workers use xtra yahoo email addresses home sudden mail stopped delivered clients server xtrayahoo email boxes receiving bounce though messages tagged spam automatically filed yahoo users spam folder see unless log webmail apparently yahoos peruser bayesian database words wed willing talk every xtra user logging webmail training bayes filter telling messages arearent spam properly delivers mail like clients mail server spamming yahoo contacted telecom xtra issue theyre unable help situation control fair enough tried contact yahoo joke time theyve sent bulk mail form trying get agree youre bulk mailer opportunity ignore problem 3 4 times agree fill wait wait wait lo behold nothing happens network operations centre contact yahoo one theyre keeping rather irresponsible provider point view people supposed report complex issues service people _do_ get talk lowlevel helpyouwithyouremailpassword workerbees know nothing email delivery behind scenes tried different approaches let us forget filled 3 whitelist forms received response yahoo service breaking rfcs delivering mail ignorant towards companies trying use service deliver mail youve even said paid accounts see issue free accounts think make money support free accounts requiring free accounts login things lcvbdkstonehengecom sat apr 26 154855 2008 soiofdvxgperlorg subject oop perl lcvbdkstonehengecom randal l schwartz date sat 16 feb 2008 062449 0800 messageid 86k5l5uggefsfbluestonehengecom mimeversion 10 contenttype textplain charsetusascii jeff jeff pang writes jeff second one recommended looks like oo way recommended indirect object form actively discouraged weve finding examples inherent imbiguity indirect object syntax biting people would know better also dont use breaks sort blocks randal l schwartz stonehenge consulting services inc 1 503 777 0095 perlunixsecurity consulting technical writing comedy etc etc see perltrainingstonehengecom onsite openenrollment perl training llgnioiicamalacbdeio contenttype messagerfc822 contentdisposition inline filenamebeginners_98780ezm thu 07 aug 2008 191321 0600 ot yahoo deferred,0
legitimate,phishing,True,"Re: [Python-Dev] getpass and stdin On Sun, Feb 24, 2008 at 1:02 PM, Shaya Potter  wrote: > [please cc me on responses] > >  I was wondering if getpass could be changed to enable piped stdin to work. > >  For instance, the getmail program can read my email password in via >  stdin using getpass functionality. > >  However, if I do > >  echo password | getmail4 > >  it will fail due to stdin not being a terminal and therefore not being >  able to do a old = termios.tcgetattr(fd) on it. > >   From what I can tell, the point of this is to only to prevent echoing >  the password, which isn't a problem in the echo case I give (especially >  if using bash, then it wont even be on the cmdline when run from a >  script as it's a builtin, script can also read in the password and store >  it in memory). > >  currently the code is > >  ----- >  def unix_getpass(prompt='Password: '): >      """"""Prompt for a password, with echo turned off. > >      Restore terminal settings at end. >      """""" > >      try: >          fd = sys.stdin.fileno() >      except: >          return default_getpass(prompt) > >      old = termios.tcgetattr(fd)     # a copy to save >      new = old[:] > >      new[3] = new[3] & ~termios.ECHO # 3 == 'lflags' >      try: >          termios.tcsetattr(fd, termios.TCSADRAIN, new) >          passwd = _raw_input(prompt) >      finally: >          termios.tcsetattr(fd, termios.TCSADRAIN, old) > >      sys.stdout.write('\\n') >      return passwd >  ----- > >  it would seem that if the tcgetattr() line is moved into the initial >  try, my echo case would work as expected (as it would fail, but be >  caught and then just run default_getpass() (which should just read it >  from stdin). > >  Is there any reason not to do it this way?  It's certainly possible to have getpass() read from stdin automatically, but it's traditionally understood that having it read from a tty is much, much better.  Suppose your program were meant to use getpass, and then read a file from stdin.  Now, all of a sudden, you miss the first line of the file, and it becomes your password, for no particular reason.  getpass() works the way it does because it's been working that way in C for decades.  If you really want to maintain a 'configuration file' for your password, or have it available on command line, try adding an option like -p  or -p  to whatever program you're writing.  --  Cheers, Leif _______________________________________________ Python-Dev mailing list zvllln-eum@python.org http://mail.python.org/mailman/listinfo/python-dev Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com",0
phishing,legitimate,True,clement apute clemaputeconsultantcom subject business proposal importance high good day might seem deplorable person know name clement aputei lawyer close confidant client also happens sisterinlaw contacting clients urgent need go partnership someonewho country result familys present situation countryand specifically fixed address let say fixed responsibilities stands good reason go partnership present situation right requires good understanding good sense judgment sisterinlaw entire family really suffering hands wicked people drunk powerthis personal vendetta head states jailed client husbands regime 1997 actually plotting coup etat military administration power clear present head states wants take advantage seat power settle personal hatred clients family man bent destroying clients family family virtually lost familys money properties due vindictive administration power bent dealing family bank accounts frozenassets properties helped managing confiscated still non functional till present day administration spread much rumors family yet another smear campaign aimed mainly frustrate humiliate dismember widen scope hatred clients family right completely impossible member family make move entire family placed traveling restrictionsabout months ago squished another us395 million dollars wicked people completely dammed fact funds ascertained independently presently family finding hard manage completely run resources everything taken away madam children client needs sombody confide inpresently family still amounts money sum 84 million us dollars fractions cashwhich family spread lodged vault different securities outfits two countries asia also europe existence monies way known anybody elsenot even mamas children apart eldest son money lodged jewelry precaution maintain high level secrecy family left fall back expect keep matter confidence madam wants partner proceed soon possible retrieve money lodged security outfits handle duly instructed family needs somebody help withdraw deposits family financially country since everything taken away looking understanding partner work us require help family go retrieve one familys deposits lodged one places keep safely care since none us able travel country due traveling restrictions secondlyso always withdraw little part money possession send us hereanytime family great need way continue sustain family free thier enemies lawyer instructing go providing legal documents make claim behalf client please rest assured problems difficulties claiming deposits nobody aware existence money details given open negotiations arrive reasonable compromise gain trust see work together negotiate certain percentage share money family offer expected assistance partnership please inform decision immediately stop contacts await response note also get contact via secured emailclemaputaearthlingnet like private phone number discuss better regards clement apute esq thu 05 dec 2002 190338 0800 partnership,1
legitimate,phishing,True,fw bridgeline cash ar sure received last cash distribution bridgeline check pursue original message gruesen karen sent thursday october 25 2001 5 03 pm hodges georganne subject fw bridgeline cash ar original message schwarzbach emily sent thursday october 25 2001 4 41 pm gruesen karen subject bridgeline cash ar karen following bridgeline account balances 9 30 01 requested cash 34 374 000 ar 88 224 562 questions need additional information please let know thank emily,0
legitimate,phishing,True,"60 Minutes E-mail Alert        Home   | U.S.   | World   | Politics   | SciTech   | Health   | Entertainment   |  Business   |  Opinion   |  Sports   |  Blogs   |  Interactives  | Video   	   The Early Show   | CBS Evening News   | 48 Hours   | 60 Minutes   | The Saturday Early Show   |  CBS Sunday Morning   | Face The Nation   	 ________________________________     ________________________________  In the worst shooting in U.S. history, we know 33 people, including the shooter, are dead. But we don't really know exactly why Cho Seung-Hui went on a rampage on the campus of Virginia Tech. For our first story, correspondent Scott Pelley talks to Secret Service intelligence officers, whose exhaustive research into the minds of potential assassins and school shooters will provide valuable insights. Pelley is speaking with the officers today, April 20, and will report this story over the weekend, for what will perhaps be the freshest look yet at the mind of this mass killer.         This past week was also the deadliest in Baghdad - over 200 Iraqis were killed in a single day.  It has become a living hell for citizens of Baghdad just trying to get through an average day, as correspondent Lara Logan reports in our second story. How does one live in such a place? Very carefully, reports Logan, and often with the protection of a weapon, or in the case of Dr. Quoresh al-Kasir, the U.S. military. Nearly 200 doctors have been murdered in Iraq by insurgents intent on destroying Iraqi society. Soon after bullets began to crash through his windows, Dr. Quoresh heard a hopeful sound. ""We heard the helicopters starting to come to the area. My sons and daughter said, 'Oh, Baba, the Americans started to reach the area.'""     Watch  Logan's Reporter's Notebook.        The firing of Don Imus for uttering racially charged and misogynistic words black rap stars routinely use in their lyrics has shifted the spotlight to hip-hop culture and its dark messages.  As you'll see in our third piece, CNN's Anderson Cooper discovers that one of the rappers' popular messages, ""stop snitchin',"" does not help the police, but has actually confounded investigators' efforts to solve crimes, especially murder, and has now created some lawless neighborhoods.  Says Geoffrey Canada, educator and anti-violence advocate from New York City's Harlem neighborhood, ""It's like we're saying to the criminals, 'You can have our community....Do anything you want and we will either deal with it ourselves or we'll simply ignore it.'""     Watch  Cooper's Reporter's Notebook.        These stories, and Andy Rooney's love affair with books, this Sunday, April 22, on 60 Minutes at 7 p.m. ET/PT.      For an early look at this week's stories, please click here  .           	 	 	Advertisement     ________________________________  ________________________________  To unsubscribe or change your subscription options, click here  . Contact: Email Administrator, CBSNews.com, 524 W. 57th St., Room 514/1, New York, NY, 10019 Help   |  Advertise   | Terms of Service   |  Privacy Statement   (c)MMVII, CBS Interactive Inc. All Rights Reserved.",0
