,predicted
0,phishing
1,Phishing
2,Phishing
3,phishing
4,legitimate
5,Phishing
6,legitimate
7,phishing
8,phishing
9,legitimate
10,phishing
11,legitimate
12,phishing
13,legitimate
14,Phishing
15,legitimate
16,phishing
17,legitimate
18,phishing
19,phishing
20,legitimate
21,legitimate
22,legitimate
23,Phishing
24,Phishing
25,phishing
26,phishing
27,legitimate
28,legitimate
29,phishing
30,phishing
31,phishing
32,legitimate
33,legitimate
34,legitimate
35,legitimate
36,legitimate
37,phishing
38,Phishing
39,legitimate
40,Phishing
41,legitimate
42,phishing
43,legitimate
44,phishing
45,legitimate
46,Phishing
47,legitimate
48,Phishing
49,legitimate
50,legitimate
51,legitimate
52,phishing
53,phishing
54,legitimate
55,legitimate
56,legitimate
57,legitimate
58,phishing
59,phishing
60,legitimate
61,legitimate
62,phishing
63,phishing
64,phishing
65,legitimate
66,legitimate
67,Phishing
68,Phishing
69,phishing
70,legitimate
71,phishing
72,legitimate
73,legitimate
74,phishing
75,legitimate
76,phishing
77,legitimate
78,phishing
79,phishing
80,phishing
81,phishing
82,legitimate
83,phishing
84,phishing
85,phishing
86,legitimate
87,phishing
88,legitimate
89,legitimate
90,Phishing
91,legitimate
92,legitimate
93,Phishing
94,Phishing
95,legitimate
96,legitimate
97,phishing
98,phishing
99,legitimate
100,legitimate
101,phishing
102,Phishing
103,Phishing
104,phishing
105,legitimate
106,phishing
107,legitimate
108,legitimate
109,legitimate
110,Phishing
111,legitimate
112,legitimate
113,legitimate
114,legitimate
115,legitimate
116,Phishing
117,legitimate
118,legitimate
119,legitimate
120,Phishing
121,legitimate
122,legitimate
123,legitimate
124,Phishing
125,phishing
126,legitimate
127,Phishing
128,legitimate
129,Phishing
130,legitimate
131,legitimate
132,phishing
133,legitimate
134,phishing
135,legitimate
136,legitimate
137,legitimate
138,phishing
139,legitimate
140,legitimate
141,phishing
142,legitimate
143,Phishing
144,legitimate
145,Phishing
146,Phishing
147,legitimate
148,legitimate
149,Phishing
150,phishing
151,legitimate
152,legitimate
153,legitimate
154,phishing
155,legitimate
156,legitimate
157,legitimate
158,phishing
159,legitimate
160,legitimate
161,Phishing
162,legitimate
163,legitimate
164,Phishing
165,Phishing
166,phishing
167,legitimate
168,legitimate
169,Phishing
170,legitimate
171,Phishing
172,legitimate
173,phishing
174,Phishing
175,phishing
176,Phishing
177,legitimate
178,phishing
179,legitimate
180,Phishing
181,legitimate
182,legitimate
183,legitimate
184,phishing
185,legitimate
186,legitimate
187,legitimate
188,legitimate
189,legitimate
190,legitimate
191,Phishing
192,phishing
193,phishing
194,legitimate
195,legitimate
196,legitimate
197,legitimate
198,phishing
199,legitimate
200,phishing
201,legitimate
202,Phishing
203,Phishing
204,Phishing
205,Phishing
206,phishing
207,legitimate
208,phishing
209,phishing
210,Phishing
211,legitimate
212,legitimate
213,phishing
214,legitimate
215,legitimate
216,Phishing
217,legitimate
218,Phishing
219,legitimate
220,legitimate
221,phishing
222,phishing
223,phishing
224,phishing
225,legitimate
226,phishing
227,legitimate
228,phishing
229,legitimate
230,phishing
231,legitimate
232,legitimate
233,phishing
234,legitimate
235,legitimate
236,phishing
237,legitimate
238,Phishing
239,Phishing
240,legitimate
241,phishing
242,phishing
243,Phishing
244,legitimate
245,legitimate
246,legitimate
247,phishing
248,legitimate
249,legitimate
250,phishing
251,phishing
252,phishing
253,legitimate
254,phishing
255,legitimate
256,phishing
257,phishing
258,phishing
259,legitimate
260,legitimate
261,phishing
262,legitimate
263,Phishing
264,Phishing
265,phishing
266,Phishing
267,legitimate
268,phishing
269,legitimate
270,legitimate
271,phishing
272,legitimate
273,phishing
274,legitimate
275,legitimate
276,legitimate
277,Phishing
278,phishing
279,phishing
280,legitimate
281,phishing
282,legitimate
283,phishing
284,legitimate
285,legitimate
286,legitimate
287,legitimate
288,Phishing
289,phishing
290,legitimate
291,legitimate
292,legitimate
293,legitimate
294,legitimate
295,legitimate
296,legitimate
297,legitimate
298,legitimate
299,legitimate
300,legitimate
301,legitimate
302,legitimate
303,legitimate
304,legitimate
305,legitimate
306,Phishing
307,phishing
308,legitimate
309,legitimate
310,Phishing
311,legitimate
312,legitimate
313,legitimate
314,phishing
315,phishing
316,Phishing
317,legitimate
318,legitimate
319,phishing
320,Phishing
