,predicted
0,phishing
1,phishing
2,legitimate
3,legitimate
4,phishing
5,legitimate
6,phishing
7,legitimate
8,phishing
9,phishing
10,phishing
11,phishing
12,phishing
13,phishing
14,legitimate
15,phishing
16,legitimate
17,legitimate
18,phishing
19,phishing
20,legitimate
21,legitimate
22,phishing
23,legitimate
24,phishing
25,legitimate
26,legitimate
27,legitimate
28,phishing
29,legitimate
30,phishing
31,phishing
32,legitimate
33,phishing
34,phishing
35,phishing
36,phishing
37,legitimate
38,phishing
39,legitimate
40,legitimate
41,phishing
42,legitimate
43,legitimate
44,legitimate
45,phishing
46,phishing
47,legitimate
48,legitimate
49,phishing
50,phishing
51,legitimate
52,legitimate
53,legitimate
54,legitimate
55,legitimate
56,phishing
57,legitimate
58,phishing
59,phishing
60,phishing
61,phishing
62,phishing
63,legitimate
64,legitimate
65,legitimate
66,legitimate
67,phishing
68,phishing
69,legitimate
70,phishing
71,legitimate
72,phishing
73,phishing
74,phishing
75,phishing
76,phishing
77,legitimate
78,phishing
79,phishing
80,legitimate
81,phishing
82,phishing
83,legitimate
84,legitimate
85,phishing
86,legitimate
87,legitimate
88,phishing
89,legitimate
90,legitimate
91,phishing
92,legitimate
93,phishing
94,phishing
95,legitimate
96,legitimate
97,legitimate
98,legitimate
99,legitimate
100,legitimate
101,legitimate
102,phishing
103,legitimate
104,phishing
105,phishing
106,legitimate
107,legitimate
108,legitimate
109,phishing
110,phishing
111,phishing
112,legitimate
113,legitimate
114,phishing
115,phishing
116,phishing
117,legitimate
118,legitimate
119,legitimate
120,legitimate
121,legitimate
122,legitimate
123,legitimate
124,phishing
125,phishing
126,legitimate
127,phishing
128,legitimate
129,legitimate
130,legitimate
131,legitimate
132,legitimate
133,phishing
134,legitimate
135,legitimate
136,phishing
137,legitimate
138,phishing
139,phishing
140,legitimate
141,legitimate
142,phishing
143,phishing
144,phishing
145,legitimate
146,phishing
147,phishing
148,legitimate
149,legitimate
150,phishing
151,phishing
152,legitimate
153,phishing
154,legitimate
155,phishing
156,phishing
157,phishing
158,phishing
159,phishing
160,phishing
161,phishing
162,phishing
163,legitimate
164,legitimate
165,phishing
166,legitimate
167,legitimate
168,legitimate
169,legitimate
170,legitimate
171,phishing
172,legitimate
173,legitimate
174,phishing
175,legitimate
176,phishing
177,phishing
178,legitimate
179,phishing
180,legitimate
181,phishing
182,legitimate
183,legitimate
184,phishing
185,phishing
186,legitimate
187,phishing
188,legitimate
189,legitimate
190,legitimate
191,phishing
192,legitimate
193,legitimate
194,phishing
195,legitimate
196,legitimate
197,legitimate
198,legitimate
199,phishing
200,legitimate
201,phishing
202,legitimate
203,legitimate
204,phishing
205,phishing
206,phishing
207,legitimate
208,legitimate
209,phishing
210,phishing
211,legitimate
212,phishing
213,legitimate
214,phishing
215,phishing
216,legitimate
217,phishing
218,phishing
219,legitimate
220,legitimate
221,legitimate
222,legitimate
223,legitimate
224,legitimate
225,legitimate
226,legitimate
227,legitimate
228,phishing
229,phishing
230,legitimate
231,phishing
232,phishing
233,legitimate
234,phishing
235,phishing
236,phishing
237,phishing
238,legitimate
239,phishing
240,legitimate
241,legitimate
242,phishing
243,phishing
244,legitimate
245,legitimate
246,phishing
247,legitimate
248,legitimate
249,phishing
250,phishing
251,phishing
252,phishing
253,phishing
254,phishing
255,legitimate
256,legitimate
257,phishing
258,legitimate
259,phishing
260,legitimate
261,phishing
262,phishing
263,legitimate
264,phishing
265,legitimate
266,legitimate
267,legitimate
268,legitimate
269,legitimate
270,phishing
271,legitimate
272,phishing
273,phishing
274,legitimate
275,phishing
276,phishing
277,legitimate
278,legitimate
279,legitimate
280,legitimate
281,legitimate
282,legitimate
283,phishing
284,legitimate
285,legitimate
286,phishing
287,phishing
288,phishing
289,legitimate
290,legitimate
291,phishing
292,phishing
293,legitimate
294,legitimate
295,legitimate
296,legitimate
297,legitimate
298,phishing
299,legitimate
300,legitimate
301,legitimate
302,legitimate
303,legitimate
304,phishing
305,legitimate
306,legitimate
307,phishing
308,legitimate
309,phishing
310,legitimate
311,legitimate
312,legitimate
313,legitimate
314,legitimate
315,phishing
316,legitimate
317,legitimate
318,legitimate
319,phishing
320,legitimate
321,phishing
322,phishing
323,phishing
324,legitimate
325,legitimate
326,phishing
327,legitimate
328,legitimate
329,phishing
