,predicted
0,legitimate
1,phishing
2,legitimate
3,legitimate
4,phishing
5,legitimate
6,phishing
7,phishing
8,legitimate
9,phishing
10,phishing
11,phishing
12,phishing
13,legitimate
14,phishing
15,legitimate
16,legitimate
17,legitimate
18,phishing
19,legitimate
20,phishing
21,legitimate
22,phishing
23,phishing
24,legitimate
25,legitimate
26,phishing
27,legitimate
28,phishing
29,legitimate
30,phishing
31,phishing
32,legitimate
33,legitimate
34,phishing
35,phishing
36,legitimate
37,phishing
38,phishing
39,phishing
40,phishing
41,legitimate
42,legitimate
43,legitimate
44,phishing
45,legitimate
46,legitimate
47,legitimate
48,legitimate
49,legitimate
50,legitimate
51,phishing
52,legitimate
53,phishing
54,phishing
55,phishing
56,legitimate
57,phishing
58,legitimate
59,legitimate
60,legitimate
61,phishing
62,legitimate
63,phishing
64,legitimate
65,phishing
66,phishing
67,legitimate
68,legitimate
69,legitimate
70,legitimate
71,legitimate
72,phishing
73,phishing
74,legitimate
75,legitimate
76,phishing
77,phishing
78,legitimate
79,legitimate
80,phishing
81,phishing
82,legitimate
83,phishing
84,phishing
85,legitimate
86,legitimate
87,phishing
88,phishing
89,phishing
90,legitimate
91,phishing
92,legitimate
93,phishing
94,phishing
95,phishing
96,legitimate
97,phishing
98,phishing
99,legitimate
100,phishing
101,legitimate
102,phishing
103,phishing
104,legitimate
105,phishing
106,legitimate
107,legitimate
108,legitimate
109,phishing
110,phishing
111,phishing
112,phishing
113,legitimate
114,phishing
115,phishing
116,phishing
117,phishing
118,legitimate
119,legitimate
120,legitimate
121,phishing
122,phishing
123,legitimate
124,legitimate
125,phishing
126,phishing
127,legitimate
128,legitimate
129,legitimate
130,legitimate
131,phishing
132,phishing
133,legitimate
134,legitimate
135,phishing
136,phishing
137,legitimate
138,legitimate
139,phishing
140,phishing
141,legitimate
142,legitimate
143,legitimate
144,legitimate
145,phishing
146,phishing
147,phishing
148,legitimate
149,legitimate
150,phishing
151,phishing
152,legitimate
153,legitimate
154,phishing
155,phishing
156,phishing
157,legitimate
158,legitimate
159,phishing
160,legitimate
161,legitimate
162,phishing
163,legitimate
164,phishing
165,legitimate
166,legitimate
167,legitimate
168,legitimate
169,phishing
170,legitimate
171,legitimate
172,legitimate
173,phishing
174,phishing
175,phishing
176,phishing
177,phishing
178,legitimate
179,legitimate
180,legitimate
181,phishing
182,phishing
183,phishing
184,phishing
185,legitimate
186,legitimate
187,phishing
188,phishing
189,phishing
190,legitimate
191,legitimate
192,phishing
193,legitimate
194,phishing
195,legitimate
196,phishing
197,phishing
198,phishing
199,legitimate
200,legitimate
201,legitimate
202,phishing
203,legitimate
204,legitimate
205,legitimate
206,legitimate
207,legitimate
208,phishing
209,phishing
210,legitimate
211,phishing
212,phishing
213,phishing
214,legitimate
215,legitimate
216,phishing
217,legitimate
218,legitimate
219,phishing
220,legitimate
221,legitimate
222,legitimate
223,phishing
224,phishing
225,phishing
226,legitimate
227,phishing
228,phishing
229,phishing
230,legitimate
231,phishing
232,legitimate
233,phishing
234,phishing
235,legitimate
236,phishing
237,legitimate
238,legitimate
239,legitimate
240,phishing
241,phishing
242,legitimate
243,legitimate
244,legitimate
245,legitimate
246,phishing
247,phishing
248,legitimate
249,legitimate
250,legitimate
251,phishing
252,legitimate
253,phishing
254,legitimate
255,phishing
256,legitimate
257,legitimate
258,legitimate
259,legitimate
260,phishing
261,phishing
262,legitimate
263,phishing
264,legitimate
265,legitimate
266,phishing
267,legitimate
268,phishing
269,phishing
270,phishing
271,legitimate
272,phishing
273,phishing
274,phishing
275,legitimate
276,phishing
277,phishing
278,phishing
279,legitimate
280,phishing
281,legitimate
282,phishing
283,phishing
284,phishing
285,legitimate
286,legitimate
287,phishing
288,legitimate
289,phishing
290,phishing
291,phishing
292,legitimate
293,phishing
294,legitimate
295,legitimate
296,legitimate
297,legitimate
298,legitimate
299,phishing
300,phishing
301,legitimate
302,phishing
303,legitimate
304,phishing
305,legitimate
306,legitimate
307,legitimate
308,phishing
309,legitimate
310,legitimate
311,legitimate
312,phishing
313,legitimate
314,legitimate
315,legitimate
316,phishing
317,phishing
318,phishing
319,phishing
320,phishing
321,legitimate
322,legitimate
323,phishing
324,legitimate
325,phishing
326,phishing
327,legitimate
328,legitimate
329,phishing
330,legitimate
331,phishing
332,legitimate
333,phishing
334,legitimate
335,legitimate
336,legitimate
337,legitimate
338,legitimate
339,phishing
340,legitimate
341,phishing
342,legitimate
343,phishing
344,legitimate
345,phishing
346,phishing
347,phishing
348,phishing
349,legitimate
350,legitimate
351,phishing
352,phishing
353,phishing
354,legitimate
355,phishing
