,predicted
0,phishing
1,legitimate
2,phishing
3,phishing
4,phishing
5,legitimate
6,phishing
7,phishing
8,phishing
9,phishing
10,phishing
11,legitimate
12,legitimate
13,legitimate
14,legitimate
15,phishing
16,legitimate
17,phishing
18,phishing
19,legitimate
20,legitimate
21,phishing
22,phishing
23,phishing
24,legitimate
25,phishing
26,phishing
27,phishing
28,legitimate
29,legitimate
30,phishing
31,phishing
32,legitimate
33,legitimate
34,phishing
35,legitimate
36,legitimate
37,phishing
38,phishing
39,phishing
40,legitimate
41,legitimate
42,legitimate
43,legitimate
44,phishing
45,legitimate
46,phishing
47,phishing
48,phishing
49,phishing
50,phishing
51,phishing
52,phishing
53,phishing
54,legitimate
55,phishing
56,phishing
57,phishing
58,phishing
59,legitimate
60,legitimate
61,legitimate
62,legitimate
63,legitimate
64,phishing
65,legitimate
66,phishing
67,legitimate
68,legitimate
69,legitimate
70,legitimate
71,phishing
72,phishing
73,phishing
74,phishing
75,phishing
76,phishing
77,legitimate
78,phishing
79,legitimate
80,phishing
81,legitimate
82,phishing
83,legitimate
84,phishing
85,phishing
86,phishing
87,phishing
88,phishing
89,phishing
90,legitimate
91,legitimate
92,legitimate
93,legitimate
94,phishing
95,legitimate
96,phishing
97,legitimate
98,legitimate
99,legitimate
100,legitimate
101,legitimate
102,phishing
103,legitimate
104,phishing
105,phishing
106,phishing
107,legitimate
108,legitimate
109,legitimate
110,legitimate
111,legitimate
112,legitimate
113,phishing
114,phishing
115,legitimate
116,phishing
117,phishing
118,phishing
119,legitimate
120,phishing
121,phishing
122,phishing
123,phishing
124,legitimate
125,phishing
126,legitimate
127,legitimate
128,legitimate
129,legitimate
130,phishing
131,phishing
132,phishing
133,legitimate
134,phishing
135,legitimate
136,legitimate
137,legitimate
138,phishing
139,phishing
140,legitimate
141,phishing
142,legitimate
143,legitimate
144,phishing
145,phishing
146,phishing
147,phishing
148,phishing
149,phishing
150,legitimate
151,legitimate
152,phishing
153,legitimate
154,phishing
155,legitimate
156,phishing
157,legitimate
158,phishing
159,phishing
160,legitimate
161,phishing
162,phishing
163,phishing
164,legitimate
165,legitimate
166,phishing
167,phishing
168,legitimate
169,legitimate
170,phishing
171,phishing
172,phishing
173,phishing
174,phishing
175,phishing
176,legitimate
177,legitimate
178,phishing
179,phishing
180,phishing
181,legitimate
182,phishing
183,phishing
184,legitimate
185,legitimate
186,legitimate
187,phishing
188,legitimate
189,legitimate
190,legitimate
191,phishing
192,phishing
193,phishing
194,legitimate
195,legitimate
196,legitimate
197,phishing
198,phishing
199,phishing
200,legitimate
201,phishing
202,legitimate
203,legitimate
204,phishing
205,phishing
206,phishing
207,legitimate
208,legitimate
209,legitimate
210,legitimate
211,phishing
212,phishing
213,phishing
214,legitimate
215,legitimate
216,legitimate
217,legitimate
218,legitimate
219,legitimate
220,phishing
221,phishing
222,legitimate
223,legitimate
224,phishing
225,phishing
226,legitimate
227,legitimate
228,phishing
229,phishing
230,legitimate
231,legitimate
232,phishing
233,legitimate
234,phishing
235,legitimate
236,phishing
237,phishing
238,legitimate
239,phishing
240,phishing
241,legitimate
242,phishing
243,legitimate
244,phishing
245,phishing
246,legitimate
247,legitimate
248,legitimate
249,phishing
250,phishing
251,legitimate
252,legitimate
253,legitimate
254,phishing
255,phishing
256,phishing
257,phishing
258,legitimate
259,phishing
260,phishing
261,phishing
262,phishing
263,phishing
264,legitimate
265,legitimate
266,legitimate
267,phishing
268,legitimate
269,phishing
270,legitimate
271,legitimate
272,phishing
273,legitimate
274,phishing
275,phishing
276,legitimate
277,legitimate
278,legitimate
279,legitimate
280,phishing
281,phishing
282,legitimate
283,legitimate
284,legitimate
285,legitimate
286,phishing
287,phishing
288,legitimate
289,phishing
290,legitimate
291,legitimate
292,phishing
293,phishing
294,legitimate
295,legitimate
296,phishing
297,phishing
298,legitimate
299,phishing
300,legitimate
301,phishing
302,legitimate
303,phishing
304,legitimate
305,legitimate
306,legitimate
307,legitimate
308,phishing
309,legitimate
310,phishing
311,legitimate
312,legitimate
313,phishing
314,phishing
315,phishing
316,phishing
317,phishing
318,phishing
319,legitimate
320,phishing
321,legitimate
322,phishing
323,legitimate
324,phishing
325,phishing
326,phishing
327,phishing
328,legitimate
329,legitimate
330,legitimate
331,phishing
332,phishing
333,phishing
